,Date,VH,Team,Pitcher,Open,Close
0,2019-03-20,N,SEA,MGONZALES,107,120
1,2019-03-20,N,OAK,MFIERS,-127,-130
2,2019-03-21,N,SEA,YKIKUCHI,109,-125
3,2019-03-21,N,OAK,MESTRADA,-129,115
4,2019-03-28,V,NYM,JDEGROM,110,115
5,2019-03-28,H,WAS,MSCHERZER,-121,-125
6,2019-03-28,V,STL,MMIKOLAS,104,104
7,2019-03-28,H,MIL,JCHACIN,-114,-114
8,2019-03-28,V,ATL,JTEHERAN,170,170
9,2019-03-28,H,PHI,ANOLA,-190,-185
10,2019-03-28,V,PIT,JTAILLON,105,107
11,2019-03-28,H,CIN,LCASTILLO,-115,-117
12,2019-03-28,V,ARI,ZGREINKE,144,155
13,2019-03-28,H,LAD,HRYU,-160,-165
14,2019-03-28,V,SFO,MBUMGARNER,-114,117
15,2019-03-28,H,SDG,ELAUER,104,-127
16,2019-03-28,V,COL,KFREELAND,-145,-135
17,2019-03-28,H,MIA,JURENA,131,125
18,2019-03-28,V,BAL,ACASHNER,296,320
19,2019-03-28,H,NYY,MTANAKA,-340,-380
20,2019-03-28,V,DET,JZIMMERMANN,126,132
21,2019-03-28,H,TOR,MSTROMAN,-140,-142
22,2019-03-28,V,HOU,JVERLANDER,-121,-128
23,2019-03-28,H,TAM,BSNELL,110,118
24,2019-03-28,V,LAA,TCAHILL,110,-108
25,2019-03-28,H,OAK,MFIERS,-121,-102
26,2019-03-28,V,CLE,CKLUBER,-135,107
27,2019-03-28,H,MIN,JBERRIOS,122,-117
28,2019-03-28,V,CWS,CRODON,104,106
29,2019-03-28,H,KAN,BKELLER,-114,-116
30,2019-03-28,V,BOS,CSALE,-185,-210
31,2019-03-28,H,SEA,MGONZALES,166,190
32,2019-03-28,V,CUB,JLESTER,-135,-115
33,2019-03-28,H,TEX,MMINOR,122,105
34,2019-03-29,V,COL,GMARQUEZ,-155,-152
35,2019-03-29,H,MIA,TRICHARDS,135,142
36,2019-03-29,V,STL,JFLAHERTY,106,-108
37,2019-03-29,H,MIL,FPERALTA,-126,-102
38,2019-03-29,V,SFO,DHOLLAND,130,145
39,2019-03-29,H,SDG,JLUCCHESI,-150,-155
40,2019-03-29,V,ARI,RRAY,144,160
41,2019-03-29,H,LAD,RSTRIPLING,-165,-170
42,2019-03-29,V,DET,MBOYD,115,111
43,2019-03-29,H,TOR,MSHOEMAKER,-135,-121
44,2019-03-29,V,HOU,GCOLE,-145,-138
45,2019-03-29,H,TAM,CMORTON,125,128
46,2019-03-29,V,LAA,MHARVEY,101,-109
47,2019-03-29,H,OAK,MESTRADA,-121,-101
48,2019-03-29,V,BOS,NEOVALDI,-150,-139
49,2019-03-29,H,SEA,YKIKUCHI,130,129
50,2019-03-30,V,NYM,NSYNDERGAARD,110,102
51,2019-03-30,H,WAS,SSTRASBURG,-130,-112
52,2019-03-30,V,ATL,BWILSON,125,135
53,2019-03-30,H,PHI,NPIVETTA,-145,-145
54,2019-03-30,V,COL,TANDERSON,-145,-128
55,2019-03-30,H,MIA,PLOPEZ,125,118
56,2019-03-30,V,STL,DHUDSON,105,122
57,2019-03-30,H,MIL,BWOODRUFF,-125,-132
58,2019-03-30,V,SFO,DRODRIGUEZ,105,120
59,2019-03-30,H,SDG,NMARGEVICIUS,-125,-130
60,2019-03-30,V,ARI,ZGODLEY,151,177
61,2019-03-30,H,LAD,KMAEDA,-175,-194
62,2019-03-30,V,BAL,NKARNS,299,340
63,2019-03-30,H,NYY,JPAXTON,-375,-410
64,2019-03-30,V,CLE,TBAUER,-110,-120
65,2019-03-30,H,MIN,JODORIZZI,-110,110
66,2019-03-30,V,CWS,RLOPEZ,-105,120
67,2019-03-30,H,KAN,JJUNIS,-115,-130
68,2019-03-30,V,DET,STURNBULL,120,116
69,2019-03-30,H,TOR,ASANCHEZ,-140,-126
70,2019-03-30,V,HOU,CMCHUGH,-130,-118
71,2019-03-30,H,TAM,TGLASNOW,110,108
72,2019-03-30,V,LAA,FPENA,105,109
73,2019-03-30,H,OAK,BANDERSON,-125,-119
74,2019-03-30,V,BOS,ERODRIGUEZ,-150,-158
75,2019-03-30,H,SEA,MLEAKE,130,148
76,2019-03-30,V,CUB,YDARVISH,-150,-155
77,2019-03-30,H,TEX,EVOLQUEZ,130,145
78,2019-03-31,V,PIT,JMUSGROVE,120,125
79,2019-03-31,H,CIN,SGRAY,-140,-135
80,2019-03-31,V,COL,JGRAY,-150,-158
81,2019-03-31,H,MIA,SALCANTARA,130,148
82,2019-03-31,V,NYM,ZWHEELER,110,155
83,2019-03-31,H,WAS,PCORBIN,-130,-165
84,2019-03-31,V,STL,MWACHA,100,100
85,2019-03-31,H,MIL,CBURNES,-120,-110
86,2019-03-31,V,ARI,LWEAVER,192,177
87,2019-03-31,H,LAD,WBUEHLER,-230,-194
88,2019-03-31,V,SFO,JSAMARDZIJA,125,162
89,2019-03-31,H,SDG,CPADDACK,-145,-174
90,2019-03-31,V,ATL,KWRIGHT,130,130
91,2019-03-31,H,PHI,JARRIETA,-150,-140
92,2019-03-31,V,BAL,DBUNDY,281,280
93,2019-03-31,H,NYY,JHAPP,-350,-320
94,2019-03-31,V,DET,MMOORE,115,142
95,2019-03-31,H,TOR,TTHORNTON,-135,-152
96,2019-03-31,V,HOU,WMILEY,-119,-113
97,2019-03-31,H,TAM,YCHIRINOS,-101,103
98,2019-03-31,V,CLE,CCARRASCO,-115,-110
99,2019-03-31,H,MIN,MPINEDA,-105,100
100,2019-03-31,V,CWS,LGIOLITO,-105,117
101,2019-03-31,H,KAN,JLOPEZ,-115,-127
102,2019-03-31,V,LAA,TSKAGGS,-110,114
103,2019-03-31,H,OAK,FMONTAS,-110,-124
104,2019-03-31,V,BOS,RPORCELLO,-150,-136
105,2019-03-31,H,SEA,WLEBLANC,130,126
106,2019-03-31,V,CUB,CHAMELS,-155,-130
107,2019-03-31,H,TEX,LLYNN,135,120
108,2019-04-01,V,STL,AWAINWRIGHT,110,116
109,2019-04-01,H,PIT,CARCHER,-130,-126
110,2019-04-01,V,MIL,ZDAVIES,105,-109
111,2019-04-01,H,CIN,TROARK,-125,-101
112,2019-04-01,V,CUB,KHENDRICKS,-115,100
113,2019-04-01,H,ATL,SNEWCOMB,-105,-110
114,2019-04-01,V,NYM,SMATZ,-150,-125
115,2019-04-01,H,MIA,CSMITH,130,115
116,2019-04-01,V,SFO,DPOMERANZ,172,185
117,2019-04-01,H,LAD,JURIAS,-205,-205
118,2019-04-01,V,ARI,MKELLY,140,155
119,2019-04-01,H,SDG,MSTRAHM,-160,-165
120,2019-04-01,V,CWS,INOVA,148,150
121,2019-04-01,H,CLE,MCLEVINGER,-170,-160
122,2019-04-01,V,DET,TROSS,176,190
123,2019-04-01,H,NYY,DGERMAN,-210,-210
124,2019-04-01,V,BAL,DHESS,144,163
125,2019-04-01,H,TOR,SREID-FOLEY,-165,-176
126,2019-04-01,V,HOU,BPEACOCK,-165,-165
127,2019-04-01,H,TEX,DSMYLY,144,155
128,2019-04-01,V,BOS,DPRICE,-140,-140
129,2019-04-01,H,OAK,ABROOKS,120,130
130,2019-04-01,V,LAA,CSTRATTON,-110,-103
131,2019-04-01,H,SEA,FHERNANDEZ,-110,-107
132,2019-04-01,V,COL,CBETTIS,118,135
133,2019-04-01,H,TAM,RSTANEK,-138,-145
134,2019-04-02,V,MIL,JCHACIN,-121,-110
135,2019-04-02,H,CIN,ADESCLAFANI,101,100
136,2019-04-02,V,PHI,ZEFLIN,173,165
137,2019-04-02,H,WAS,MSCHERZER,-206,-180
138,2019-04-02,V,NYM,JVARGAS,-126,-136
139,2019-04-02,H,MIA,JURENA,106,126
140,2019-04-02,V,ARI,ZGREINKE,-111,106
141,2019-04-02,H,SDG,ELAUER,-109,-116
142,2019-04-02,V,SFO,MBUMGARNER,152,146
143,2019-04-02,H,LAD,HRYU,-176,-156
144,2019-04-02,V,DET,JZIMMERMANN,208,205
145,2019-04-02,H,NYY,MTANAKA,-251,-230
146,2019-04-02,V,BAL,ACASHNER,177,162
147,2019-04-02,H,TOR,MSTROMAN,-211,-174
148,2019-04-02,V,HOU,JVERLANDER,-221,-220
149,2019-04-02,H,TEX,SMILLER,184,200
150,2019-04-02,V,MIN,JBERRIOS,-141,-145
151,2019-04-02,H,KAN,BKELLER,121,135
152,2019-04-02,V,BOS,CSALE,-171,-170
153,2019-04-02,H,OAK,MFIERS,148,160
154,2019-04-02,V,LAA,TCAHILL,101,100
155,2019-04-02,H,SEA,MGONZALES,-121,-110
156,2019-04-02,V,COL,KFREELAND,131,160
157,2019-04-02,H,TAM,BSNELL,-151,-170
158,2019-04-03,V,MIL,FPERALTA,-109,118
159,2019-04-03,H,CIN,LCASTILLO,-111,-128
160,2019-04-03,V,PHI,ANOLA,-130,-135
161,2019-04-03,H,WAS,ASANCHEZ,110,125
162,2019-04-03,V,ARI,RRAY,115,132
163,2019-04-03,H,SDG,JLUCCHESI,-135,-142
164,2019-04-03,V,NYM,JDEGROM,-215,-210
165,2019-04-03,H,MIA,TRICHARDS,180,190
166,2019-04-03,V,STL,MMIKOLAS,-110,-104
167,2019-04-03,H,PIT,JTAILLON,-110,-106
168,2019-04-03,V,CUB,JLESTER,-115,120
169,2019-04-03,H,ATL,JTEHERAN,-105,-130
170,2019-04-03,V,SFO,DHOLLAND,180,175
171,2019-04-03,H,LAD,RSTRIPLING,-215,-190
172,2019-04-03,V,CWS,CRODON,166,170
173,2019-04-03,H,CLE,CKLUBER,-195,-185
174,2019-04-03,V,MIN,KGIBSON,-145,-130
175,2019-04-03,H,KAN,HBAILEY,125,120
176,2019-04-03,V,DET,MBOYD,163,163
177,2019-04-03,H,NYY,JLOAISIGA,-190,-176
178,2019-04-03,V,BAL,NKARNS,144,140
179,2019-04-03,H,TOR,MSHOEMAKER,-165,-150
180,2019-04-03,V,HOU,GCOLE,-165,-210
181,2019-04-03,H,TEX,MMINOR,144,190
182,2019-04-03,V,BOS,NEOVALDI,-130,-140
183,2019-04-03,H,OAK,MESTRADA,110,130
