Date,VH,Team,Pitcher,Open
2017-04-02,V,SFO,MBUMGARNER-L,-130
2017-04-02,H,ARI,ZGREINKE-R,115
2017-04-02,V,CUB,JLESTER-L,-125
2017-04-02,H,STL,CMARTINEZ-R,110
2017-04-02,V,NYY,MTANAKA-R,-120
2017-04-02,H,TAM,CARCHER-R,110
2017-04-03,V,MIA,EVOLQUEZ-R,185
2017-04-03,H,WAS,SSTRASBURG-R,-210
2017-04-03,V,ATL,JTEHERAN-R,140
2017-04-03,H,NYM,NSYNDERGAARD-R,-155
2017-04-03,V,COL,JGRAY-R,109
2017-04-03,H,MIL,JGUERRA-R,-119
2017-04-03,V,SDG,JCHACIN-R,310
2017-04-03,H,LOS,CKERSHAW-L,-360
2017-04-03,V,PHI,JHELLICKSON-R,105
2017-04-03,H,CIN,SFELDMAN-R,-115
2017-04-03,V,SEA,FHERNANDEZ-R,110
2017-04-03,H,HOU,DKEUCHEL-L,-125
2017-04-03,V,TOR,MESTRADA-R,-110
2017-04-03,H,BAL,KGAUSMAN-R,100
2017-04-03,V,KAN,DDUFFY-L,105
2017-04-03,H,MIN,ESANTANA-R,-115
2017-04-03,V,CLE,CKLUBER-R,110
2017-04-03,H,TEX,YDARVISH-R,-125
2017-04-03,V,LAA,RNOLASCO-R,-115
2017-04-03,H,OAK,KGRAVEMAN-R,105
2017-04-03,V,PIT,GCOLE-R,145
2017-04-03,H,BOS,RPORCELLO-R,-165
2017-04-04,V,COL,TANDERSON-L,105
2017-04-04,H,MIL,ZDAVIES-R,-115
2017-04-04,V,CUB,JARRIETA-R,-150
2017-04-04,H,STL,AWAINWRIGHT-R,135
2017-04-04,V,SFO,JCUETO-R,-150
2017-04-04,H,ARI,PCORBIN-L,135
2017-04-04,V,SDG,CRICHARD-L,185
2017-04-04,H,LOS,KMAEDA-R,-210
2017-04-04,V,NYY,CSABATHIA-L,110
2017-04-04,H,TAM,JODORIZZI-R,-120
2017-04-04,V,CLE,CCARRASCO-R,-125
2017-04-04,H,TEX,MPEREZ-L,110
2017-04-04,V,SEA,HIWAKUMA-R,110
2017-04-04,H,HOU,LMCCULLERS-R,-125
2017-04-04,V,LAA,MSHOEMAKER-R,110
2017-04-04,H,OAK,SMANAEA-L,-120
2017-04-04,V,DET,JVERLANDER-R,-125
2017-04-04,H,CWS,JQUINTANA-L,110
2017-04-05,V,MIA,DSTRAILY-R,161
2017-04-05,H,WAS,TROARK-R,-181
2017-04-05,V,PHI,JEICKHOFF-R,101
2017-04-05,H,CIN,BFINNEGAN-L,-111
2017-04-05,V,ATL,BCOLON-R,175
2017-04-05,H,NYM,JDEGROM-R,-200
2017-04-05,V,COL,TCHATWOOD-R,-114
