Date,VH,Team,Pitcher,Open,Close,Final
2019-03-20,N,SEA,MGONZALES-L,107,120,9
2019-03-20,N,OAK,MFIERS-R,-127,-130,7
2019-03-21,N,SEA,YKIKUCHI-L,109,-125,5
2019-03-21,N,OAK,MESTRADA-R,-129,115,4
2019-03-28,V,NYM,JDEGROM-R,110,115,2
2019-03-28,H,WAS,MSCHERZER-R,-121,-125,0
2019-03-28,V,STL,MMIKOLAS-R,104,104,4
2019-03-28,H,MIL,JCHACIN-R,-114,-114,5
2019-03-28,V,ATL,JTEHERAN-R,170,170,4
2019-03-28,H,PHI,ANOLA-R,-190,-185,10
2019-03-28,V,PIT,JTAILLON-R,105,107,3
2019-03-28,H,CIN,LCASTILLO-R,-115,-117,5
2019-03-28,V,ARI,ZGREINKE-R,144,155,5
2019-03-28,H,LOS,HRYU-L,-160,-165,12
2019-03-28,V,SFO,MBUMGARNER-L,-114,117,0
2019-03-28,H,SDG,ELAUER-L,104,-127,2
2019-03-28,V,COL,KFREELAND-L,-145,-135,6
2019-03-28,H,MIA,JURENA-R,131,125,3
2019-03-28,V,BAL,ACASHNER-R,296,320,2
2019-03-28,H,NYY,MTANAKA-R,-340,-380,7
2019-03-28,V,DET,JZIMMERMANN-R,126,132,2
2019-03-28,H,TOR,MSTROMAN-R,-140,-142,0
2019-03-28,V,HOU,JVERLANDER-R,-121,-128,5
2019-03-28,H,TAM,BSNELL-L,110,118,1
2019-03-28,V,LAA,TCAHILL-R,110,-108,0
2019-03-28,H,OAK,MFIERS-R,-121,-102,4
2019-03-28,V,CLE,CKLUBER-R,-135,107,0
2019-03-28,H,MIN,JBERRIOS-R,122,-117,2
2019-03-28,V,CWS,CRODON-L,104,106,3
2019-03-28,H,KAN,BKELLER-R,-114,-116,5
2019-03-28,V,BOS,CSALE-L,-185,-210,4
2019-03-28,H,SEA,MGONZALES-L,166,190,12
2019-03-28,V,CUB,JLESTER-L,-135,-115,12
2019-03-28,H,TEX,MMINOR-L,122,105,4
2019-03-29,V,COL,GMARQUEZ-R,-155,-152,6
2019-03-29,H,MIA,TRICHARDS-R,135,142,1
2019-03-29,V,STL,JFLAHERTY-R,106,-108,9
2019-03-29,H,MIL,FPERALTA-R,-126,-102,5
2019-03-29,V,SFO,DHOLLAND-L,130,145,1
2019-03-29,H,SDG,JLUCCHESI-L,-150,-155,4
2019-03-29,V,ARI,RRAY-L,144,160,5
