,Date,VH,Team,Pitcher,Open,Close
0,2019-03-29,V,CUB,JLESTER,-175,-200
1,2019-03-29,H,MIA,JURENA,155,175
2,2019-03-29,V,STL,CMARTINEZ,110,123
3,2019-03-29,H,NYM,NSYNDERGAARD,-125,-138
4,2019-03-29,V,PHI,ANOLA,-125,-131
5,2019-03-29,H,ATL,JTEHERAN,110,116
6,2019-03-29,V,MIL,CANDERSON,-115,-131
7,2019-03-29,H,SDG,CRICHARD,105,116
8,2019-03-29,V,SFO,TBLACH,260,266
9,2019-03-29,H,LAD,CKERSHAW,-300,-306
10,2019-03-29,V,COL,JGRAY,-115,-101
11,2019-03-29,H,ARI,PCORBIN,105,-109
12,2019-03-29,V,MIN,JODORIZZI,110,112
13,2019-03-29,H,BAL,DBUNDY,-125,-127
14,2019-03-29,V,HOU,JVERLANDER,-168,-160
15,2019-03-29,H,TEX,CHAMELS,148,140
16,2019-03-29,V,NYY,LSEVERINO,-155,-171
17,2019-03-29,H,TOR,JHAPP,140,151
18,2019-03-29,V,BOS,CSALE,-175,-173
19,2019-03-29,H,TAM,CARCHER,155,153
20,2019-03-29,V,LAA,GRICHARDS,-135,-118
21,2019-03-29,H,OAK,KGRAVEMAN,120,108
22,2019-03-29,V,CWS,JSHIELDS,150,125
23,2019-03-29,H,KAN,DDUFFY,-170,-140
24,2019-03-29,V,CLE,CKLUBER,-170,-180
25,2019-03-29,H,SEA,FHERNANDEZ,150,160
26,2019-03-30,V,CUB,KHENDRICKS,-230,-200
27,2019-03-30,H,MIA,CSMITH,205,175
28,2019-03-30,V,PHI,NPIVETTA,115,-109
29,2019-03-30,H,ATL,MFOLTYNEWICZ,-130,-101
30,2019-03-30,V,COL,TANDERSON,145,128
31,2019-03-30,H,ARI,RRAY,-165,-143
32,2019-03-30,V,SFO,JCUETO,170,143
33,2019-03-30,H,LAD,AWOOD,-190,-163
34,2019-03-30,V,MIL,JCHACIN,-123,-113
35,2019-03-30,H,SDG,JLUCCHESI,113,103
36,2019-03-30,V,NYY,MTANAKA,-145,-137
37,2019-03-30,H,TOR,ASANCHEZ,130,122
38,2019-03-30,V,BOS,DPRICE,-175,-141
39,2019-03-30,H,TAM,BSNELL,155,126
40,2019-03-30,V,HOU,DKEUCHEL,-200,-170
41,2019-03-30,H,TEX,DFISTER,175,150
42,2019-03-30,V,LAA,TSKAGGS,-103,-114
43,2019-03-30,H,OAK,SMANAEA,-107,104
44,2019-03-30,V,WAS,MSCHERZER,-200,-215
45,2019-03-30,H,CIN,HBAILEY,175,190
46,2019-03-30,V,PIT,INOVA,-119,-129
47,2019-03-30,H,DET,JZIMMERMANN,109,114
48,2019-03-31,V,STL,MWACHA,140,107
49,2019-03-31,H,NYM,JDEGROM,-155,-117
50,2019-03-31,V,WAS,SSTRASBURG,-185,-145
51,2019-03-31,H,CIN,LCASTILLO,165,130
52,2019-03-31,V,PHI,VVELASQUEZ,110,105
53,2019-03-31,H,ATL,BMCCARTHY,-125,-115
54,2019-03-31,V,CUB,YDARVISH,-230,-210
55,2019-03-31,H,MIA,ODESPAIGNE,205,185
56,2019-03-31,V,COL,GMARQUEZ,145,136
57,2019-03-31,H,ARI,ZGREINKE,-165,-151
58,2019-03-31,V,MIL,BSUTER,-125,-120
59,2019-03-31,H,SDG,LPERDOMO,110,110
60,2019-03-31,V,SFO,DHOLLAND,185,180
61,2019-03-31,H,LAD,KMAEDA,-210,-205
62,2019-03-31,V,HOU,LMCCULLERSJR.,-190,-201
63,2019-03-31,H,TEX,MMOORE,170,176
64,2019-03-31,V,LAA,MSHOEMAKER,-127,-107
65,2019-03-31,H,OAK,DMENGDEN,112,-103
66,2019-03-31,V,NYY,CSABATHIA,-145,-104
67,2019-03-31,H,TOR,MESTRADA,130,-106
68,2019-03-31,V,CLE,CCARRASCO,-121,-107
69,2019-03-31,H,SEA,JPAXTON,111,-103
70,2019-03-31,V,BOS,RPORCELLO,-155,-111
71,2019-03-31,H,TAM,AKITTREDGE,140,101
72,2019-03-31,V,MIN,KGIBSON,114,-119
73,2019-03-31,H,BAL,ACASHNER,-124,109
74,2019-03-31,V,CWS,LGIOLITO,111,-108
75,2019-03-31,H,KAN,IKENNEDY,-126,-102
76,2019-04-01,V,CUB,JQUINTANA,-205,-208
77,2019-04-01,H,MIA,DPETERS,180,183
78,2019-04-01,V,STL,LWEAVER,-111,-152
79,2019-04-01,H,NYM,SMATZ,101,137
80,2019-04-01,V,WAS,GGONZALEZ,-165,-131
81,2019-04-01,H,CIN,SROMANO,145,116
82,2019-04-01,V,SFO,CSTRATTON,165,175
83,2019-04-01,H,LAD,RHILL,-185,-195
84,2019-04-01,V,MIN,JBERRIOS,105,103
85,2019-04-01,H,BAL,KGAUSMAN,-115,-113
86,2019-04-01,V,NYY,SGRAY,-119,104
87,2019-04-01,H,TOR,MSTROMAN,109,-114
88,2019-04-01,V,BOS,HVELAZQUEZ,-115,104
89,2019-04-01,H,TAM,JFARIA,105,-114
90,2019-04-01,V,HOU,GCOLE,-155,-155
91,2019-04-01,H,TEX,MMINOR,140,140
92,2019-04-01,V,LAA,SOHTANI,-119,-126
93,2019-04-01,H,OAK,DGOSSETT,109,111
94,2019-04-01,V,CLE,TBAUER,-140,-145
95,2019-04-01,H,SEA,MLEAKE,125,130
96,2019-04-01,V,PIT,TWILLIAMS,-101,101
97,2019-04-01,H,DET,MFULMER,-109,-111
98,2019-04-01,V,PIT,CKUHL,-105,-121
99,2019-04-01,H,DET,RCARPENTER,-105,111
100,2019-04-02,V,STL,MMIKOLAS,115,101
101,2019-04-02,H,MIL,ZDAVIES,-130,-111
102,2019-04-02,V,CUB,TCHATWOOD,-140,-140
103,2019-04-02,H,CIN,TMAHLE,125,125
104,2019-04-02,V,WAS,TROARK,-130,-121
105,2019-04-02,H,ATL,SNEWCOMB,115,111
106,2019-04-02,V,LAD,HRYU,-115,-109
107,2019-04-02,H,ARI,TWALKER,105,-101
108,2019-04-02,V,COL,CBETTIS,-120,101
109,2019-04-02,H,SDG,BMITCHELL,110,-111
110,2019-04-02,V,KAN,JHAMMEL,-102,101
111,2019-04-02,H,DET,FLIRIANO,-108,-111
112,2019-04-02,V,CWS,RLOPEZ,125,155
113,2019-04-02,H,TOR,JGARCIA,-140,-175
114,2019-04-02,V,BAL,CTILLMAN,185,203
115,2019-04-02,H,HOU,CMORTON,-210,-228
116,2019-04-02,V,TEX,BCOLON,115,147
117,2019-04-02,H,OAK,ATRIGGS,-130,-167
118,2019-04-02,V,CLE,MCLEVINGER,-135,-111
119,2019-04-02,H,LAA,JRAMIREZ,120,101
120,2019-04-02,V,MIN,LLYNN,-102,131
121,2019-04-02,H,PIT,JTAILLON,-108,-146
122,2019-04-02,V,BOS,BJOHNSON,-170,-133
123,2019-04-02,H,MIA,TRICHARDS,150,118
124,2019-04-03,V,PHI,BLIVELY,103,111
125,2019-04-03,H,NYM,MHARVEY,-113,-126
126,2019-04-03,V,WAS,ACOLE,-115,-129
127,2019-04-03,H,ATL,JTEHERAN,105,114
128,2019-04-03,V,STL,JFLAHERTY,125,-102
129,2019-04-03,H,MIL,CANDERSON,-140,-108
130,2019-04-03,V,LAD,CKERSHAW,-175,-173
131,2019-04-03,H,ARI,ZGODLEY,155,153
132,2019-04-03,V,COL,KFREELAND,-122,-112
133,2019-04-03,H,SDG,TROSS,112,102
134,2019-04-03,V,KAN,JJUNIS,-115,102
135,2019-04-03,H,DET,MBOYD,105,-112
136,2019-04-03,V,CWS,MGONZALEZ,145,165
137,2019-04-03,H,TOR,JHAPP,-165,-185
138,2019-04-03,V,BAL,MWRIGHTJR.,225,220
139,2019-04-03,H,HOU,JVERLANDER,-255,-250
