Name,Lev,Tm,VH,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS
Matt Adams,MLB-NL,St. Louis,1,Pittsburgh,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Jose Bautista,MLB-AL,Toronto,1,Tampa Bay,1,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Asdrubal Cabrera,MLB-NL,New York,1,Kansas City,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Lorenzo Cain,MLB-AL,Kansas City,0,New York,1,4,2,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0
Eric Campbell,MLB-NL,New York,1,Kansas City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Carpenter,MLB-NL,St. Louis,1,Pittsburgh,1,5,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
Francisco Cervelli,MLB-NL,Pittsburgh,0,St. Louis,1,4,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1
Yoenis Cespedes,MLB-NL,New York,1,Kansas City,1,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0
Chris Colabello,MLB-AL,Toronto,1,Tampa Bay,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Michael Conforto,MLB-NL,New York,1,Kansas City,1,4,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1
Hank Conger,MLB-AL,Tampa Bay,0,Toronto,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Travis d'Arnaud,MLB-NL,New York,1,Kansas City,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Alejandro De Aza,MLB-NL,New York,1,Kansas City,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Dickerson,MLB-AL,Tampa Bay,0,Toronto,1,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Josh Donaldson,MLB-AL,Toronto,1,Tampa Bay,1,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Lucas Duda,MLB-NL,New York,1,Kansas City,1,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
Edwin Encarnacion,MLB-AL,Toronto,1,Tampa Bay,1,4,4,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0
Alcides Escobar,MLB-AL,Kansas City,0,New York,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Logan Forsythe,MLB-AL,Tampa Bay,0,Toronto,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
David Freese,MLB-NL,Pittsburgh,0,St. Louis,1,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Rey Fuentes,MLB-AL,Kansas City,0,New York,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Goins,MLB-AL,Toronto,1,Tampa Bay,1,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Alex Gordon,MLB-AL,Kansas City,0,New York,1,4,4,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Curtis Granderson,MLB-NL,New York,1,Kansas City,1,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Randal Grichuk,MLB-NL,St. Louis,1,Pittsburgh,1,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Jedd Gyorko,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Josh Harrison,MLB-NL,Pittsburgh,0,St. Louis,1,4,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
Jeremy Hazelbaker,MLB-NL,St. Louis,1,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Matt Holliday,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Eric Hosmer,MLB-AL,Kansas City,0,New York,1,4,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Omar Infante,MLB-AL,Kansas City,0,New York,1,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
John Jaso,MLB-NL,Pittsburgh,0,St. Louis,1,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Desmond Jennings,MLB-AL,Tampa Bay,0,Toronto,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Joyce,MLB-NL,Pittsburgh,0,St. Louis,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kevin Kiermaier,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Juan Lagares,MLB-NL,New York,1,Kansas City,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Liriano,MLB-NL,Pittsburgh,0,St. Louis,1,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Evan Longoria,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
Starling Marte,MLB-NL,Pittsburgh,0,St. Louis,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Russell Martin,MLB-AL,Toronto,1,Tampa Bay,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Andrew McCutchen,MLB-NL,Pittsburgh,0,St. Louis,1,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jordy Mercer,MLB-NL,Pittsburgh,0,St. Louis,1,4,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Brad Miller,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yadier Molina,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0
Kendrys Morales,MLB-AL,Kansas City,0,New York,1,4,3,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0
Logan Morrison,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mike Morse,MLB-NL,Pittsburgh,0,St. Louis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Moss,MLB-NL,St. Louis,1,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mike Moustakas,MLB-AL,Kansas City,0,New York,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Salvador Perez,MLB-AL,Kansas City,0,New York,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Pham,MLB-NL,St. Louis,1,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Pillar,MLB-AL,Toronto,1,Tampa Bay,1,5,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Stephen Piscotty,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Gregory Polanco,MLB-NL,Pittsburgh,0,St. Louis,1,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0
Michael Saunders,MLB-AL,Toronto,1,Tampa Bay,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Steven Souza Jr.,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Troy Tulowitzki,MLB-AL,Toronto,1,Tampa Bay,1,4,3,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0
Adam Wainwright,MLB-NL,St. Louis,1,Pittsburgh,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Neil Walker,MLB-NL,New York,1,Kansas City,1,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Kolten Wong,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
David Wright,MLB-NL,New York,1,Kansas City,1,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Jose Abreu,MLB-AL,Chicago,1,Oakland,1,4,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Cristhian Adames,MLB-NL,Colorado,1,Arizona,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ehire Adrianza,MLB-NL,San Francisco,1,Milwaukee,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Ahmed,MLB-NL,Arizona,0,Colorado,1,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Yonder Alonso,MLB-AL,Oakland,0,Chicago,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Alvarez,MLB-AL,Baltimore,0,Minnesota,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Elvis Andrus,MLB-AL,Texas,0,Seattle,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nori Aoki,MLB-AL,Seattle,1,Texas,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nolan Arenado,MLB-NL,Colorado,1,Arizona,1,5,5,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0
Erick Aybar,MLB-NL,Atlanta,0,Washington,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Barnes,MLB-NL,Colorado,1,Arizona,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jose Bautista,MLB-AL,Toronto,1,Tampa Bay,1,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Gordon Beckham,MLB-NL,Atlanta,0,Washington,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Brandon Belt,MLB-NL,San Francisco,1,Milwaukee,1,5,4,2,3,2,0,0,1,1,0,0,0,0,0,0,0,0
Adrian Beltre,MLB-AL,Texas,0,Seattle,1,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Charlie Blackmon,MLB-NL,Colorado,1,Arizona,1,6,5,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Gregor Blanco,MLB-NL,San Francisco,1,Milwaukee,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Blash,MLB-NL,San Diego,0,Los Angeles,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peter Bourjos,MLB-NL,Philadelphia,1,Cincinnati,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ryan Braun,MLB-NL,Milwaukee,0,San Francisco,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
