,0,1,2,3,4,5,6,7,8,9
0,"1. Tue,4/5 vs BOS L (2-6)#",Davis-CF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Byrd-LF,Uribe-3B,Cowgill-RF
1,"2. Wed,4/6 vs BOS W (7-6)",Lindor-SS,Ramirez-LF,Kipnis-2B,Napoli-1B,Santana-DH,Gomes-C,Byrd-RF,Uribe-3B,Naquin-CF
2,"3. Fri,4/8 at CHW W (7-1)#",Davis-CF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Byrd-RF,Uribe-3B,Ramirez-LF
3,"4. Sat,4/9 at CHW L (3-7)#",Davis-CF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Uribe-3B,Ramirez-LF,Cowgill-RF
4,"5. Tue,4/12 at TBR L (1-5)#",Davis-CF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Byrd-RF,Uribe-3B,Ramirez-LF
5,"6. Wed,4/13 at TBR W (4-1)#",Davis-CF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Byrd-LF,Uribe-3B,Cowgill-RF
6,"7. Thu,4/14 at TBR W (6-0)",Davis-LF,Kipnis-2B,Lindor-SS,Napoli-DH,Santana-1B,Ramirez-3B,Byrd-RF,Naquin-CF,Perez-C
7,"8. Fri,4/15 vs NYM L (5-6)",Davis-LF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Byrd-RF,Uribe-3B,Naquin-CF
8,"9. Sat,4/16 vs NYM W (7-5)",Davis-RF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Ramirez-LF,Uribe-3B,Naquin-CF
9,"10. Sun,4/17 vs NYM L (0-6)#",Davis-CF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Byrd-RF,Uribe-3B,Ramirez-LF
10,"11. Tue,4/19 vs SEA W (3-2)#",Davis-CF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Byrd-LF,Uribe-3B,Cowgill-RF
11,"12. Wed,4/20 vs SEA L (1-2)",Ramirez-LF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Chisenhall-RF,Uribe-3B,Naquin-CF
12,"13. Thu,4/21 vs SEA L (7-10)",Davis-LF,Kipnis-2B,Lindor-SS,Santana-1B,Byrd-DH,Ramirez-3B,Chisenhall-RF,Perez-C,Naquin-CF
13,"14. Fri,4/22 at DET W (2-1)",Santana-DH,Kipnis-2B,Lindor-SS,Napoli-1B,Gomes-C,Byrd-LF,Chisenhall-RF,Uribe-3B,Naquin-CF
14,"15. Sat,4/23 at DET W (10-1)",Santana-DH,Kipnis-2B,Lindor-SS,Napoli-1B,Gomes-C,Ramirez-3B,Chisenhall-RF,Davis-LF,Naquin-CF
15,"16. Sun,4/24 at DET W (6-3)",Santana-1B,Kipnis-2B,Lindor-SS,Napoli-DH,Ramirez-LF,Byrd-RF,Uribe-3B,Naquin-CF,Perez-C
16,"17. Mon,4/25 at MIN L (3-4)#",Davis-CF,Kipnis-2B,Lindor-SS,Napoli-1B,Santana-DH,Gomes-C,Byrd-RF,Uribe-3B,Ramirez-LF
17,"18. Tue,4/26 at MIN L (5-6)",Santana-DH,Kipnis-2B,Lindor-SS,Brantley-LF,Napoli-1B,Gomes-C,Chisenhall-RF,Uribe-3B,Naquin-CF
18,"19. Wed,4/27 at MIN W (6-5)",Santana-DH,Kipnis-2B,Lindor-SS,Brantley-LF,Napoli-1B,Gomes-C,Ramirez-3B,Byrd-RF,Naquin-CF
19,"20. Fri,4/29 at PHI L (3-4)#",Davis-CF,Kipnis-2B,Lindor-SS,Brantley-LF,Napoli-1B,Gomes-C,Byrd-RF,Uribe-3B,Kluber-P
20,"21. Sat,4/30 at PHI L (3-4)",Kipnis-2B,Lindor-SS,Brantley-LF,Santana-1B,Uribe-3B,Naquin-CF,Perez-C,Chisenhall-RF,Bauer-P
21,"22. Sun,5/1 at PHI L (1-2)",Ramirez-3B,Kipnis-2B,Lindor-SS,Santana-1B,Gomes-C,Naquin-CF,Davis-LF,Chisenhall-RF,Salazar-P
