,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/4 at ARI W (10-5)",Blackmon-CF,Story-SS,Gonzalez-RF,Arenado-3B,Parra-LF,Reynolds-1B,Hundley-C,LeMahieu-2B,De La Rosa-P
1,"2. Tue,4/5 at ARI L (6-11)",Blackmon-CF,Story-SS,Gonzalez-RF,Arenado-3B,Parra-LF,Hundley-C,Paulsen-1B,LeMahieu-2B,Bettis-P
2,"3. Wed,4/6 at ARI W (4-3)#",LeMahieu-2B,Story-SS,Gonzalez-RF,Arenado-3B,Reynolds-1B,Raburn-LF,Hundley-C,Barnes-CF,Chatwood-P
3,"4. Fri,4/8 vs SDP L (6-13)",Blackmon-CF,Story-SS,Gonzalez-RF,Arenado-3B,Parra-LF,Reynolds-1B,Hundley-C,LeMahieu-2B,Lyles-P
4,"5. Sat,4/9 vs SDP L (3-16)#",LeMahieu-2B,Story-SS,Gonzalez-RF,Arenado-3B,Reynolds-1B,Raburn-LF,Hundley-C,Barnes-CF,De La Rosa-P
5,"6. Sun,4/10 vs SDP W (6-3)",Blackmon-CF,Story-SS,Gonzalez-RF,Arenado-3B,Parra-LF,LeMahieu-2B,Paulsen-1B,Wolters-C,Bettis-P
6,"7. Tue,4/12 vs SFG L (2-7)",Blackmon-CF,Story-SS,Gonzalez-RF,Arenado-3B,Parra-LF,Reynolds-1B,Hundley-C,Chatwood-P,LeMahieu-2B
7,"8. Wed,4/13 vs SFG W (10-6)",Blackmon-CF,Story-SS,Gonzalez-RF,Arenado-3B,Parra-LF,Hundley-C,Paulsen-1B,LeMahieu-2B,Lyles-P
8,"9. Thu,4/14 vs SFG W (11-6)",LeMahieu-2B,Story-SS,Gonzalez-RF,Arenado-3B,Parra-CF,Reynolds-1B,Paulsen-LF,Wolters-C,De La Rosa-P
9,"10. Fri,4/15 at CHC W (6-1)",LeMahieu-2B,Story-SS,Gonzalez-RF,Arenado-3B,Parra-CF,Raburn-LF,Paulsen-1B,Wolters-C,Bettis-P
10,"11. Sat,4/16 at CHC L (2-6)",Adames-2B,Story-SS,Gonzalez-RF,Arenado-3B,Parra-CF,Reynolds-1B,Raburn-LF,Garneau-C,Bergman-P
11,"12. Sun,4/17 at CHC W (2-0)#",LeMahieu-2B,Story-SS,Gonzalez-RF,Arenado-3B,Parra-LF,Reynolds-1B,Barnes-CF,Wolters-C,Chatwood-P
12,"13. Mon,4/18 at CIN W (5-1)",Parra-LF,Story-SS,Gonzalez-RF,Arenado-3B,Paulsen-1B,Barnes-CF,Adames-2B,Wolters-C,Lyles-P
13,"14. Tue,4/19 at CIN L (3-4)",LeMahieu-2B,Story-SS,Gonzalez-RF,Arenado-3B,Parra-CF,Reynolds-1B,Paulsen-LF,Wolters-C,De La Rosa-P
14,"15. Wed,4/20 at CIN L (5-6)",LeMahieu-2B,Story-SS,Gonzalez-RF,Arenado-3B,Parra-CF,Reynolds-1B,Paulsen-LF,Garneau-C,Bettis-P
15,"16. Fri,4/22 vs LAD W (7-5)#",LeMahieu-2B,Story-SS,Gonzalez-RF,Arenado-3B,Reynolds-1B,Parra-CF,Raburn-LF,Wolters-C,Gray-P
