,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/4 vs COL L (5-10)#",Segura-2B,Owings-CF,Goldschmidt-1B,Castillo-C,Peralta-RF,Tomas-LF,Lamb-3B,Greinke-P,Ahmed-SS
1,"2. Tue,4/5 vs COL W (11-6)",Segura-2B,Brito-CF,Goldschmidt-1B,Peralta-RF,Castillo-C,Lamb-3B,Tomas-LF,Miller-P,Ahmed-SS
2,"3. Wed,4/6 vs COL L (3-4)",Segura-2B,Owings-CF,Goldschmidt-1B,Peralta-RF,Lamb-3B,Drury-LF,Herrmann-C,Corbin-P,Ahmed-SS
3,"4. Thu,4/7 vs CHC L (6-14)",Segura-2B,Ahmed-SS,Goldschmidt-1B,Peralta-RF,Castillo-C,Lamb-3B,Tomas-LF,Owings-CF,De La Rosa-P
4,"5. Fri,4/8 vs CHC W (3-2)",Segura-2B,Brito-CF,Goldschmidt-1B,Peralta-RF,Castillo-C,Lamb-3B,Tomas-LF,Ray-P,Ahmed-SS
5,"6. Sat,4/9 vs CHC L (2-4)",Segura-2B,Owings-CF,Goldschmidt-1B,Peralta-RF,Castillo-C,Tomas-LF,Drury-3B,Greinke-P,Ahmed-SS
6,"7. Sun,4/10 vs CHC L (3-7)",Brito-CF,Gosselin-2B,Goldschmidt-1B,Peralta-RF,Drury-LF,Lamb-3B,Owings-SS,Herrmann-C,Miller-P
7,"8. Tue,4/12 at LAD W (4-2)",Segura-2B,Brito-CF,Goldschmidt-1B,Peralta-RF,Castillo-C,Lamb-3B,Tomas-LF,Corbin-P,Ahmed-SS
8,"9. Wed,4/13 at LAD L (1-3)#",Segura-2B,Owings-CF,Goldschmidt-1B,Castillo-C,Drury-RF,Lamb-3B,Tomas-LF,De La Rosa-P,Ahmed-SS
9,"10. Thu,4/14 at LAD L (2-5)",Segura-2B,Brito-CF,Goldschmidt-1B,Peralta-RF,Drury-LF,Lamb-3B,Herrmann-C,Ray-P,Ahmed-SS
10,"11. Fri,4/15 at SDP W (3-2)",Segura-2B,Brito-CF,Goldschmidt-1B,Peralta-RF,Castillo-C,Lamb-3B,Tomas-LF,Greinke-P,Ahmed-SS
11,"12. Sat,4/16 at SDP L (3-5)",Segura-2B,Brito-CF,Goldschmidt-1B,Peralta-RF,Castillo-C,Lamb-3B,Ahmed-SS,Tomas-LF,Miller-P
12,"13. Sun,4/17 at SDP W (7-3)#",Ahmed-SS,Weeks-LF,Gosselin-1B,Tomas-RF,Drury-2B,Lamb-3B,Owings-CF,Herrmann-C,Corbin-P
13,"14. Mon,4/18 at SFG W (9-7)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,Tomas-LF,Castillo-C,Ahmed-SS,Owings-CF,Bradley-P
14,"15. Tue,4/19 at SFG W (3-0)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,Tomas-LF,Castillo-C,Ahmed-SS,Owings-CF,Ray-P
15,"16. Wed,4/20 at SFG W (2-1)#",Segura-2B,Drury-3B,Goldschmidt-1B,Tomas-LF,Castillo-C,Peralta-RF,Ahmed-SS,Owings-CF,Greinke-P
16,"17. Thu,4/21 at SFG W (6-2)",Segura-SS,Lamb-3B,Goldschmidt-1B,Peralta-RF,Tomas-LF,Gosselin-2B,Owings-CF,Herrmann-C,Miller-P
17,"18. Fri,4/22 vs PIT L (7-8)#",Segura-2B,Drury-3B,Goldschmidt-1B,Tomas-LF,Castillo-C,Peralta-RF,Ahmed-SS,Owings-CF,Corbin-P
18,"19. Sat,4/23 vs PIT W (7-1)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,Tomas-LF,Ahmed-SS,Owings-CF,Herrmann-C,De La Rosa-P
19,"20. Sun,4/24 vs PIT L (10-12)#",Segura-2B,Drury-RF,Goldschmidt-1B,Tomas-LF,Castillo-C,Gosselin-3B,Ahmed-SS,Owings-CF,Ray-P
20,"21. Mon,4/25 vs STL W (12-7)#",Segura-2B,Drury-3B,Goldschmidt-1B,Tomas-LF,Castillo-C,Peralta-RF,Owings-CF,Greinke-P,Ahmed-SS
21,"22. Tue,4/26 vs STL L (2-8)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,Tomas-LF,Castillo-C,Owings-CF,Ahmed-SS,Miller-P
22,"23. Wed,4/27 vs STL L (4-11)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-CF,Tomas-LF,Castillo-C,Drury-RF,Ahmed-SS,Corbin-P
23,"24. Thu,4/28 vs STL W (3-0)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,Drury-LF,Herrmann-C,Owings-CF,Ahmed-SS,De La Rosa-P
24,"25. Fri,4/29 vs COL L (0-9)",Segura-SS,Lamb-3B,Goldschmidt-1B,Peralta-RF,Tomas-LF,Castillo-C,Drury-2B,Owings-CF,Ray-P
25,"26. Sat,4/30 vs COL L (2-5)#",Segura-2B,Drury-3B,Goldschmidt-1B,Tomas-LF,Castillo-C,Peralta-RF,Owings-CF,Greinke-P,Ahmed-SS
26,"27. Sun,5/1 vs COL L (3-6)",Gosselin-2B,Drury-3B,Goldschmidt-1B,Peralta-RF,Tomas-LF,Herrmann-C,Owings-CF,Ahmed-SS,Miller-P
27,"28. Tue,5/3 at MIA L (4-7)#",Gosselin-2B,Drury-3B,Goldschmidt-1B,Weeks-LF,Tomas-RF,Castillo-C,Owings-CF,Ahmed-SS,Corbin-P
28,"29. Wed,5/4 at MIA L (3-4)",Gosselin-2B,Lamb-3B,Goldschmidt-1B,Peralta-CF,Drury-RF,Tomas-LF,Herrmann-C,Ahmed-SS,De La Rosa-P
29,"30. Thu,5/5 at MIA L (0-4)#",Segura-2B,Drury-3B,Goldschmidt-1B,Castillo-C,Peralta-RF,Tomas-LF,Owings-CF,Ahmed-SS,Ray-P
30,"31. Fri,5/6 at ATL W (7-2)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,Castillo-C,Drury-LF,Owings-CF,Greinke-P,Ahmed-SS
31,"32. Sat,5/7 at ATL W (4-2)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,Castillo-C,Drury-LF,Owings-CF,Miller-P,Ahmed-SS
32,"33. Sun,5/8 at ATL W (5-3)",Segura-2B,Lamb-3B,Goldschmidt-1B,Weeks-LF,Drury-RF,Herrmann-C,Owings-CF,Corbin-P,Ahmed-SS
33,"34. Mon,5/9 at COL W (10-5)",Segura-2B,Drury-LF,Goldschmidt-1B,Lamb-3B,Castillo-C,Herrmann-RF,Owings-CF,Ahmed-SS,Bradley-P
34,"35. Tue,5/10 at COL W (5-1)#",Segura-2B,Drury-RF,Goldschmidt-1B,Castillo-C,Lamb-3B,Tomas-LF,Owings-CF,Ahmed-SS,De La Rosa-P
35,"36. Wed,5/11 at COL L (7-8)",Segura-SS,Drury-RF,Goldschmidt-1B,Lamb-3B,Tomas-LF,Gosselin-2B,Herrmann-C,Owings-CF,Ray-P
36,"37. Thu,5/12 vs SFG L (2-4)",Segura-2B,Drury-RF,Goldschmidt-1B,Lamb-3B,Castillo-C,Tomas-LF,Owings-CF,Greinke-P,Ahmed-SS
37,"38. Fri,5/13 vs SFG L (1-3)",Segura-2B,Drury-RF,Goldschmidt-1B,Lamb-3B,Castillo-C,Tomas-LF,Owings-CF,Ahmed-SS,Miller-P
38,"39. Sat,5/14 vs SFG L (3-5)",Segura-2B,Lamb-3B,Goldschmidt-1B,Weeks-LF,Herrmann-C,Drury-RF,Owings-CF,Ahmed-SS,Corbin-P
39,"40. Sun,5/15 vs SFG L (1-2)",Segura-2B,Owings-SS,Lamb-3B,Goldschmidt-1B,Castillo-C,Herrmann-CF,Tomas-LF,Drury-RF,De La Rosa-P
40,"41. Mon,5/16 vs NYY W (12-2)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Tomas-LF,Drury-RF,Herrmann-C,Ahmed-SS,Ray-P
41,"42. Tue,5/17 vs NYY W (5-3)",Segura-2B,Herrmann-RF,Goldschmidt-1B,Lamb-3B,Castillo-C,Tomas-LF,Owings-CF,Ahmed-SS,Greinke-P
42,"43. Wed,5/18 vs NYY L (2-4)",Segura-2B,Gosselin-LF,Goldschmidt-1B,Lamb-3B,Castillo-C,Drury-RF,Owings-CF,Ahmed-SS,Miller-P
43,"44. Fri,5/20 at STL W (11-7)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Tomas-LF,Herrmann-C,Drury-RF,Owings-SS,Corbin-P
44,"45. Sat,5/21 at STL L (2-6)",Segura-2B,Drury-RF,Goldschmidt-1B,Lamb-3B,Weeks-LF,Castillo-C,Owings-CF,Ahmed-SS,Ray-P
45,"46. Sun,5/22 at STL W (7-2)#",Segura-2B,Bourn-RF,Goldschmidt-1B,Castillo-C,Tomas-LF,Drury-3B,Owings-CF,Greinke-P,Ahmed-SS
46,"47. Tue,5/24 at PIT L (1-12)#",Segura-2B,Gosselin-3B,Goldschmidt-1B,Castillo-C,Tomas-LF,Drury-RF,Owings-CF,Ahmed-SS,Miller-P
47,"48. Wed,5/25 at PIT L (4-5)#",Ahmed-SS,Weeks-RF,Goldschmidt-1B,Castillo-C,Drury-2B,Lamb-3B,Owings-CF,Tomas-LF,De La Rosa-P
48,"49. Thu,5/26 at PIT L (3-8)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Drury-RF,Herrmann-C,Owings-SS,Tomas-LF,Corbin-P
49,"50. Fri,5/27 vs SDP L (3-10)#",Segura-2B,Drury-3B,Goldschmidt-1B,Weeks-LF,Castillo-C,Tomas-RF,Owings-CF,Ahmed-SS,Ray-P
50,"51. Sat,5/28 vs SDP W (8-7)",Segura-2B,Bourn-RF,Goldschmidt-1B,Lamb-3B,Castillo-C,Drury-LF,Owings-CF,Greinke-P,Ahmed-SS
51,"52. Sun,5/29 vs SDP W (6-3)#",Segura-2B,Gosselin-3B,Goldschmidt-1B,Drury-RF,Tomas-LF,Owings-CF,Herrmann-C,Ahmed-SS,Bradley-P
52,"53. Mon,5/30 vs HOU L (3-8)",Segura-2B,Bourn-RF,Goldschmidt-1B,Lamb-3B,Castillo-C,Owings-CF,Tomas-LF,Ahmed-SS,Escobar-P
53,"54. Tue,5/31 vs HOU L (5-8)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Drury-RF,Herrmann-C,Owings-SS,Tomas-LF,Corbin-P
54,"55. Wed,6/1 at HOU L (4-5)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Weeks-DH,Herrmann-C,Owings-SS,Tomas-LF,Drury-RF
55,"56. Thu,6/2 at HOU W (3-0)#",Segura-2B,Bourn-RF,Goldschmidt-1B,Weeks-DH,Castillo-C,Lamb-3B,Owings-CF,Drury-LF,Ahmed-SS
56,"57. Fri,6/3 at CHC L (0-6)",Segura-2B,Bourn-RF,Goldschmidt-1B,Lamb-3B,Castillo-C,Owings-CF,Tomas-LF,Ahmed-SS,Bradley-P
57,"58. Sat,6/4 at CHC L (3-5)",Segura-2B,Drury-RF,Goldschmidt-1B,Lamb-3B,Castillo-C,Owings-CF,Tomas-LF,Ahmed-SS,Escobar-P
58,"59. Sun,6/5 at CHC W (3-2)",Bourn-CF,Gosselin-2B,Goldschmidt-1B,Lamb-3B,Herrmann-C,Owings-SS,Tomas-LF,Drury-RF,Corbin-P
59,"60. Mon,6/6 vs TBR L (4-6)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Castillo-C,Peralta-RF,Tomas-LF,Ahmed-SS,Ray-P
60,"61. Tue,6/7 vs TBR W (5-0)#",Segura-2B,Bourn-CF,Goldschmidt-1B,Castillo-C,Drury-RF,Lamb-3B,Tomas-LF,Greinke-P,Ahmed-SS
61,"62. Wed,6/8 vs TBR L (3-6)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-CF,Weeks-LF,Herrmann-C,Tomas-RF,Ahmed-SS,Bradley-P
62,"63. Fri,6/10 vs MIA L (6-8)#",Segura-2B,Bourn-CF,Goldschmidt-1B,Castillo-C,O'Brien-LF,Lamb-3B,Tomas-RF,Ahmed-SS,Corbin-P
63,"64. Sat,6/11 vs MIA W (5-3)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,Weeks-LF,Herrmann-C,Ahmed-SS,Godley-P,Bourn-CF
64,"65. Sun,6/12 vs MIA W (6-0)#",Segura-2B,Drury-3B,Goldschmidt-1B,Castillo-C,Peralta-RF,O'Brien-LF,Ahmed-SS,Ray-P,Bourn-CF
65,"66. Mon,6/13 vs LAD W (3-2)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-CF,Castillo-C,O'Brien-LF,Tomas-RF,Greinke-P,Ahmed-SS
66,"67. Tue,6/14 vs LAD L (4-7)",Segura-2B,Lamb-3B,Goldschmidt-1B,Peralta-RF,O'Brien-LF,Herrmann-C,Ahmed-SS,Bradley-P,Bourn-CF
67,"68. Wed,6/15 vs LAD L (2-3)#",Segura-2B,Drury-3B,Goldschmidt-1B,Weeks-LF,Castillo-C,Tomas-RF,Ahmed-SS,Corbin-P,Bourn-CF
68,"69. Fri,6/17 at PHI W (10-2)#",Segura-2B,Bourn-CF,Goldschmidt-1B,Castillo-C,O'Brien-LF,Tomas-RF,Lamb-3B,Ahmed-SS,Ray-P
69,"70. Sat,6/18 at PHI W (4-1)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,O'Brien-LF,Castillo-C,Tomas-RF,Greinke-P,Ahmed-SS
70,"71. Sun,6/19 at PHI W (5-1)",Gosselin-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Herrmann-C,O'Brien-LF,Drury-RF,Ahmed-SS,Bradley-P
71,"72. Mon,6/20 at PHI W (3-1)",Segura-2B,Gosselin-1B,Lamb-3B,Weeks-LF,Castillo-C,Brito-CF,Tomas-RF,Ahmed-SS,Miller-P
72,"73. Tue,6/21 at TOR W (4-2)",Segura-2B,Herrmann-C,Goldschmidt-1B,Lamb-3B,Weeks-DH,Tomas-RF,O'Brien-LF,Ahmed-SS,Bourn-CF
73,"74. Wed,6/22 at TOR L (2-5)#",Segura-2B,Gosselin-3B,Goldschmidt-1B,Weeks-DH,Castillo-C,O'Brien-LF,Tomas-RF,Ahmed-SS,Bourn-CF
74,"75. Thu,6/23 at COL W (7-6)",Segura-SS,Tomas-RF,Goldschmidt-1B,Lamb-3B,O'Brien-LF,Gosselin-2B,Castillo-C,Greinke-P,Brito-CF
75,"76. Fri,6/24 at COL W (10-9)#",Segura-SS,Bourn-CF,Goldschmidt-1B,Gosselin-2B,Lamb-3B,O'Brien-LF,Herrmann-C,Tomas-RF,Bradley-P
76,"77. Sat,6/25 at COL L (6-11)#",Segura-2B,Bourn-CF,Goldschmidt-1B,Tomas-RF,Castillo-C,O'Brien-LF,Drury-3B,Ahmed-SS,Miller-P
77,"78. Sun,6/26 at COL L (7-9)",Segura-SS,Bourn-CF,Goldschmidt-1B,Lamb-3B,Weeks-LF,Herrmann-C,Tomas-RF,Drury-2B,Corbin-P
78,"79. Mon,6/27 vs PHI L (0-8)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Weeks-LF,Castillo-C,Tomas-RF,Ahmed-SS,Ray-P
79,"80. Tue,6/28 vs PHI L (3-4)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Tomas-RF,Castillo-C,O'Brien-LF,Greinke-P,Ahmed-SS
80,"81. Wed,6/29 vs PHI L (8-9)",Segura-SS,Gosselin-2B,Goldschmidt-1B,Lamb-3B,Tomas-RF,Herrmann-C,Drury-LF,Bradley-P,Bourn-CF
81,"82. Fri,7/1 vs SFG L (4-6)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Castillo-C,Herrmann-LF,Tomas-RF,Ahmed-SS,Miller-P
82,"83. Sat,7/2 vs SFG W (6-5)",Segura-SS,Bourn-CF,Goldschmidt-1B,Lamb-3B,Castillo-C,Herrmann-LF,Tomas-RF,Gosselin-2B,Corbin-P
83,"84. Sun,7/3 vs SFG L (4-5)",Segura-SS,Bourn-CF,Goldschmidt-1B,Lamb-3B,Tomas-RF,Gosselin-2B,Drury-LF,Gosewisch-C,Ray-P
84,"85. Mon,7/4 vs SDP L (4-8)",Segura-2B,Bourn-CF,Goldschmidt-1B,Lamb-3B,Castillo-C,Gosselin-LF,Drury-RF,Ahmed-SS,Bradley-P
