,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 at OAK L (0-4)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,Cozart-3B,La Stella-2B,Lucroy-C,Bourjos-LF
1,"2. Fri,3/29 at OAK W (6-2)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,Cozart-3B,La Stella-2B,Lucroy-C,Goodwin-LF
2,"3. Sat,3/30 at OAK L (2-4)#",Cozart-3B,Trout-CF,Simmons-SS,Pujols-DH,Bour-1B,Lucroy-C,Calhoun-RF,Bourjos-LF,Fletcher-2B
3,"4. Sun,3/31 at OAK L (1-2)",Calhoun-RF,Trout-DH,Bour-1B,Simmons-SS,Cozart-3B,La Stella-2B,Smith-C,Goodwin-LF,Bourjos-CF
4,"5. Mon,4/1 at SEA L (3-6)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,La Stella-2B,Lucroy-C,Goodwin-LF,Fletcher-3B
5,"6. Tue,4/2 at SEA L (1-2)#",Cozart-3B,Trout-CF,Simmons-SS,Pujols-1B,Lucroy-C,Calhoun-RF,Smith-DH,Fletcher-2B,Bourjos-LF
6,"7. Thu,4/4 vs TEX L (4-11)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,La Stella-2B,Lucroy-C,Goodwin-LF,Cozart-3B
7,"8. Fri,4/5 vs TEX W (3-1)",Calhoun-RF,Trout-CF,Bour-1B,Pujols-DH,Lucroy-C,La Stella-2B,Cozart-3B,Goodwin-LF,Fletcher-SS
8,"9. Sat,4/6 vs TEX W (5-1)#",Fletcher-3B,Trout-CF,Simmons-SS,Pujols-1B,Lucroy-DH,Calhoun-RF,Smith-C,Bourjos-LF,La Stella-2B
9,"10. Sun,4/7 vs TEX W (7-2)",La Stella-2B,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,Goodwin-RF,Lucroy-C,Cozart-3B,Fletcher-LF
10,"11. Mon,4/8 vs MIL W (5-2)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,Goodwin-LF,Lucroy-C,La Stella-2B,Fletcher-3B
11,"12. Tue,4/9 vs MIL W (11-8)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,Goodwin-LF,Lucroy-C,La Stella-2B,Cozart-3B
12,"13. Wed,4/10 vs MIL W (4-2)",Calhoun-RF,Simmons-SS,Bour-1B,Pujols-DH,Goodwin-CF,Ward-3B,La Stella-2B,Smith-C,Fletcher-LF
13,"14. Fri,4/12 at CHC L (1-5)#",Fletcher-LF,Simmons-SS,Pujols-1B,Lucroy-C,Ward-3B,Calhoun-RF,Cozart-2B,Bourjos-CF,Skaggs-P
14,"15. Sat,4/13 at CHC W (6-5)",Calhoun-RF,Simmons-SS,Bour-1B,Lucroy-C,Goodwin-CF,Fletcher-LF,La Stella-2B,Cozart-3B,Stratton-P
15,"16. Mon,4/15 at TEX L (7-12)",Calhoun-RF,Trout-DH,Simmons-SS,Pujols-1B,Goodwin-CF,Smith-C,La Stella-2B,Cozart-3B,Fletcher-LF
16,"17. Tue,4/16 at TEX L (0-5)#",Fletcher-LF,Trout-DH,Simmons-SS,Pujols-1B,Lucroy-C,Calhoun-RF,Cozart-3B,La Stella-2B,Bourjos-CF
17,"18. Wed,4/17 at TEX L (4-5)",Calhoun-RF,Trout-DH,Bour-1B,Simmons-SS,Goodwin-CF,Lucroy-C,La Stella-2B,Cozart-3B,Fletcher-LF
18,"19. Thu,4/18 vs SEA L (10-11)",Calhoun-RF,Trout-DH,Simmons-SS,Pujols-1B,Goodwin-LF,Smith-C,La Stella-2B,Bourjos-CF,Fletcher-3B
19,"20. Fri,4/19 vs SEA L (3-5)#",Fletcher-2B,Trout-CF,Simmons-SS,Pujols-DH,Bour-1B,Lucroy-C,Calhoun-RF,Bourjos-LF,Cozart-3B
20,"21. Sat,4/20 vs SEA L (5-6)#",Fletcher-2B,Trout-CF,Simmons-SS,Pujols-1B,Lucroy-C,Smith-DH,Goodwin-RF,Bourjos-LF,Cozart-3B
21,"22. Sun,4/21 vs SEA W (8-6)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Goodwin-LF,Smith-C,La Stella-DH,Cozart-3B,Fletcher-2B
22,"23. Mon,4/22 vs NYY L (3-4)#",Fletcher-2B,Trout-CF,Simmons-SS,Pujols-1B,Smith-DH,Lucroy-C,Calhoun-RF,Cozart-3B,Goodwin-LF
23,"24. Tue,4/23 vs NYY L (5-7)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,Goodwin-LF,Smith-C,La Stella-2B,Fletcher-3B
24,"25. Wed,4/24 vs NYY L (5-6)#",Fletcher-3B,Trout-CF,Simmons-SS,Pujols-1B,Goodwin-LF,Lucroy-C,Calhoun-RF,Smith-DH,La Stella-2B
25,"26. Thu,4/25 vs NYY W (11-5)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-DH,Goodwin-LF,Lucroy-C,La Stella-3B,Fletcher-SS,Rengifo-2B
26,"27. Fri,4/26 at KCR W (5-1)#",Fletcher-3B,Trout-DH,Simmons-SS,Pujols-1B,Calhoun-RF,Smith-C,Rengifo-2B,Goodwin-LF,Bourjos-CF
27,"28. Sat,4/27 at KCR L (4-9)",Calhoun-RF,Trout-CF,Bour-1B,Simmons-SS,Pujols-DH,Goodwin-LF,Lucroy-C,La Stella-3B,Rengifo-2B
28,"29. Sun,4/28 at KCR W (7-3)",Calhoun-RF,Trout-CF,Goodwin-LF,Simmons-SS,Pujols-DH,La Stella-3B,Lucroy-C,Bour-1B,Rengifo-2B
29,"30. Tue,4/30 vs TOR W (4-3)",Calhoun-RF,Trout-CF,Goodwin-LF,Simmons-SS,Pujols-DH,La Stella-3B,Lucroy-C,Bour-1B,Rengifo-2B
30,"31. Wed,5/1 vs TOR W (6-3)",La Stella-2B,Trout-CF,Goodwin-LF,Simmons-SS,Pujols-DH,Calhoun-RF,Lucroy-C,Bour-1B,Fletcher-3B
31,"32. Thu,5/2 vs TOR W (6-2)",La Stella-3B,Trout-CF,Goodwin-LF,Simmons-SS,Pujols-DH,Calhoun-RF,Smith-C,Bour-1B,Rengifo-2B
32,"33. Sat,5/4 vs HOU L (2-14)#",Fletcher-3B,Trout-CF,Simmons-SS,Pujols-1B,Goodwin-LF,Lucroy-DH,Smith-C,Calhoun-RF,Rengifo-2B
33,"34. Sun,5/5 vs HOU L (4-10)",Fletcher-3B,Trout-CF,Goodwin-LF,Simmons-SS,Pujols-DH,Calhoun-RF,Lucroy-C,Bour-1B,Rengifo-2B
34,"35. Tue,5/7 at DET W (5-2)#",Fletcher-2B,Trout-CF,Ohtani-DH,Simmons-SS,Pujols-1B,Goodwin-LF,Lucroy-C,Calhoun-RF,Cozart-3B
35,"36. Wed,5/8 at DET L (3-10)#",Fletcher-2B,Trout-CF,Ohtani-DH,Simmons-SS,Pujols-1B,Goodwin-LF,Lucroy-C,Calhoun-RF,Cozart-3B
36,"37. Thu,5/9 at DET W (13-0)#",Fletcher-LF,Trout-CF,Ohtani-DH,Simmons-SS,Pujols-1B,Calhoun-RF,Smith-C,Cozart-3B,La Stella-2B
37,"38. Fri,5/10 at BAL W (8-3)",La Stella-2B,Trout-CF,Ohtani-DH,Simmons-SS,Goodwin-LF,Calhoun-RF,Lucroy-C,Bour-1B,Fletcher-3B
38,"39. Sat,5/11 at BAL W (7-2)",La Stella-2B,Trout-CF,Ohtani-DH,Pujols-1B,Goodwin-LF,Lucroy-C,Calhoun-RF,Cozart-SS,Fletcher-3B
39,"40. Sun,5/12 at BAL L (1-5)#",Fletcher-LF,Trout-CF,Simmons-SS,Pujols-DH,Calhoun-RF,Smith-C,Bour-1B,Cozart-3B,La Stella-2B
40,"41. Mon,5/13 at MIN W (5-4)",La Stella-2B,Trout-CF,Ohtani-DH,Simmons-SS,Pujols-1B,Calhoun-RF,Smith-C,Goodwin-LF,Fletcher-3B
41,"42. Tue,5/14 at MIN L (3-4)",La Stella-3B,Trout-CF,Ohtani-DH,Simmons-SS,Pujols-1B,Goodwin-RF,Lucroy-C,Rengifo-2B,Fletcher-LF
42,"43. Wed,5/15 at MIN L (7-8)",La Stella-3B,Trout-CF,Ohtani-DH,Simmons-SS,Goodwin-RF,Lucroy-C,Fletcher-LF,Walsh-1B,Rengifo-2B
43,"44. Fri,5/17 vs KCR W (5-2)",La Stella-2B,Trout-CF,Ohtani-DH,Simmons-SS,Pujols-1B,Calhoun-RF,Lucroy-C,Goodwin-LF,Fletcher-3B
44,"45. Sat,5/18 vs KCR W (6-3)",La Stella-2B,Trout-CF,Ohtani-DH,Simmons-SS,Calhoun-RF,Lucroy-C,Goodwin-LF,Walsh-1B,Fletcher-3B
45,"46. Sun,5/19 vs KCR L (1-5)#",Fletcher-LF,Trout-CF,Ohtani-DH,Simmons-SS,Pujols-1B,Calhoun-RF,Smith-C,La Stella-2B,Cozart-3B
46,"47. Mon,5/20 vs MIN L (1-3)",La Stella-2B,Trout-CF,Ohtani-DH,Simmons-SS,Calhoun-RF,Lucroy-C,Goodwin-LF,Walsh-1B,Fletcher-3B
47,"48. Tue,5/21 vs MIN L (3-8)",La Stella-3B,Trout-CF,Ohtani-DH,Pujols-1B,Calhoun-RF,Smith-C,Goodwin-LF,Rengifo-2B,Fletcher-SS
48,"49. Thu,5/23 vs MIN L (7-16)#",Fletcher-LF,Trout-DH,Pujols-1B,Lucroy-C,La Stella-3B,Rengifo-2B,Calhoun-RF,Cozart-SS,Goodwin-CF
49,"50. Fri,5/24 vs TEX L (3-4)#",Fletcher-LF,Trout-CF,Ohtani-DH,Pujols-1B,Lucroy-C,La Stella-3B,Rengifo-2B,Cozart-SS,Goodwin-RF
50,"51. Sat,5/25 vs TEX W (3-2)#",Fletcher-LF,Trout-CF,Ohtani-DH,Pujols-1B,La Stella-2B,Rengifo-SS,Calhoun-RF,Cozart-3B,Garneau-C
51,"52. Sun,5/26 vs TEX W (7-6)",La Stella-2B,Trout-CF,Ohtani-DH,Calhoun-RF,Lucroy-C,Goodwin-LF,Fletcher-3B,Walsh-1B,Rengifo-SS
52,"53. Mon,5/27 at OAK L (5-8)",La Stella-3B,Trout-CF,Ohtani-DH,Pujols-1B,Calhoun-RF,Fletcher-SS,Goodwin-LF,Garneau-C,Rengifo-2B
53,"54. Tue,5/28 at OAK W (6-4)",La Stella-3B,Trout-CF,Ohtani-DH,Pujols-1B,Calhoun-RF,Lucroy-C,Goodwin-LF,Rengifo-2B,Fletcher-SS
54,"55. Wed,5/29 at OAK W (12-7)",Fletcher-SS,La Stella-3B,Ohtani-DH,Lucroy-C,Calhoun-RF,Puello-LF,Goodwin-CF,Rengifo-2B,Walsh-1B
55,"56. Thu,5/30 at SEA W (9-3)#",Fletcher-SS,Trout-CF,Pujols-1B,La Stella-3B,Lucroy-DH,Puello-LF,Calhoun-RF,Garneau-C,Rengifo-2B
56,"57. Fri,5/31 at SEA L (3-4)",La Stella-3B,Trout-CF,Ohtani-DH,Calhoun-RF,Lucroy-C,Goodwin-LF,Fletcher-SS,Walsh-1B,Rengifo-2B
57,"58. Sat,6/1 at SEA W (6-3)#",Fletcher-SS,Trout-CF,Ohtani-DH,Pujols-1B,Puello-LF,La Stella-3B,Lucroy-C,Calhoun-RF,Rengifo-2B
58,"59. Sun,6/2 at SEA W (13-3)#",Fletcher-SS,Trout-CF,Ohtani-DH,Pujols-1B,Puello-LF,La Stella-3B,Garneau-C,Goodwin-RF,Rengifo-2B
59,"60. Mon,6/3 at CHC L (1-8)#",Fletcher-SS,Trout-CF,Pujols-1B,La Stella-2B,Puello-LF,Lucroy-C,Calhoun-RF,Ward-3B,Bedrosian-P
60,"61. Tue,6/4 vs OAK L (2-4)",La Stella-3B,Trout-CF,Ohtani-DH,Lucroy-C,Calhoun-RF,Fletcher-SS,Goodwin-LF,Walsh-1B,Rengifo-2B
61,"62. Wed,6/5 vs OAK W (10-9)",La Stella-3B,Trout-CF,Ohtani-DH,Pujols-1B,Calhoun-RF,Fletcher-SS,Goodwin-LF,Lucroy-C,Rengifo-2B
62,"63. Thu,6/6 vs OAK L (4-7)",La Stella-3B,Trout-CF,Ohtani-DH,Calhoun-RF,Fletcher-SS,Goodwin-LF,Garneau-C,Walsh-1B,Rengifo-2B
63,"64. Fri,6/7 vs SEA L (2-6)#",Fletcher-3B,Trout-CF,Ohtani-DH,Pujols-1B,Puello-LF,Calhoun-RF,Lucroy-C,Tovar-SS,Rengifo-2B
64,"65. Sat,6/8 vs SEA W (12-3)#",La Stella-3B,Trout-CF,Ohtani-DH,Pujols-1B,Smith-C,Calhoun-RF,Puello-LF,Tovar-SS,Rengifo-2B
65,"66. Sun,6/9 vs SEA L (3-9)",La Stella-3B,Trout-CF,Ohtani-DH,Pujols-1B,Puello-LF,Goodwin-RF,Lucroy-C,Tovar-SS,Rengifo-2B
66,"67. Mon,6/10 vs LAD W (5-3)#",La Stella-3B,Trout-CF,Pujols-1B,Smith-DH,Calhoun-RF,Puello-LF,Lucroy-C,Tovar-SS,Rengifo-2B
67,"68. Tue,6/11 vs LAD W (5-3)",La Stella-3B,Trout-CF,Ohtani-DH,Calhoun-RF,Lucroy-C,Goodwin-LF,Bour-1B,Tovar-SS,Rengifo-2B
68,"69. Thu,6/13 at TBR W (5-3)#",La Stella-3B,Trout-CF,Ohtani-DH,Pujols-1B,Puello-LF,Calhoun-RF,Smith-C,Tovar-SS,Rengifo-2B
69,"70. Fri,6/14 at TBR L (4-9)#",Fletcher-3B,Trout-CF,Ohtani-DH,Pujols-1B,Puello-LF,Calhoun-RF,Lucroy-C,Tovar-SS,Rengifo-2B
70,"71. Sat,6/15 at TBR W (5-3)",Calhoun-RF,Trout-CF,Ohtani-DH,Smith-C,Goodwin-LF,Fletcher-3B,Bour-1B,Tovar-SS,Rengifo-2B
71,"72. Sun,6/16 at TBR L (5-6)",La Stella-2B,Trout-CF,Ohtani-DH,Pujols-1B,Puello-LF,Fletcher-3B,Goodwin-RF,Lucroy-C,Tovar-SS
