,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 at TEX W (4-1)#",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Gonzalez-1B,Reddick-LF,Gattis-DH,Marisnick-CF,McCann-C
1,"2. Fri,3/30 at TEX L (1-5)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Bregman-3B,Gonzalez-1B,Gattis-DH,Fisher-LF,Stassi-C
2,"3. Sat,3/31 at TEX W (9-3)#",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Gonzalez-LF,Gattis-DH,Davis-1B,McCann-C,Marisnick-CF
3,"4. Sun,4/1 at TEX W (8-2)#",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Gonzalez-1B,Gattis-DH,Marisnick-CF,Stassi-C,Fisher-LF
4,"5. Mon,4/2 vs BAL W (6-1)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Reddick-RF,Gonzalez-1B,Gattis-DH,McCann-C,Fisher-LF
5,"6. Tue,4/3 vs BAL W (10-6)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Reddick-RF,Gonzalez-1B,Gattis-DH,McCann-C,Fisher-LF
6,"7. Wed,4/4 vs BAL W (3-2)",Springer-DH,Bregman-3B,Altuve-2B,Reddick-RF,Gonzalez-SS,Stassi-C,Marisnick-CF,Davis-1B,Fisher-LF
7,"8. Fri,4/6 vs SDP L (1-4)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Reddick-RF,Gonzalez-1B,Gattis-DH,McCann-C,Fisher-LF
8,"9. Sat,4/7 vs SDP W (1-0)",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Reddick-LF,Gonzalez-1B,Gattis-DH,McCann-C,Marisnick-CF
9,"10. Sun,4/8 vs SDP W (4-1)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Reddick-RF,Gonzalez-1B,Gattis-DH,Stassi-C,Fisher-LF
10,"11. Mon,4/9 at MIN W (2-0)",Springer-DH,Bregman-3B,Altuve-2B,Correa-SS,Gonzalez-LF,McCann-C,Davis-1B,Marisnick-CF,Fisher-RF
11,"12. Tue,4/10 at MIN L (1-4)",Springer-RF,Bregman-3B,Altuve-DH,Correa-SS,Reddick-LF,Gonzalez-2B,McCann-C,Davis-1B,Marisnick-CF
12,"13. Wed,4/11 at MIN L (8-9)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Reddick-RF,Gattis-DH,Stassi-C,Davis-1B,Fisher-LF
13,"14. Fri,4/13 vs TEX W (3-2)#",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Gurriel-1B,Gattis-DH,Gonzalez-LF,McCann-C,Marisnick-CF
14,"15. Sat,4/14 vs TEX L (5-6)#",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Gurriel-1B,Reddick-RF,Gonzalez-LF,Gattis-DH,Stassi-C
15,"16. Sun,4/15 vs TEX L (1-3)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Reddick-RF,Gurriel-DH,Gonzalez-1B,McCann-C,Fisher-LF
16,"17. Mon,4/16 at SEA L (1-2)#",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Gurriel-1B,Gattis-DH,Gonzalez-LF,Stassi-C,Marisnick-CF
