,0,1,2,3,4,5,6,7,8,9
0,"1. Wed,3/20 vs SEA L (7-9)#",Laureano-CF,Chapman-3B,Piscotty-RF,Davis-DH,Pinder-LF,Olson-1B,Profar-2B,Semien-SS,Hundley-C
1,"2. Thu,3/21 vs SEA L (4-5)#",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Pinder-LF,Olson-1B,Profar-2B,Laureano-CF,Phegley-C
2,"3. Thu,3/28 vs LAA W (4-0)",Grossman-LF,Chapman-3B,Piscotty-RF,Davis-DH,Profar-1B,Pinder-2B,Semien-SS,Laureano-CF,Phegley-C
3,"4. Fri,3/29 vs LAA L (2-6)",Grossman-LF,Chapman-3B,Piscotty-RF,Davis-DH,Morales-1B,Profar-2B,Semien-SS,Laureano-CF,Hundley-C
4,"5. Sat,3/30 vs LAA W (4-2)",Grossman-LF,Chapman-3B,Piscotty-RF,Davis-DH,Morales-1B,Profar-2B,Semien-SS,Canha-CF,Phegley-C
5,"6. Sun,3/31 vs LAA W (2-1)#",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Canha-1B,Pinder-LF,Profar-2B,Laureano-CF,Hundley-C
6,"7. Mon,4/1 vs BOS W (7-0)#",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Canha-1B,Pinder-LF,Profar-2B,Laureano-CF,Hundley-C
7,"8. Tue,4/2 vs BOS W (1-0)#",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Morales-1B,Canha-LF,Profar-2B,Laureano-CF,Phegley-C
8,"9. Wed,4/3 vs BOS L (3-6)",Grossman-LF,Chapman-3B,Piscotty-RF,Davis-DH,Morales-1B,Profar-2B,Semien-SS,Laureano-CF,Hundley-C
9,"10. Thu,4/4 vs BOS W (7-3)#",Grossman-LF,Semien-SS,Piscotty-RF,Davis-DH,Pinder-3B,Canha-1B,Profar-2B,Laureano-CF,Phegley-C
10,"11. Fri,4/5 at HOU L (2-3)",Grossman-LF,Chapman-3B,Piscotty-RF,Davis-DH,Morales-1B,Semien-SS,Profar-2B,Laureano-CF,Hundley-C
11,"12. Sat,4/6 at HOU L (0-6)#",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Pinder-2B,Morales-1B,Canha-LF,Laureano-CF,Hundley-C
12,"13. Sun,4/7 at HOU L (8-9)",Grossman-LF,Chapman-3B,Piscotty-RF,Morales-DH,Pinder-1B,Semien-SS,Profar-2B,Laureano-CF,Phegley-C
13,"14. Mon,4/8 at BAL L (4-12)",Grossman-LF,Chapman-3B,Piscotty-RF,Davis-DH,Morales-1B,Semien-SS,Profar-2B,Canha-CF,Phegley-C
14,"15. Tue,4/9 at BAL W (13-2)#",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Pinder-LF,Canha-1B,Laureano-CF,Profar-2B,Phegley-C
15,"16. Wed,4/10 at BAL W (10-3)",Grossman-LF,Semien-SS,Chapman-3B,Davis-DH,Morales-1B,Pinder-RF,Profar-2B,Laureano-CF,Hundley-C
16,"17. Thu,4/11 at BAL W (8-5)",Grossman-LF,Semien-SS,Piscotty-RF,Davis-DH,Morales-1B,Pinder-3B,Profar-2B,Laureano-CF,Phegley-C
17,"18. Fri,4/12 at TEX W (8-6)#",Semien-SS,Canha-1B,Chapman-3B,Davis-DH,Pinder-LF,Piscotty-RF,Profar-2B,Laureano-CF,Phegley-C
18,"19. Sun,4/14 at TEX L (7-8)",Grossman-LF,Semien-SS,Chapman-3B,Davis-DH,Morales-1B,Piscotty-RF,Profar-2B,Laureano-CF,Phegley-C
19,"20. Tue,4/16 vs HOU L (1-9)",Grossman-LF,Semien-SS,Chapman-3B,Davis-DH,Morales-1B,Piscotty-RF,Profar-2B,Laureano-CF,Hundley-C
20,"21. Wed,4/17 vs HOU W (2-1)#",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Pinder-LF,Canha-1B,Laureano-CF,Profar-2B,Phegley-C
21,"22. Fri,4/19 vs TOR L (1-5)",Grossman-LF,Semien-SS,Chapman-3B,Davis-DH,Morales-1B,Piscotty-RF,Profar-2B,Laureano-CF,Phegley-C
22,"23. Sat,4/20 vs TOR L (1-10)",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Morales-1B,Pinder-LF,Profar-2B,Laureano-CF,Phegley-C
23,"24. Sun,4/21 vs TOR L (4-5)",Grossman-LF,Semien-SS,Chapman-3B,Davis-DH,Morales-1B,Piscotty-RF,Profar-2B,Laureano-CF,Hundley-C
24,"25. Mon,4/22 vs TEX W (6-1)#",Semien-SS,Canha-1B,Chapman-3B,Davis-DH,Pinder-LF,Piscotty-RF,Laureano-CF,Profar-2B,Phegley-C
25,"26. Tue,4/23 vs TEX W (11-5)",Grossman-LF,Semien-SS,Chapman-3B,Davis-DH,Piscotty-RF,Morales-1B,Pinder-2B,Laureano-CF,Phegley-C
26,"27. Wed,4/24 vs TEX W (6-5)",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Pinder-LF,Canha-1B,Profar-2B,Laureano-CF,Hundley-C
27,"28. Fri,4/26 at TOR L (2-4)",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Morales-1B,Pinder-LF,Profar-2B,Laureano-CF,Phegley-C
28,"29. Sat,4/27 at TOR L (1-7)",Grossman-LF,Semien-SS,Chapman-3B,Davis-DH,Piscotty-RF,Morales-1B,Laureano-CF,Profar-2B,Hundley-C
29,"30. Sun,4/28 at TOR L (4-5)",Semien-SS,Grossman-LF,Chapman-3B,Davis-DH,Piscotty-RF,Pinder-2B,Canha-1B,Laureano-CF,Phegley-C
30,"31. Mon,4/29 at BOS L (4-9)#",Semien-SS,Chapman-3B,Piscotty-RF,Davis-DH,Pinder-LF,Morales-1B,Laureano-CF,Profar-2B,Phegley-C
31,"32. Tue,4/30 at BOS L (1-5)",Semien-SS,Grossman-LF,Chapman-3B,Davis-DH,Piscotty-RF,Morales-1B,Pinder-2B,Laureano-CF,Hundley-C
32,"33. Wed,5/1 at BOS L (3-7)",Semien-SS,Grossman-LF,Chapman-3B,Davis-DH,Piscotty-RF,Morales-1B,Pinder-2B,Laureano-CF,Phegley-C
33,"34. Fri,5/3 at PIT W (14-1)",Semien-SS,Laureano-CF,Chapman-3B,Davis-LF,Piscotty-RF,Morales-1B,Profar-2B,Phegley-C,Anderson-P
34,"35. Sat,5/4 at PIT L (4-6)",Semien-SS,Grossman-CF,Chapman-3B,Davis-LF,Morales-1B,Piscotty-RF,Profar-2B,Phegley-C,Bassitt-P
35,"36. Sun,5/5 at PIT L (3-5)",Semien-SS,Laureano-CF,Chapman-3B,Davis-LF,Morales-1B,Piscotty-RF,Profar-2B,Hundley-C,Montas-P
36,"37. Tue,5/7 vs CIN W (2-0)",Semien-SS,Grossman-LF,Chapman-3B,Morales-DH,Olson-1B,Piscotty-RF,Profar-2B,Laureano-CF,Phegley-C
