,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 vs PIT W (5-3)",Pedroia-2B,Benintendi-LF,Betts-RF,Ramirez-DH,Moreland-1B,Bogaerts-SS,Bradley-CF,Sandoval-3B,Leon-C
1,"2. Wed,4/5 vs PIT W (3-0)",Pedroia-2B,Benintendi-LF,Bogaerts-SS,Ramirez-DH,Moreland-1B,Young-RF,Bradley-CF,Sandoval-3B,Leon-C
2,"3. Fri,4/7 at DET L (5-6)",Holt-DH,Pedroia-2B,Benintendi-LF,Moreland-1B,Young-RF,Bradley-CF,Leon-C,Sandoval-3B,Hernandez-SS
3,"4. Sat,4/8 at DET L (1-4)",Holt-DH,Pedroia-2B,Benintendi-LF,Moreland-1B,Sandoval-3B,Bradley-CF,Young-RF,Hernandez-SS,Vazquez-C
4,"5. Sun,4/9 at DET W (7-5)#",Pedroia-2B,Benintendi-LF,Betts-RF,Young-DH,Moreland-1B,Selsky-CF,Leon-C,Sandoval-3B,Hernandez-SS
5,"6. Mon,4/10 at DET L (1-2)",Pedroia-2B,Benintendi-CF,Betts-RF,Moreland-1B,Sandoval-DH,Young-LF,Holt-3B,Leon-C,Hernandez-SS
6,"7. Tue,4/11 vs BAL W (8-1)",Pedroia-2B,Benintendi-CF,Betts-RF,Ramirez-DH,Moreland-1B,Bogaerts-SS,Sandoval-3B,Young-LF,Vazquez-C
7,"8. Wed,4/12 vs BAL L (5-12)",Pedroia-2B,Benintendi-CF,Betts-RF,Ramirez-DH,Moreland-1B,Bogaerts-SS,Sandoval-3B,Young-LF,Leon-C
8,"9. Thu,4/13 vs PIT W (4-3)",Pedroia-2B,Benintendi-CF,Betts-RF,Ramirez-DH,Moreland-1B,Bogaerts-SS,Hernandez-3B,Vazquez-C,Holt-LF
9,"10. Fri,4/14 vs TBR L (5-10)",Pedroia-2B,Benintendi-CF,Betts-RF,Ramirez-DH,Moreland-1B,Bogaerts-SS,Sandoval-3B,Young-LF,Leon-C
10,"11. Sat,4/15 vs TBR W (2-1)",Pedroia-2B,Benintendi-CF,Betts-RF,Ramirez-DH,Moreland-1B,Bogaerts-SS,Sandoval-3B,Young-LF,Leon-C
