,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 vs PHI W (8-5)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Flowers-C,Tucker-LF,Swanson-SS,Flaherty-3B,Teheran-P
1,"2. Fri,3/30 vs PHI L (4-5)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Suzuki-C,Tucker-LF,Swanson-SS,Flaherty-3B,Foltynewicz-P
2,"3. Sat,3/31 vs PHI W (15-2)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Tucker-LF,Swanson-SS,Flaherty-3B,Stewart-C,McCarthy-P
3,"4. Mon,4/2 vs WSN L (1-8)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Tucker-LF,Swanson-SS,Flaherty-3B,Stewart-C,Newcomb-P
4,"5. Tue,4/3 vs WSN W (13-6)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Tucker-LF,Swanson-SS,Flaherty-3B,Stewart-C,Teheran-P
5,"6. Wed,4/4 vs WSN W (7-1)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Tucker-LF,Culberson-SS,Flaherty-3B,Perez-C,Foltynewicz-P
6,"7. Fri,4/6 at COL W (8-3)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Suzuki-C,Tucker-LF,Swanson-SS,Flaherty-3B,McCarthy-P
7,"8. Sat,4/7 at COL L (2-3)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Tucker-LF,Swanson-SS,Flaherty-3B,Perez-C,Sanchez-P
8,"9. Sun,4/8 at COL W (4-0)#",Inciarte-CF,Albies-2B,Freeman-1B,Suzuki-C,Markakis-RF,Swanson-SS,Culberson-3B,Bourjos-LF,Newcomb-P
9,"10. Mon,4/9 at WSN L (0-2)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Suzuki-C,Tucker-LF,Swanson-SS,Flaherty-3B,Teheran-P
10,"11. Tue,4/10 at WSN L (1-4)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Tucker-LF,Swanson-SS,Flaherty-3B,Perez-C,Foltynewicz-P
11,"12. Wed,4/11 at WSN W (5-3)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Suzuki-C,Tucker-LF,Swanson-SS,Culberson-3B,McCarthy-P
12,"13. Fri,4/13 at CHC W (4-0)",Inciarte-CF,Albies-2B,Freeman-1B,Markakis-RF,Suzuki-C,Tucker-LF,Swanson-SS,Flaherty-3B,Sanchez-P
13,"14. Sat,4/14 at CHC L (10-14)#",Albies-2B,Swanson-SS,Freeman-1B,Suzuki-C,Markakis-RF,Adams-LF,Culberson-3B,Bourjos-CF,Newcomb-P
