,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/4 vs SFG L (3-12)#",Santana-RF,Villar-SS,Braun-LF,Lucroy-C,Carter-1B,Hill-3B,Gennett-2B,Peralta-P,Broxton-CF
1,"2. Tue,4/5 vs SFG L (1-2)",Santana-RF,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Flores-CF,Hill-3B,Villar-SS,Nelson-P
2,"3. Wed,4/6 vs SFG W (4-3)",Santana-RF,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Flores-CF,Hill-3B,Jungmann-P,Villar-SS
3,"4. Fri,4/8 vs HOU W (6-4)",Santana-RF,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Hill-3B,Villar-SS,Anderson-P,Broxton-CF
4,"5. Sat,4/9 vs HOU L (4-6)",Santana-RF,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Nieuwenhuis-CF,Hill-3B,Peralta-P,Villar-SS
5,"6. Sun,4/10 vs HOU W (3-2)#",Santana-RF,Villar-SS,Braun-LF,Carter-1B,Hill-3B,Maldonado-C,Rivera-2B,Nelson-P,Broxton-CF
6,"7. Mon,4/11 at STL L (1-10)",Santana-RF,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Hill-3B,Villar-SS,Jungmann-P,Broxton-CF
7,"8. Wed,4/13 at STL W (6-4)",Santana-RF,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Walsh-3B,Flores-CF,Rivera-SS,Anderson-P
8,"9. Thu,4/14 at STL L (0-7)#",Santana-RF,Gennett-2B,Braun-LF,Lucroy-1B,Hill-3B,Maldonado-C,Rivera-SS,Peralta-P,Broxton-CF
9,"10. Fri,4/15 at PIT W (8-4)#",Santana-RF,Villar-SS,Braun-LF,Lucroy-C,Carter-1B,Hill-3B,Gennett-2B,Nelson-P,Broxton-CF
10,"11. Sat,4/16 at PIT L (0-5)#",Santana-RF,Villar-SS,Braun-LF,Lucroy-C,Carter-1B,Hill-3B,Gennett-2B,Flores-CF,Jungmann-P
11,"12. Sun,4/17 at PIT L (3-9)",Santana-RF,Gennett-2B,Lucroy-C,Carter-1B,Flores-LF,Hill-3B,Nieuwenhuis-CF,Davies-P,Villar-SS
12,"13. Mon,4/18 at MIN L (4-7)",Santana-RF,Gennett-2B,Braun-DH,Lucroy-C,Carter-1B,Hill-3B,Nieuwenhuis-CF,Villar-SS,Flores-LF
13,"14. Tue,4/19 at MIN W (6-5)",Walsh-3B,Gennett-2B,Braun-LF,Lucroy-DH,Carter-1B,Nieuwenhuis-CF,Villar-SS,Flores-RF,Maldonado-C
14,"15. Wed,4/20 vs MIN W (10-5)#",Santana-RF,Villar-SS,Braun-LF,Lucroy-C,Carter-1B,Hill-3B,Rivera-2B,Flores-CF,Nelson-P
15,"16. Thu,4/21 vs MIN L (1-8)",Santana-RF,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Hill-3B,Flores-CF,Jungmann-P,Villar-SS
16,"17. Fri,4/22 vs PHI L (2-5)",Santana-RF,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Hill-3B,Flores-CF,Davies-P,Villar-SS
17,"18. Sat,4/23 vs PHI L (6-10)",Villar-SS,Gennett-2B,Braun-LF,Lucroy-C,Carter-1B,Nieuwenhuis-CF,Walsh-3B,Presley-RF,Anderson-P
18,"19. Sun,4/24 vs PHI W (8-5)",Santana-RF,Gennett-2B,Braun-LF,Carter-1B,Nieuwenhuis-CF,Hill-3B,Villar-SS,Maldonado-C,Peralta-P
19,"20. Tue,4/26 at CHC L (3-4)",Santana-RF,Villar-SS,Lucroy-C,Carter-1B,Nieuwenhuis-CF,Hill-3B,Flores-LF,Rivera-2B,Nelson-P
20,"21. Thu,4/28 at CHC L (2-7)",Villar-SS,Presley-RF,Braun-LF,Lucroy-C,Carter-1B,Nieuwenhuis-CF,Hill-3B,Rivera-2B,Jungmann-P
