,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 at MIA W (8-4)",Happ-CF,Bryant-3B,Rizzo-1B,Contreras-C,Schwarber-LF,Russell-SS,Heyward-RF,Baez-2B,Lester-P
1,"2. Fri,3/30 at MIA L (1-2)#",Almora-CF,Bryant-3B,Rizzo-1B,Contreras-C,Schwarber-LF,Russell-SS,Zobrist-RF,Baez-2B,Hendricks-P
2,"3. Sat,3/31 at MIA W (10-6)",Happ-CF,Bryant-3B,Rizzo-1B,Contreras-C,Schwarber-LF,Russell-SS,Zobrist-2B,Heyward-RF,Darvish-P
3,"4. Sun,4/1 at MIA L (0-6)#",Almora-CF,Bryant-3B,Rizzo-1B,Russell-SS,Schwarber-LF,Caratini-C,Heyward-RF,Baez-2B,Quintana-P
4,"5. Mon,4/2 at CIN L (0-1)",Happ-CF,Bryant-3B,Rizzo-1B,Contreras-C,Schwarber-LF,Russell-SS,Heyward-RF,Baez-2B,Chatwood-P
5,"6. Thu,4/5 at MIL W (8-0)#",Happ-LF,Zobrist-RF,Bryant-3B,Rizzo-1B,Contreras-C,Almora-CF,Russell-SS,Baez-2B,Lester-P
6,"7. Fri,4/6 at MIL L (4-5)",Zobrist-RF,Bryant-3B,Schwarber-LF,Contreras-C,Russell-SS,Caratini-1B,Heyward-CF,Baez-2B,Hendricks-P
7,"8. Sat,4/7 at MIL W (5-2)",Happ-CF,Bryant-3B,Schwarber-LF,Contreras-C,La Stella-2B,Caratini-1B,Heyward-RF,Baez-SS,Darvish-P
8,"9. Sun,4/8 at MIL W (3-0)",Almora-CF,Bryant-3B,Zobrist-2B,Contreras-C,Schwarber-LF,Russell-SS,Caratini-1B,Heyward-RF,Quintana-P
9,"10. Tue,4/10 vs PIT L (5-8)",Happ-CF,Bryant-3B,Zobrist-1B,Contreras-C,Schwarber-LF,Russell-SS,Heyward-RF,Baez-2B,Chatwood-P
10,"11. Wed,4/11 vs PIT W (13-5)#",Almora-CF,Bryant-3B,Contreras-C,Zobrist-LF,Russell-SS,Caratini-1B,Baez-2B,Heyward-RF,Lester-P
11,"12. Thu,4/12 vs PIT L (1-6)",Happ-CF,Bryant-3B,Zobrist-1B,Schwarber-LF,Russell-SS,Caratini-C,Baez-2B,Heyward-RF,Hendricks-P
12,"13. Fri,4/13 vs ATL L (0-4)",Happ-CF,La Stella-3B,Bryant-1B,Contreras-C,Schwarber-LF,Russell-SS,Baez-2B,Heyward-RF,Darvish-P
13,"14. Sat,4/14 vs ATL W (14-10)#",Happ-LF,Almora-CF,Bryant-3B,Contreras-C,Zobrist-1B,Baez-2B,Russell-SS,Heyward-RF,Quintana-P
14,"15. Tue,4/17 vs STL L (3-5)",Happ-CF,Bryant-3B,Rizzo-1B,Contreras-C,Schwarber-LF,Baez-2B,Russell-SS,Heyward-RF,Chatwood-P
15,"16. Thu,4/19 vs STL W (8-5)",Almora-CF,Baez-2B,Bryant-3B,Rizzo-1B,Contreras-C,Schwarber-LF,Russell-SS,Heyward-RF,Lester-P
16,"17. Fri,4/20 at COL W (16-5)",Almora-CF,Baez-2B,Bryant-3B,Rizzo-1B,Contreras-C,Schwarber-LF,Russell-SS,Heyward-RF,Hendricks-P
17,"18. Sat,4/21 at COL L (2-5)#",Almora-CF,Baez-2B,Bryant-RF,Rizzo-1B,Contreras-C,Happ-LF,Russell-SS,Bote-3B,Darvish-P
18,"19. Sun,4/22 at COL W (9-7)",Almora-CF,Baez-SS,Bryant-3B,Rizzo-1B,La Stella-2B,Schwarber-LF,Caratini-C,Heyward-RF,Quintana-P
19,"20. Tue,4/24 at CLE W (10-3)",Almora-CF,Baez-2B,Rizzo-1B,Contreras-C,La Stella-3B,Schwarber-DH,Russell-SS,Heyward-RF,Happ-LF
