,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/4 vs PHI W (6-2)",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Mesoraco-C,Duvall-LF,Iglesias-P,Hamilton-CF
1,"2. Wed,4/6 vs PHI W (3-2)",Cozart-SS,Suarez-3B,Votto-1B,Mesoraco-C,Bruce-RF,Schebler-LF,De Jesus-2B,Finnegan-P,Hamilton-CF
2,"3. Thu,4/7 vs PHI W (10-6)",Schebler-CF,Suarez-3B,Votto-1B,Duvall-LF,Bruce-RF,Pacheco-2B,De Jesus-SS,Barnhart-C,Stephenson-P
3,"4. Fri,4/8 vs PIT L (5-6)#",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Mesoraco-C,Bruce-RF,Duvall-LF,Simon-P,Hamilton-CF
4,"5. Sat,4/9 vs PIT W (5-1)",Hamilton-CF,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Schebler-LF,De Jesus-SS,Barnhart-C,Iglesias-P
5,"6. Sun,4/10 vs PIT W (2-1)#",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Mesoraco-C,Bruce-RF,Duvall-LF,Melville-P,Hamilton-CF
6,"7. Mon,4/11 at CHC L (3-5)#",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Mesoraco-C,Bruce-RF,Duvall-LF,Finnegan-P,Hamilton-CF
7,"8. Wed,4/13 at CHC L (2-9)",Hamilton-CF,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Schebler-LF,De Jesus-SS,Barnhart-C,Simon-P
8,"9. Thu,4/14 at CHC L (1-8)",Hamilton-CF,Suarez-SS,Votto-1B,Phillips-2B,Bruce-RF,Duvall-LF,Pacheco-3B,Barnhart-C,Iglesias-P
9,"10. Fri,4/15 at STL L (3-14)",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Schebler-LF,Barnhart-C,Melville-P,Hamilton-CF
10,"11. Sat,4/16 at STL W (9-8)",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Mesoraco-C,Duvall-LF,Schebler-CF,Finnegan-P
11,"12. Sun,4/17 at STL L (3-4)",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Mesoraco-C,Duvall-LF,Schebler-CF,Moscot-P
12,"13. Mon,4/18 vs COL L (1-5)",Cozart-SS,Pacheco-3B,Votto-1B,Phillips-2B,Bruce-RF,Duvall-LF,Barnhart-C,Straily-P,Hamilton-CF
13,"14. Tue,4/19 vs COL W (4-3)#",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Mesoraco-C,Bruce-RF,Holt-LF,Stephenson-P,Hamilton-CF
14,"15. Wed,4/20 vs COL W (6-5)",Hamilton-CF,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Duvall-LF,Barnhart-C,De Jesus-SS,Iglesias-P
15,"16. Thu,4/21 vs CHC L (0-16)",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Mesoraco-C,Duvall-LF,Schebler-CF,Finnegan-P
16,"17. Fri,4/22 vs CHC L (1-8)#",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Mesoraco-C,Bruce-RF,Duvall-LF,Holt-CF,Moscot-P
17,"18. Sat,4/23 vs CHC W (13-5)",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Mesoraco-C,Duvall-LF,Schebler-CF,Straily-P
18,"19. Sun,4/24 vs CHC L (0-9)",Schebler-CF,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Duvall-LF,Barnhart-C,De Jesus-SS,Simon-P
19,"20. Mon,4/25 at NYM L (3-5)",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Mesoraco-C,Duvall-RF,Schebler-LF,Iglesias-P,Hamilton-CF
20,"21. Tue,4/26 at NYM L (3-4)",Cozart-SS,Holt-RF,Votto-1B,Suarez-3B,Duvall-LF,Barnhart-C,De Jesus-2B,Finnegan-P,Hamilton-CF
21,"22. Wed,4/27 at NYM L (2-5)",Cozart-SS,De Jesus-2B,Votto-1B,Suarez-3B,Mesoraco-C,Duvall-RF,Schebler-LF,Moscot-P,Hamilton-CF
22,"23. Fri,4/29 at PIT L (1-4)",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Bruce-RF,Barnhart-C,Schebler-LF,Straily-P,Hamilton-CF
23,"24. Sat,4/30 at PIT L (1-5)#",Cozart-SS,Suarez-3B,Votto-1B,Phillips-2B,Duvall-LF,Bruce-RF,Barnhart-C,Simon-P,Hamilton-CF
24,"25. Sun,5/1 at PIT W (6-5)#",Cozart-SS,Hamilton-CF,Votto-1B,Phillips-2B,Bruce-RF,Suarez-3B,Duvall-LF,Barnhart-C,Adleman-P
25,"26. Mon,5/2 vs SFG L (6-9)",Hamilton-CF,De Jesus-SS,Votto-1B,Phillips-2B,Bruce-RF,Suarez-3B,Schebler-LF,Barnhart-C,Finnegan-P
26,"27. Tue,5/3 vs SFG L (1-3)",Hamilton-CF,De Jesus-SS,Votto-1B,Phillips-2B,Bruce-RF,Suarez-3B,Duvall-LF,Barnhart-C,Lamb-P
27,"28. Wed,5/4 vs SFG W (7-4)",Cozart-SS,Holt-CF,Votto-1B,Phillips-2B,Bruce-RF,Suarez-3B,Duvall-LF,Cabrera-C,Straily-P
28,"29. Thu,5/5 vs MIL W (9-5)",Cozart-SS,Hamilton-CF,Votto-1B,Phillips-2B,Bruce-RF,Suarez-3B,Duvall-LF,Barnhart-C,Simon-P
