,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 at ARI L (2-8)#",Blackmon-CF,LeMahieu-2B,Arenado-3B,Story-SS,Gonzalez-RF,Desmond-1B,Parra-LF,Iannetta-C,Gray-P
1,"2. Fri,3/30 at ARI L (8-9)#",Blackmon-CF,LeMahieu-2B,Arenado-3B,Story-SS,Gonzalez-RF,Desmond-1B,Parra-LF,Iannetta-C,Anderson-P
2,"3. Sat,3/31 at ARI W (2-1)",Blackmon-CF,LeMahieu-2B,Arenado-3B,Gonzalez-RF,Parra-LF,Desmond-1B,Story-SS,Wolters-C,Marquez-P
3,"4. Mon,4/2 at SDP W (7-4)",Blackmon-CF,LeMahieu-2B,Arenado-3B,Gonzalez-RF,Desmond-1B,Parra-LF,Story-SS,Iannetta-C,Bettis-P
4,"5. Tue,4/3 at SDP L (4-8)",Blackmon-CF,LeMahieu-2B,Arenado-3B,Gonzalez-RF,Parra-LF,Story-SS,Iannetta-C,McMahon-1B,Freeland-P
5,"6. Wed,4/4 at SDP W (5-2)#",Blackmon-CF,LeMahieu-2B,Arenado-3B,Desmond-LF,Story-SS,Gonzalez-RF,Valaika-1B,Wolters-C,Gray-P
6,"7. Thu,4/5 at SDP W (3-1)#",Blackmon-CF,LeMahieu-2B,Arenado-3B,Desmond-LF,Story-SS,Iannetta-C,Parra-RF,Valaika-1B,Anderson-P
7,"8. Fri,4/6 vs ATL L (3-8)",Blackmon-CF,LeMahieu-2B,Arenado-3B,Gonzalez-RF,Desmond-1B,Parra-LF,Story-SS,Iannetta-C,Marquez-P
8,"9. Sat,4/7 vs ATL W (3-2)",Blackmon-CF,LeMahieu-2B,Arenado-3B,Gonzalez-RF,Desmond-1B,Parra-LF,Story-SS,Wolters-C,Bettis-P
9,"10. Sun,4/8 vs ATL L (0-4)#",LeMahieu-2B,Iannetta-C,Arenado-3B,Story-SS,Desmond-LF,Parra-RF,Valaika-1B,Tauchman-CF,Freeland-P
10,"11. Mon,4/9 vs SDP L (6-7)#",Blackmon-CF,LeMahieu-2B,Arenado-3B,Story-SS,Desmond-LF,Iannetta-C,Gonzalez-RF,Valaika-1B,Gray-P
11,"12. Tue,4/10 vs SDP L (2-5)#",LeMahieu-2B,Iannetta-C,Arenado-3B,Story-SS,Desmond-LF,Parra-RF,Valaika-1B,Tauchman-CF,Anderson-P
12,"13. Wed,4/11 vs SDP W (6-4)",LeMahieu-2B,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,Tauchman-CF,McMahon-1B,Wolters-C,Marquez-P
13,"14. Thu,4/12 at WSN W (5-1)#",LeMahieu-2B,Iannetta-C,Arenado-3B,Story-SS,Desmond-CF,Gonzalez-RF,Valaika-1B,Parra-LF,Bettis-P
14,"15. Fri,4/13 at WSN W (2-1)",LeMahieu-2B,Parra-LF,Arenado-3B,Gonzalez-RF,Iannetta-C,Desmond-CF,Story-SS,McMahon-1B,Freeland-P
15,"16. Sat,4/14 at WSN L (2-6)",LeMahieu-2B,Parra-LF,Blackmon-CF,Gonzalez-RF,Desmond-1B,Story-SS,McMahon-3B,Wolters-C,Gray-P
16,"17. Sun,4/15 at WSN W (6-5)",LeMahieu-2B,Iannetta-C,Blackmon-CF,Gonzalez-RF,Parra-LF,Desmond-1B,Story-SS,McMahon-3B,Anderson-P
17,"18. Mon,4/16 at PIT W (6-2)#",LeMahieu-2B,Iannetta-C,Blackmon-CF,Desmond-1B,Gonzalez-RF,Story-SS,Valaika-3B,Parra-LF,Marquez-P
18,"19. Tue,4/17 at PIT W (2-0)",LeMahieu-2B,Parra-LF,Blackmon-CF,Gonzalez-RF,Desmond-1B,Story-SS,McMahon-3B,Wolters-C,Bettis-P
19,"20. Wed,4/18 at PIT L (2-10)",LeMahieu-2B,Iannetta-C,Blackmon-CF,Gonzalez-RF,Desmond-1B,Story-SS,McMahon-3B,Tauchman-LF,Freeland-P
20,"21. Fri,4/20 vs CHC L (5-16)",LeMahieu-2B,Iannetta-C,Blackmon-CF,Arenado-3B,Parra-RF,Story-SS,Desmond-LF,McMahon-1B,Gray-P
21,"22. Sat,4/21 vs CHC W (5-2)",LeMahieu-2B,Parra-RF,Blackmon-CF,Arenado-3B,Story-SS,McMahon-1B,Tauchman-LF,Wolters-C,Anderson-P
22,"23. Sun,4/22 vs CHC L (7-9)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Iannetta-C,Dahl-LF,Desmond-1B,Cuevas-RF,Marquez-P
23,"24. Mon,4/23 vs SDP L (5-13)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Dahl-RF,Story-SS,Desmond-LF,McMahon-1B,Wolters-C,Bettis-P
24,"25. Tue,4/24 vs SDP W (8-0)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Iannetta-C,Dahl-LF,Desmond-1B,Cuevas-RF,Freeland-P
25,"26. Wed,4/25 vs SDP W (5-2)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Dahl-RF,Story-SS,Desmond-LF,McMahon-1B,Wolters-C,Gray-P
26,"27. Fri,4/27 at MIA W (1-0)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Dahl-RF,Story-SS,Parra-LF,Desmond-1B,Iannetta-C,Anderson-P
27,"28. Sat,4/28 at MIA L (1-4)#",Blackmon-CF,Desmond-1B,Arenado-3B,Story-SS,Iannetta-C,Parra-LF,Cuevas-RF,Valaika-2B,Marquez-P
28,"29. Sun,4/29 at MIA L (0-3)#",Blackmon-CF,Desmond-1B,Arenado-3B,Story-SS,Dahl-LF,Cuevas-RF,Valaika-2B,Wolters-C,Bettis-P
29,"30. Mon,4/30 at CHC L (2-3)#",Desmond-1B,Blackmon-CF,Arenado-3B,Story-SS,Iannetta-C,Parra-LF,Cuevas-RF,Valaika-2B,Freeland-P
30,"31. Tue,5/1 at CHC W (3-1)",Blackmon-CF,Dahl-LF,Arenado-3B,Gonzalez-RF,Story-SS,Desmond-1B,Castro-2B,Wolters-C,Gray-P
31,"32. Wed,5/2 at CHC W (11-2)",Blackmon-CF,Dahl-RF,Arenado-3B,Story-SS,Parra-LF,Iannetta-C,Castro-2B,Valaika-1B,Anderson-P
32,"33. Fri,5/4 at NYM W (8-7)",Blackmon-CF,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,Desmond-1B,Castro-2B,Wolters-C,Marquez-P
33,"34. Sat,5/5 at NYM W (2-0)#",Blackmon-CF,Desmond-1B,Arenado-3B,Story-SS,Iannetta-C,Cuevas-LF,Gonzalez-RF,Valaika-2B,Bettis-P
34,"35. Sun,5/6 at NYM W (3-2)",Blackmon-CF,Dahl-RF,Arenado-3B,Parra-LF,Story-SS,Desmond-1B,Castro-2B,Wolters-C,Freeland-P
35,"36. Tue,5/8 vs LAA W (4-2)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Parra-LF,Cuevas-RF,Wolters-C,Gray-P
36,"37. Wed,5/9 vs LAA L (0-8)",Blackmon-CF,Dahl-LF,Arenado-3B,Gonzalez-RF,Story-SS,Iannetta-C,Desmond-1B,Castro-2B,Anderson-P
37,"38. Thu,5/10 vs MIL L (2-5)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Dahl-RF,Story-SS,Parra-LF,Desmond-1B,Wolters-C,Marquez-P
38,"39. Fri,5/11 vs MIL L (10-11)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Iannetta-C,Bettis-P
39,"40. Sat,5/12 vs MIL W (4-0)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Cuevas-RF,Parra-LF,Iannetta-C,Freeland-P
40,"41. Sun,5/13 vs MIL L (3-7)",LeMahieu-2B,Dahl-LF,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Desmond-1B,Wolters-C,Gray-P
41,"42. Mon,5/14 at SDP W (6-4)#",Blackmon-CF,Cuevas-RF,Arenado-3B,Story-SS,Desmond-1B,Iannetta-C,Parra-LF,Castro-2B,Anderson-P
42,"43. Tue,5/15 at SDP L (0-4)",Dahl-CF,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,Valaika-1B,Wolters-C,Castro-2B,Marquez-P
43,"44. Thu,5/17 at SFG W (5-3)",Blackmon-CF,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,Desmond-1B,Wolters-C,Castro-2B,Bettis-P
44,"45. Fri,5/18 at SFG W (6-1)#",Blackmon-CF,Iannetta-C,Arenado-3B,Story-SS,Cuevas-RF,Desmond-1B,Dahl-LF,Castro-2B,Freeland-P
45,"46. Sat,5/19 at SFG L (4-9)",Blackmon-CF,Dahl-RF,Arenado-3B,Parra-LF,Story-SS,Desmond-1B,Wolters-C,Castro-2B,Gray-P
46,"47. Sun,5/20 at SFG L (5-9)#",Blackmon-CF,Desmond-1B,Arenado-3B,Story-SS,Iannetta-C,Cuevas-LF,Gonzalez-RF,Valaika-2B,Anderson-P
47,"48. Mon,5/21 at LAD W (2-1)",Blackmon-CF,Dahl-RF,Arenado-3B,Parra-LF,Story-SS,Desmond-1B,Wolters-C,Valaika-2B,Marquez-P
48,"49. Tue,5/22 at LAD L (3-5)",Blackmon-CF,Parra-LF,Arenado-3B,Story-SS,Gonzalez-RF,Desmond-1B,Iannetta-C,Castro-2B,Bettis-P
49,"50. Wed,5/23 at LAD L (0-3)",Blackmon-CF,Dahl-RF,Arenado-3B,Parra-LF,Story-SS,Desmond-1B,Iannetta-C,Castro-2B,Freeland-P
50,"51. Fri,5/25 vs CIN W (5-4)",Blackmon-CF,Dahl-RF,Arenado-3B,Parra-LF,Story-SS,Desmond-1B,Wolters-C,Valaika-2B,Gray-P
51,"52. Sat,5/26 vs CIN L (5-6)",Blackmon-CF,Dahl-RF,Arenado-3B,Parra-LF,Story-SS,Desmond-1B,McMahon-2B,Iannetta-C,Anderson-P
52,"53. Sun,5/27 vs CIN W (8-2)",Blackmon-CF,Dahl-LF,Arenado-3B,Story-SS,Gonzalez-RF,Desmond-1B,McMahon-2B,Wolters-C,Marquez-P
53,"54. Mon,5/28 vs SFG W (6-5)#",Blackmon-CF,Cuevas-LF,Arenado-3B,Story-SS,Gonzalez-RF,Desmond-1B,Iannetta-C,McMahon-2B,Bettis-P
54,"55. Tue,5/29 vs SFG W (11-4)",Blackmon-CF,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,Desmond-1B,McMahon-2B,Iannetta-C,Freeland-P
55,"56. Wed,5/30 vs SFG L (4-7)#",Blackmon-CF,Cuevas-LF,Arenado-3B,Story-SS,Gonzalez-RF,Desmond-1B,Castro-2B,Wolters-C,Gray-P
56,"57. Fri,6/1 vs LAD L (8-11)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Iannetta-C,Anderson-P
57,"58. Sat,6/2 vs LAD L (4-12)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Wolters-C,Marquez-P
58,"59. Sun,6/3 vs LAD L (7-10)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-LF,Cuevas-RF,Iannetta-C,McMahon-1B,Bettis-P
59,"60. Tue,6/5 at CIN W (9-6)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Iannetta-C,Freeland-P
60,"61. Wed,6/6 at CIN W (6-3)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Wolters-C,Gray-P
61,"62. Thu,6/7 at CIN L (5-7)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Tauchman-LF,McMahon-1B,Wolters-C,Anderson-P
62,"63. Fri,6/8 vs ARI L (4-9)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Iannetta-C,Marquez-P
63,"64. Sat,6/9 vs ARI L (7-12)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Parra-LF,Desmond-1B,Cuevas-RF,Wolters-C,Bettis-P
64,"65. Sun,6/10 vs ARI L (3-8)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Parra-LF,Desmond-1B,Cuevas-RF,Iannetta-C,Freeland-P
65,"66. Tue,6/12 at PHI L (4-5)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Murphy-C,Gray-P
66,"67. Wed,6/13 at PHI W (7-2)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Murphy-C,Anderson-P
67,"68. Thu,6/14 at PHI L (3-9)",LeMahieu-2B,Blackmon-CF,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,McMahon-3B,Wolters-C,Marquez-P
68,"69. Fri,6/15 at TEX W (9-5)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Murphy-C,Parra-LF,Iannetta-DH,Cuevas-RF
69,"70. Sat,6/16 at TEX L (2-5)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Murphy-DH,Gonzalez-RF,Iannetta-C,Cuevas-LF
70,"71. Sun,6/17 at TEX L (12-13)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-DH,Murphy-C,McMahon-1B
71,"72. Mon,6/18 vs NYM L (2-12)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Murphy-C,Anderson-P
72,"73. Tue,6/19 vs NYM W (10-8)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Gonzalez-RF,Iannetta-C,Cuevas-LF,Marquez-P
73,"74. Wed,6/20 vs NYM W (10-8)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Murphy-C,Bettis-P
74,"75. Thu,6/21 vs NYM W (6-4)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Iannetta-C,Parra-LF,Cuevas-RF,Freeland-P
75,"76. Fri,6/22 vs MIA W (11-3)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Murphy-C,Gonzalez-RF,Cuevas-LF,Gray-P
76,"77. Sat,6/23 vs MIA L (2-6)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Wolters-C,Anderson-P
77,"78. Sun,6/24 vs MIA L (5-8)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Murphy-C,Parra-LF,Cuevas-RF,Marquez-P
78,"79. Tue,6/26 at SFG L (2-3)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Gonzalez-RF,Murphy-C,Parra-LF,Bettis-P
79,"80. Wed,6/27 at SFG L (0-1)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Gonzalez-RF,Iannetta-C,Cuevas-LF,Freeland-P
80,"81. Thu,6/28 at SFG W (9-8)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Wolters-C,Gray-P
81,"82. Fri,6/29 at LAD W (3-1)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-LF,Iannetta-C,Cuevas-RF,Valaika-1B,Anderson-P
82,"83. Sat,6/30 at LAD W (3-1)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Iannetta-C,Marquez-P
83,"84. Sun,7/1 at LAD L (4-6)",LeMahieu-2B,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,Desmond-1B,Tapia-CF,Murphy-C,Bettis-P
84,"85. Mon,7/2 vs SFG W (5-2)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Iannetta-C,Gonzalez-RF,Cuevas-LF,Freeland-P
85,"86. Tue,7/3 vs SFG W (8-1)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Wolters-C,Senzatela-P
86,"87. Wed,7/4 vs SFG W (1-0)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-LF,Iannetta-C,Cuevas-RF,Valaika-1B,Anderson-P
87,"88. Fri,7/6 at SEA W (7-1)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Tapia-DH,Wolters-C
88,"89. Sat,7/7 at SEA W (5-1)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Desmond-1B,Iannetta-C,Gonzalez-DH,Valaika-SS,Parra-LF,Cuevas-RF
89,"90. Sun,7/8 at SEA L (4-6)#",LeMahieu-2B,Blackmon-DH,Arenado-3B,Story-SS,Desmond-1B,Gonzalez-RF,Iannetta-C,Parra-LF,Cuevas-CF
90,"91. Tue,7/10 vs ARI L (3-5)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Iannetta-C,Parra-LF,Cuevas-RF,Anderson-P
91,"92. Wed,7/11 vs ARI W (19-2)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Wolters-C,Marquez-P
92,"93. Thu,7/12 vs ARI W (5-1)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Desmond-1B,Gonzalez-RF,Iannetta-C,Cuevas-LF,Freeland-P
93,"94. Fri,7/13 vs SEA W (10-7)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Wolters-C,Hoffman-P
94,"95. Sat,7/14 vs SEA W (4-1)#",Blackmon-CF,Desmond-1B,Arenado-3B,Story-SS,Gonzalez-RF,Murphy-C,Parra-LF,Valaika-2B,Gray-P
95,"96. Sun,7/15 vs SEA W (4-3)",LeMahieu-2B,Blackmon-CF,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Desmond-1B,Iannetta-C,Anderson-P
96,"97. Fri,7/20 at ARI W (11-10)#",LeMahieu-2B,Blackmon-CF,Arenado-3B,Story-SS,Gonzalez-RF,Desmond-1B,Cuevas-LF,Wolters-C,Marquez-P
97,"98. Sat,7/21 at ARI W (6-5)",Blackmon-CF,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,Desmond-1B,Hampson-2B,Iannetta-C,Freeland-P
98,"99. Sun,7/22 at ARI L (1-6)",Blackmon-CF,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,Desmond-1B,Hampson-2B,Murphy-C,Senzatela-P
99,"100. Tue,7/24 vs HOU L (2-8)",Blackmon-CF,Desmond-1B,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Hampson-2B,Iannetta-C,Anderson-P
100,"101. Wed,7/25 vs HOU W (3-2)",Blackmon-CF,Desmond-1B,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,Hampson-2B,Murphy-C,Gray-P
101,"102. Fri,7/27 vs OAK W (3-1)#",Blackmon-CF,Desmond-1B,Arenado-3B,Story-SS,Cuevas-LF,Gonzalez-RF,Hampson-2B,Iannetta-C,Freeland-P
102,"103. Sat,7/28 vs OAK W (4-1)#",Blackmon-CF,Desmond-1B,Arenado-3B,Story-SS,Gonzalez-RF,Murphy-C,Cuevas-LF,Valaika-2B,Senzatela-P
103,"104. Sun,7/29 vs OAK W (3-2)",Blackmon-CF,Parra-LF,Arenado-3B,Gonzalez-RF,Story-SS,McMahon-1B,Murphy-C,Valaika-2B,Marquez-P
104,"105. Mon,7/30 at STL L (4-5)",Blackmon-CF,Desmond-1B,Arenado-3B,Gonzalez-RF,McMahon-2B,Murphy-C,Parra-LF,Hampson-SS,Anderson-P
105,"106. Tue,7/31 at STL W (6-3)",Blackmon-CF,Desmond-1B,Arenado-3B,Gonzalez-RF,Story-SS,Parra-LF,McMahon-2B,Murphy-C,Gray-P
