,0,1,2,3,4,5,6,7,8,9
0,"1. Sun,4/2 vs CHC W (4-3)#",Fowler-CF,Diaz-SS,Carpenter-1B,Peralta-3B,Molina-C,Piscotty-RF,Gyorko-2B,Grichuk-LF,Martinez-P
1,"2. Tue,4/4 vs CHC L (1-2)",Fowler-CF,Diaz-SS,Carpenter-1B,Peralta-3B,Molina-C,Piscotty-RF,Grichuk-LF,Wong-2B,Wainwright-P
2,"3. Thu,4/6 vs CHC L (4-6)",Fowler-CF,Diaz-SS,Carpenter-1B,Molina-C,Adams-LF,Grichuk-RF,Gyorko-3B,Wong-2B,Lynn-P
3,"4. Fri,4/7 vs CIN L (0-2)#",Fowler-CF,Diaz-SS,Carpenter-1B,Piscotty-RF,Peralta-3B,Molina-C,Grichuk-LF,Wong-2B,Leake-P
4,"5. Sat,4/8 vs CIN W (10-4)",Fowler-CF,Diaz-SS,Carpenter-1B,Adams-LF,Molina-C,Grichuk-RF,Gyorko-3B,Wong-2B,Wacha-P
5,"6. Sun,4/9 vs CIN L (0-8)",Fowler-CF,Diaz-SS,Carpenter-1B,Adams-LF,Molina-C,Peralta-3B,Gyorko-2B,Grichuk-RF,Martinez-P
6,"7. Mon,4/10 at WSN L (6-14)",Fowler-CF,Diaz-SS,Carpenter-1B,Piscotty-RF,Molina-C,Peralta-3B,Grichuk-LF,Wong-2B,Wainwright-P
7,"8. Tue,4/11 at WSN L (3-8)#",Fowler-CF,Diaz-SS,Molina-C,Piscotty-RF,Gyorko-2B,Peralta-3B,Grichuk-LF,Martinez-1B,Lynn-P
8,"9. Wed,4/12 at WSN W (6-1)",Fowler-CF,Garcia-SS,Carpenter-1B,Piscotty-RF,Adams-LF,Gyorko-3B,Wong-2B,Fryer-C,Leake-P
9,"10. Fri,4/14 at NYY L (3-4)",Fowler-CF,Diaz-SS,Carpenter-1B,Piscotty-RF,Adams-DH,Molina-C,Peralta-3B,Grichuk-LF,Wong-2B
10,"11. Sat,4/15 at NYY L (2-3)#",Fowler-CF,Diaz-SS,Carpenter-DH,Piscotty-RF,Molina-C,Martinez-1B,Peralta-3B,Grichuk-LF,Gyorko-2B
11,"12. Sun,4/16 at NYY L (3-9)",Fowler-CF,Diaz-SS,Carpenter-1B,Piscotty-RF,Adams-DH,Molina-C,Gyorko-3B,Grichuk-LF,Garcia-2B
12,"13. Mon,4/17 vs PIT W (2-1)",Fowler-CF,Diaz-SS,Piscotty-RF,Grichuk-LF,Martinez-1B,Garcia-3B,Fryer-C,Wong-2B,Lynn-P
13,"14. Tue,4/18 vs PIT W (2-1)",Fowler-CF,Diaz-SS,Piscotty-RF,Grichuk-LF,Molina-C,Martinez-1B,Garcia-3B,Wong-2B,Leake-P
14,"15. Wed,4/19 vs PIT W (2-1)",Fowler-CF,Garcia-SS,Carpenter-1B,Piscotty-RF,Martinez-LF,Molina-C,Gyorko-3B,Wong-2B,Wacha-P
15,"16. Thu,4/20 at MIL L (5-7)",Fowler-CF,Diaz-SS,Carpenter-1B,Piscotty-RF,Molina-C,Gyorko-3B,Grichuk-LF,Wong-2B,Martinez-P
16,"17. Fri,4/21 at MIL W (6-3)",Fowler-CF,Diaz-SS,Carpenter-1B,Gyorko-3B,Molina-C,Martinez-RF,Grichuk-LF,Wong-2B,Wainwright-P
17,"18. Sat,4/22 at MIL W (4-1)",Garcia-SS,Martinez-LF,Carpenter-1B,Gyorko-3B,Piscotty-RF,Molina-C,Grichuk-CF,Wong-2B,Lynn-P
18,"19. Sun,4/23 at MIL W (6-4)",Fowler-CF,Diaz-SS,Carpenter-1B,Piscotty-RF,Grichuk-LF,Garcia-3B,Wong-2B,Fryer-C,Leake-P
19,"20. Tue,4/25 vs TOR L (5-6)",Fowler-CF,Diaz-SS,Piscotty-RF,Gyorko-3B,Molina-C,Adams-1B,Grichuk-LF,Wong-2B,Wacha-P
20,"21. Thu,4/27 vs TOR W (8-4)",Fowler-CF,Diaz-SS,Carpenter-1B,Gyorko-3B,Piscotty-RF,Molina-C,Martinez-LF,Wong-2B,Martinez-P
21,"22. Thu,4/27 vs TOR W (6-4)",Fowler-CF,Garcia-SS,Carpenter-3B,Piscotty-RF,Grichuk-LF,Adams-1B,Wong-2B,Fryer-C,Wainwright-P
22,"23. Fri,4/28 vs CIN W (7-5)",Fowler-CF,Diaz-SS,Carpenter-1B,Gyorko-3B,Piscotty-RF,Molina-C,Grichuk-LF,Wong-2B,Lynn-P
23,"24. Sun,4/30 vs CIN L (4-5)",Fowler-CF,Diaz-SS,Carpenter-1B,Gyorko-3B,Piscotty-RF,Molina-C,Grichuk-LF,Wong-2B,Leake-P
24,"25. Mon,5/1 vs MIL L (5-7)",Fowler-CF,Diaz-SS,Carpenter-1B,Gyorko-3B,Piscotty-RF,Molina-C,Grichuk-LF,Wong-2B,Wacha-P
25,"26. Tue,5/2 vs MIL W (2-1)",Fowler-CF,Diaz-SS,Carpenter-1B,Gyorko-3B,Piscotty-RF,Molina-C,Grichuk-LF,Wong-2B,Martinez-P
26,"27. Thu,5/4 vs MIL L (4-5)",Fowler-CF,Piscotty-RF,Carpenter-1B,Gyorko-3B,Molina-C,Diaz-SS,Grichuk-LF,Wong-2B,Wainwright-P
27,"28. Fri,5/5 at ATL W (10-0)",Wong-2B,Martinez-RF,Carpenter-1B,Gyorko-3B,Molina-C,Diaz-SS,Grichuk-LF,Pham-CF,Lynn-P
28,"29. Sat,5/6 at ATL W (5-3)",Wong-2B,Martinez-RF,Carpenter-1B,Grichuk-LF,Diaz-SS,Pham-CF,Garcia-3B,Fryer-C,Leake-P
29,"30. Sun,5/7 at ATL W (6-4)",Wong-2B,Grichuk-RF,Carpenter-1B,Gyorko-3B,Molina-C,Diaz-SS,Sierra-CF,Pham-LF,Wacha-P
30,"31. Mon,5/8 at MIA W (9-4)#",Wong-2B,Grichuk-RF,Carpenter-1B,Gyorko-3B,Molina-C,Diaz-SS,Pham-LF,Sierra-CF,Martinez-P
