,0,1,2,3,4,5,6,7,8,9
0,"1. Tue,4/5 at MIA W (8-7)#",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-RF,Castellanos-3B,McCann-C,Iglesias-SS,Gose-CF,Verlander-P
1,"2. Wed,4/6 at MIA W (7-3)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Iglesias-SS,Gose-CF,Sanchez-P
2,"3. Fri,4/8 vs NYY W (4-0)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,McCann-C,Iglesias-SS,Gose-CF
3,"4. Sat,4/9 vs NYY L (4-8)#",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,McCann-C,Iglesias-SS,Aviles-3B,Gose-CF
4,"5. Mon,4/11 vs PIT L (4-7)#",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,McCann-C,Collins-CF,Iglesias-SS
5,"6. Tue,4/12 vs PIT W (8-2)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
6,"7. Wed,4/13 at PIT W (7-3)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Iglesias-SS,Gose-CF,Greene-P
7,"8. Thu,4/14 at PIT W (7-4)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-RF,Castellanos-3B,Collins-CF,Wilson-C,Romine-SS,Zimmermann-P
8,"9. Fri,4/15 at HOU L (0-1)#",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
9,"10. Sat,4/16 at HOU W (5-3)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
10,"11. Sun,4/17 at HOU L (4-5)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
11,"12. Tue,4/19 at KCR L (6-8)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Saltalamacchia-C,Aviles-3B,Gose-CF,Iglesias-SS
12,"13. Wed,4/20 at KCR W (3-2)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
13,"14. Thu,4/21 at KCR L (0-4)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Collins-CF,Iglesias-SS
14,"15. Fri,4/22 vs CLE L (1-2)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Collins-CF,Wilson-C,Iglesias-SS
15,"16. Sat,4/23 vs CLE L (1-10)",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Romine-SS,Gose-CF
16,"17. Sun,4/24 vs CLE L (3-6)",Kinsler-2B,Iglesias-SS,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Aviles-LF,Romine-1B,Gose-CF
17,"18. Mon,4/25 vs OAK W (7-3)",Iglesias-SS,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Collins-CF,Aviles-2B
18,"19. Tue,4/26 vs OAK L (1-5)#",Kinsler-2B,Upton-LF,Cabrera-1B,Martinez-DH,Martinez-RF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
19,"20. Wed,4/27 vs OAK W (9-4)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,Iglesias-SS,Wilson-C,Gose-CF
20,"21. Thu,4/28 vs OAK W (7-3)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,Saltalamacchia-C,Iglesias-SS,Gose-CF
21,"22. Fri,4/29 at MIN W (9-2)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,Aviles-SS,Wilson-C,Gose-CF
22,"23. Sat,4/30 at MIN W (4-1)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
23,"24. Sun,5/1 at MIN W (6-5)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
24,"25. Tue,5/3 at CLE L (3-7)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,McCann-C,Gose-CF,Iglesias-SS
25,"26. Wed,5/4 at CLE L (0-4)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,McCann-C,Gose-CF,Iglesias-SS
26,"27. Thu,5/5 at CLE L (4-9)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,Saltalamacchia-C,Aviles-SS,Romine-CF
27,"28. Fri,5/6 vs TEX L (1-5)#",Kinsler-2B,Aviles-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,McCann-C,Gose-CF,Iglesias-SS
28,"29. Sat,5/7 vs TEX L (5-10)",Kinsler-2B,Martinez-RF,Cabrera-1B,Martinez-DH,Upton-LF,Castellanos-3B,Saltalamacchia-C,Gose-CF,Iglesias-SS
29,"30. Sun,5/8 vs TEX L (3-8)#",Kinsler-2B,Martinez-RF,Cabrera-DH,Martinez-1B,Upton-LF,Castellanos-3B,McCann-C,Gose-CF,Iglesias-SS
30,"31. Mon,5/9 at WSN L (4-5)",Kinsler-2B,Martinez-RF,Cabrera-1B,Castellanos-3B,Upton-LF,McCann-C,Gose-CF,Iglesias-SS,Sanchez-P
