,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 vs COL W (8-2)",Peralta-LF,Pollock-CF,Goldschmidt-1B,Lamb-3B,Marte-2B,Avila-C,Ahmed-SS,Dyson-RF,Corbin-P
1,"2. Fri,3/30 vs COL W (9-8)#",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Owings-RF,Lamb-3B,Ahmed-SS,Murphy-C,Ray-P
2,"3. Sat,3/31 vs COL L (1-2)",Peralta-LF,Pollock-CF,Goldschmidt-1B,Lamb-3B,Descalso-2B,Dyson-RF,Ahmed-SS,Mathis-C,Greinke-P
3,"4. Mon,4/2 vs LAD W (8-7)#",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Owings-RF,Lamb-3B,Ahmed-SS,Avila-C,Walker-P
4,"5. Tue,4/3 vs LAD W (6-1)#",Peralta-LF,Marte-SS,Goldschmidt-1B,Pollock-CF,Owings-RF,Descalso-2B,Marrero-3B,Murphy-C,Godley-P
5,"6. Wed,4/4 vs LAD W (3-0)#",Dyson-LF,Marte-SS,Goldschmidt-1B,Pollock-CF,Owings-RF,Descalso-2B,Marrero-3B,Mathis-C,Corbin-P
6,"7. Thu,4/5 at STL W (3-1)",Peralta-LF,Marte-SS,Goldschmidt-1B,Pollock-CF,Descalso-3B,Avila-C,Owings-2B,Dyson-RF,Ray-P
7,"8. Sat,4/7 at STL L (3-5)",Peralta-LF,Marte-SS,Goldschmidt-1B,Pollock-CF,Descalso-3B,Owings-2B,Dyson-RF,Mathis-C,Greinke-P
8,"9. Sun,4/8 at STL W (4-1)",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Descalso-3B,Avila-C,Ahmed-SS,Dyson-RF,Walker-P
9,"10. Mon,4/9 at SFG W (2-1)#",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Owings-RF,Ahmed-SS,Marrero-3B,Mathis-C,Godley-P
10,"11. Tue,4/10 at SFG L (4-5)",Dyson-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Avila-C,Owings-RF,Descalso-3B,Ahmed-SS,Corbin-P
11,"12. Wed,4/11 at SFG W (7-3)#",Dyson-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Owings-RF,Ahmed-SS,Marrero-3B,Murphy-C,Ray-P
12,"13. Fri,4/13 at LAD W (8-7)",Peralta-LF,Marte-2B,Goldschmidt-1B,Descalso-3B,Owings-RF,Dyson-CF,Ahmed-SS,Mathis-C,Greinke-P
13,"14. Sat,4/14 at LAD W (9-1)#",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Owings-RF,Ahmed-SS,Avila-C,Marrero-3B,Walker-P
14,"15. Sun,4/15 at LAD L (2-7)#",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Descalso-3B,Owings-RF,Ahmed-SS,Mathis-C,Godley-P
15,"16. Tue,4/17 vs SFG W (1-0)",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Descalso-3B,Avila-C,Ahmed-SS,Dyson-RF,Corbin-P
16,"17. Wed,4/18 vs SFG L (3-4)",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Descalso-3B,Avila-C,Ahmed-SS,Dyson-RF,Ray-P
17,"18. Thu,4/19 vs SFG W (3-1)#",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Owings-RF,Ahmed-SS,Marrero-3B,Mathis-C,Greinke-P
18,"19. Fri,4/20 vs SDP L (1-4)",Peralta-RF,Dyson-CF,Goldschmidt-1B,Descalso-LF,Marte-2B,Ahmed-SS,Avila-C,Marrero-3B,Koch-P
19,"20. Sat,4/21 vs SDP W (6-2)#",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Owings-RF,Ahmed-SS,Marrero-3B,Murphy-C,Godley-P
20,"21. Sun,4/22 vs SDP W (4-2)#",Dyson-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Owings-RF,Ahmed-SS,Marrero-3B,Mathis-C,Corbin-P
21,"22. Tue,4/24 at PHI W (8-4)",Peralta-LF,Marte-2B,Goldschmidt-1B,Pollock-CF,Descalso-3B,Ahmed-SS,Avila-C,Dyson-RF,Ray-P
22,"23. Wed,4/25 at PHI L (3-5)",Peralta-LF,Marte-SS,Goldschmidt-1B,Pollock-CF,Descalso-3B,Owings-2B,Dyson-RF,Mathis-C,Greinke-P
23,"24. Thu,4/26 at PHI W (8-2)",Peralta-LF,Dyson-RF,Goldschmidt-1B,Pollock-CF,Descalso-3B,Owings-2B,Avila-C,Ahmed-SS,Koch-P
24,"25. Fri,4/27 at WSN W (5-4)",Peralta-LF,Dyson-RF,Goldschmidt-1B,Pollock-CF,Descalso-3B,Marte-2B,Ahmed-SS,Mathis-C,Godley-P
25,"26. Sat,4/28 at WSN W (4-3)",Peralta-LF,Dyson-RF,Pollock-CF,Descalso-3B,Walker-1B,Marte-2B,Avila-C,Ahmed-SS,Corbin-P
