,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 vs SFG L (0-1)#",Taylor-CF,Seager-SS,Puig-RF,Hernandez-2B,Bellinger-1B,Kemp-LF,Grandal-C,Forsythe-3B,Kershaw-P
1,"2. Fri,3/30 vs SFG L (0-1)",Taylor-CF,Seager-SS,Puig-RF,Bellinger-1B,Grandal-C,Kemp-LF,Utley-2B,Forsythe-3B,Wood-P
2,"3. Sat,3/31 vs SFG W (5-0)#",Taylor-CF,Hernandez-SS,Puig-RF,Kemp-LF,Bellinger-1B,Forsythe-2B,Barnes-C,Farmer-3B,Maeda-P
3,"4. Sun,4/1 vs SFG W (9-0)",Taylor-CF,Seager-SS,Puig-RF,Grandal-C,Bellinger-1B,Hernandez-2B,Pederson-LF,Farmer-3B,Hill-P
4,"5. Mon,4/2 at ARI L (7-8)",Pederson-CF,Seager-SS,Puig-RF,Grandal-C,Bellinger-1B,Kemp-LF,Utley-2B,Forsythe-3B,Ryu-P
5,"6. Tue,4/3 at ARI L (1-6)",Taylor-CF,Seager-SS,Puig-RF,Bellinger-1B,Kemp-LF,Hernandez-2B,Forsythe-3B,Barnes-C,Kershaw-P
6,"7. Wed,4/4 at ARI L (0-3)#",Taylor-CF,Seager-SS,Puig-RF,Hernandez-1B,Grandal-C,Kemp-LF,Forsythe-2B,Farmer-3B,Wood-P
7,"8. Sat,4/7 at SFG L (5-7)",Taylor-CF,Seager-SS,Puig-RF,Bellinger-1B,Forsythe-3B,Pederson-LF,Barnes-C,Utley-2B,Hill-P
8,"9. Sun,4/8 at SFG W (2-1)#",Taylor-CF,Seager-SS,Puig-RF,Hernandez-1B,Grandal-C,Kemp-LF,Forsythe-3B,Barnes-2B,Kershaw-P
9,"10. Tue,4/10 vs OAK W (4-0)#",Taylor-CF,Seager-SS,Puig-RF,Hernandez-2B,Kemp-LF,Bellinger-1B,Forsythe-3B,Barnes-C,Ryu-P
10,"11. Wed,4/11 vs OAK L (6-16)",Taylor-CF,Pederson-LF,Seager-SS,Kemp-RF,Bellinger-1B,Grandal-C,Utley-2B,Forsythe-3B,Wood-P
11,"12. Fri,4/13 vs ARI L (7-8)",Taylor-CF,Seager-SS,Kemp-LF,Bellinger-1B,Grandal-C,Puig-RF,Forsythe-3B,Hernandez-2B,Maeda-P
12,"13. Sat,4/14 vs ARI L (1-9)",Taylor-CF,Seager-SS,Grandal-C,Bellinger-1B,Puig-RF,Pederson-LF,Forsythe-3B,Utley-2B,Hill-P
13,"14. Sun,4/15 vs ARI W (7-2)",Taylor-CF,Seager-SS,Kemp-LF,Bellinger-1B,Puig-RF,Barnes-C,Utley-2B,Hernandez-3B,Kershaw-P
14,"15. Mon,4/16 at SDP W (10-3)#",Taylor-CF,Seager-SS,Hernandez-2B,Bellinger-1B,Kemp-LF,Grandal-C,Puig-RF,Farmer-3B,Ryu-P
15,"16. Tue,4/17 at SDP W (7-3)",Taylor-CF,Seager-SS,Kemp-LF,Bellinger-1B,Grandal-C,Puig-RF,Utley-2B,Farmer-3B,Wood-P
16,"17. Wed,4/18 at SDP W (13-4)",Taylor-CF,Seager-SS,Grandal-C,Bellinger-1B,Kemp-RF,Pederson-LF,Utley-2B,Muncy-3B,Maeda-P
17,"18. Fri,4/20 vs WSN L (2-5)",Taylor-CF,Seager-SS,Grandal-C,Bellinger-1B,Pederson-LF,Utley-2B,Puig-RF,Muncy-3B,Kershaw-P
18,"19. Sat,4/21 vs WSN W (4-0)",Taylor-2B,Seager-SS,Grandal-C,Bellinger-1B,Pederson-CF,Kemp-LF,Puig-RF,Muncy-3B,Ryu-P
19,"20. Sun,4/22 vs WSN W (4-3)",Taylor-CF,Seager-SS,Grandal-C,Bellinger-1B,Pederson-LF,Puig-RF,Utley-2B,Muncy-3B,Wood-P
20,"21. Mon,4/23 vs MIA W (2-1)#",Taylor-CF,Hernandez-SS,Kemp-LF,Bellinger-1B,Grandal-C,Puig-RF,Barnes-2B,Farmer-3B,Buehler-P
21,"22. Tue,4/24 vs MIA L (2-3)#",Taylor-CF,Seager-SS,Hernandez-2B,Bellinger-1B,Kemp-LF,Barnes-C,Puig-RF,Farmer-3B,Maeda-P
22,"23. Wed,4/25 vs MIA L (6-8)",Taylor-CF,Seager-SS,Grandal-C,Bellinger-1B,Kemp-RF,Pederson-LF,Utley-2B,Hernandez-3B,Kershaw-P
23,"24. Fri,4/27 at SFG L (4-6)#",Taylor-CF,Barnes-2B,Hernandez-SS,Kemp-LF,Grandal-C,Bellinger-1B,Puig-RF,Farmer-3B,Ryu-P
24,"25. Sat,4/28 at SFG W (15-6)",Taylor-CF,Utley-2B,Seager-SS,Bellinger-1B,Pederson-LF,Barnes-C,Puig-RF,Muncy-3B,Buehler-P
25,"26. Sat,4/28 at SFG L (3-8)",Taylor-CF,Seager-SS,Grandal-C,Bellinger-1B,Utley-2B,Pederson-LF,Verdugo-RF,Farmer-3B,Wood-P
26,"27. Sun,4/29 at SFG L (2-4)#",Taylor-CF,Seager-SS,Hernandez-RF,Kemp-LF,Grandal-C,Bellinger-1B,Barnes-2B,Farmer-3B,Maeda-P
27,"28. Mon,4/30 at ARI L (5-8)",Taylor-SS,Utley-2B,Grandal-C,Bellinger-1B,Pederson-LF,Verdugo-RF,Hernandez-CF,Muncy-3B,Stripling-P
28,"29. Tue,5/1 at ARI L (3-4)",Taylor-SS,Pederson-CF,Grandal-C,Bellinger-1B,Kemp-RF,Utley-2B,Verdugo-LF,Muncy-3B,Kershaw-P
29,"30. Wed,5/2 at ARI W (2-1)",Pederson-CF,Verdugo-LF,Grandal-C,Bellinger-1B,Kemp-RF,Utley-2B,Hernandez-SS,Muncy-3B,Ryu-P
30,"31. Thu,5/3 at ARI W (5-2)#",Taylor-SS,Hernandez-2B,Kemp-RF,Bellinger-1B,Barnes-C,Farmer-3B,Verdugo-LF,Locastro-CF,Wood-P
31,"32. Fri,5/4 at SDP W (4-0)#",Taylor-SS,Hernandez-1B,Kemp-RF,Grandal-C,Barnes-2B,Farmer-3B,Verdugo-LF,Locastro-CF,Buehler-P
32,"33. Sat,5/5 at SDP L (4-7)",Taylor-SS,Verdugo-LF,Grandal-C,Bellinger-1B,Kemp-RF,Pederson-CF,Utley-2B,Muncy-3B,Maeda-P
