,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 at LAD W (1-0)#",Jackson-CF,Panik-2B,McCutchen-RF,Posey-C,Longoria-3B,Pence-LF,Belt-1B,Crawford-SS,Blach-P
1,"2. Fri,3/30 at LAD W (1-0)#",Jackson-CF,Panik-2B,McCutchen-RF,Posey-C,Longoria-3B,Pence-LF,Belt-1B,Crawford-SS,Cueto-P
2,"3. Sat,3/31 at LAD L (0-5)",Panik-2B,Belt-1B,McCutchen-RF,Posey-C,Longoria-3B,Crawford-SS,Pence-LF,Blanco-CF,Holland-P
3,"4. Sun,4/1 at LAD L (0-9)#",Jackson-CF,Panik-2B,McCutchen-RF,Posey-C,Longoria-3B,Pence-LF,Belt-1B,Crawford-SS,Stratton-P
4,"5. Tue,4/3 vs SEA L (4-6)#",Jackson-CF,Panik-2B,McCutchen-RF,Posey-1B,Longoria-3B,Pence-LF,Hundley-C,Crawford-SS,Blach-P
5,"6. Wed,4/4 vs SEA W (10-1)",Panik-2B,Belt-1B,McCutchen-RF,Posey-C,Sandoval-3B,Crawford-SS,Blanco-LF,Hernandez-CF,Cueto-P
6,"7. Sat,4/7 vs LAD W (7-5)#",Jackson-CF,Panik-2B,McCutchen-RF,Posey-C,Longoria-3B,Pence-LF,Belt-1B,Crawford-SS,Stratton-P
7,"8. Sun,4/8 vs LAD L (1-2)#",Jackson-CF,Panik-2B,McCutchen-RF,Hundley-C,Longoria-3B,Sandoval-1B,Pence-LF,Tomlinson-SS,Blach-P
8,"9. Mon,4/9 vs ARI L (1-2)",Panik-2B,Belt-1B,McCutchen-RF,Posey-C,Longoria-3B,Crawford-SS,Pence-LF,Blanco-CF,Holland-P
9,"10. Tue,4/10 vs ARI W (5-4)#",Jackson-CF,Belt-1B,McCutchen-RF,Posey-C,Longoria-3B,Pence-LF,Crawford-SS,Tomlinson-2B,Beede-P
10,"11. Wed,4/11 vs ARI L (3-7)#",Jackson-CF,Panik-2B,McCutchen-RF,Posey-1B,Longoria-3B,Hundley-C,Pence-LF,Crawford-SS,Suarez-P
11,"12. Thu,4/12 at SDP W (7-0)",Panik-2B,Belt-1B,McCutchen-RF,Posey-C,Longoria-3B,Crawford-SS,Pence-LF,Blanco-CF,Stratton-P
12,"13. Fri,4/13 at SDP L (1-5)",Panik-2B,Belt-1B,McCutchen-RF,Posey-C,Longoria-3B,Crawford-SS,Pence-LF,Blanco-CF,Blach-P
13,"14. Sat,4/14 at SDP L (4-5)#",Jackson-CF,Panik-2B,McCutchen-RF,Posey-1B,Hundley-C,Longoria-3B,Hernandez-LF,Crawford-SS,Holland-P
14,"15. Sun,4/15 at SDP L (1-10)#",Jackson-CF,Panik-2B,McCutchen-RF,Hundley-C,Longoria-3B,Pence-LF,Belt-1B,Tomlinson-SS,Beede-P
15,"16. Tue,4/17 at ARI L (0-1)#",Jackson-CF,Panik-2B,McCutchen-RF,Posey-C,Sandoval-3B,Pence-LF,Belt-1B,Crawford-SS,Cueto-P
16,"17. Wed,4/18 at ARI W (4-3)#",Jackson-CF,Pence-LF,McCutchen-RF,Posey-C,Longoria-3B,Belt-1B,Tomlinson-2B,Crawford-SS,Stratton-P
17,"18. Thu,4/19 at ARI L (1-3)",Blanco-LF,Panik-2B,McCutchen-RF,Posey-C,Belt-1B,Longoria-3B,Crawford-SS,Hernandez-CF,Blach-P
18,"19. Fri,4/20 at LAA W (8-1)#",Jackson-CF,Panik-2B,McCutchen-DH,Posey-1B,Longoria-3B,Hundley-C,Williamson-LF,Hernandez-RF,Tomlinson-SS
19,"20. Sat,4/21 at LAA L (3-4)",Panik-2B,Blanco-CF,McCutchen-RF,Sandoval-DH,Belt-1B,Longoria-3B,Williamson-LF,Crawford-SS,Hundley-C
20,"21. Sun,4/22 at LAA W (4-2)",Panik-2B,Belt-1B,McCutchen-RF,Posey-C,Longoria-3B,Sandoval-DH,Williamson-LF,Crawford-SS,Blanco-CF
21,"22. Mon,4/23 vs WSN W (4-2)#",Panik-2B,McCutchen-RF,Posey-C,Longoria-3B,Belt-1B,Williamson-LF,Jackson-CF,Crawford-SS,Stratton-P
22,"23. Tue,4/24 vs WSN W (4-3)",Blanco-CF,Panik-2B,McCutchen-RF,Posey-C,Belt-1B,Longoria-3B,Williamson-LF,Crawford-SS,Blach-P
23,"24. Wed,4/25 vs WSN L (2-15)",Blanco-LF,Panik-2B,McCutchen-RF,Belt-1B,Sandoval-3B,Crawford-SS,Hundley-C,Jackson-CF,Samardzija-P
24,"25. Fri,4/27 vs LAD W (6-4)#",Panik-2B,McCutchen-RF,Posey-C,Longoria-3B,Belt-1B,Jackson-CF,Crawford-SS,Hernandez-LF,Holland-P
25,"26. Sat,4/28 vs LAD L (6-15)",Blanco-CF,Crawford-SS,McCutchen-RF,Belt-1B,Sandoval-3B,Slater-LF,Hundley-C,Tomlinson-2B,Stratton-P
26,"27. Sat,4/28 vs LAD W (8-3)#",Hernandez-LF,McCutchen-RF,Posey-C,Longoria-3B,Belt-1B,Tomlinson-2B,Crawford-SS,Jackson-CF,Cueto-P
27,"28. Sun,4/29 vs LAD W (4-2)",Blanco-LF,Hanson-2B,Posey-C,Belt-1B,Longoria-3B,Crawford-SS,Slater-RF,Hernandez-CF,Blach-P
28,"29. Mon,4/30 vs SDP W (6-5)#",Hernandez-LF,McCutchen-RF,Posey-C,Longoria-3B,Belt-1B,Jackson-CF,Tomlinson-SS,Hanson-2B,Samardzija-P
29,"30. Tue,5/1 vs SDP L (2-3)",Blanco-CF,McCutchen-RF,Posey-C,Belt-1B,Longoria-3B,Crawford-SS,Slater-LF,Hanson-2B,Suarez-P
30,"31. Wed,5/2 vs SDP W (9-4)#",Hernandez-LF,McCutchen-RF,Longoria-3B,Hundley-C,Belt-1B,Jackson-CF,Crawford-SS,Tomlinson-2B,Holland-P
31,"32. Fri,5/4 at ATL W (9-4)",Hanson-2B,McCutchen-RF,Posey-C,Belt-1B,Longoria-3B,Crawford-SS,Jackson-CF,Blanco-LF,Stratton-P
32,"33. Sat,5/5 at ATL W (11-2)",Blanco-LF,McCutchen-RF,Posey-C,Belt-1B,Longoria-3B,Crawford-SS,Hanson-2B,Hernandez-CF,Blach-P
33,"34. Sun,5/6 at ATL W (4-3)",Blanco-LF,McCutchen-RF,Belt-1B,Hundley-C,Sandoval-3B,Crawford-SS,Hanson-2B,Jackson-CF,Suarez-P
34,"35. Mon,5/7 at PHI L (0-11)",Blanco-LF,McCutchen-RF,Posey-C,Belt-1B,Longoria-3B,Crawford-SS,Hanson-2B,Hernandez-CF,Samardzija-P
