,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 vs SEA W (3-0)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Beltran-DH,Reddick-RF,Gurriel-1B,McCann-C,Aoki-LF
1,"2. Tue,4/4 vs SEA W (2-1)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Beltran-LF,Reddick-RF,Gattis-DH,McCann-C,Gonzalez-1B
2,"3. Wed,4/5 vs SEA W (5-3)#",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Beltran-DH,Gurriel-1B,Gattis-C,Reddick-LF,Marisnick-CF
3,"4. Thu,4/6 vs SEA L (2-4)#",Springer-RF,Gonzalez-3B,Altuve-2B,Correa-SS,Beltran-DH,Gurriel-1B,McCann-C,Marisnick-CF,Aoki-LF
4,"5. Fri,4/7 vs KCR L (1-5)#",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Beltran-DH,Gattis-C,Reddick-RF,Gurriel-1B,Aoki-LF
5,"6. Sat,4/8 vs KCR L (3-7)#",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Beltran-DH,Gurriel-1B,Gonzalez-LF,McCann-C,Marisnick-CF
6,"7. Sun,4/9 vs KCR W (5-4)",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,McCann-C,Gattis-DH,Reddick-RF,Gonzalez-1B,Aoki-LF
7,"8. Mon,4/10 at SEA L (0-6)#",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Beltran-DH,Gattis-C,Gonzalez-LF,Reddick-RF,Gurriel-1B
8,"9. Tue,4/11 at SEA W (7-5)#",Springer-CF,Bregman-3B,Altuve-2B,Correa-SS,Beltran-DH,McCann-C,Gonzalez-LF,Gurriel-1B,Reddick-RF
9,"10. Wed,4/12 at SEA W (10-5)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Bregman-3B,McCann-C,Gurriel-1B,Aoki-LF
10,"11. Fri,4/14 at OAK W (7-2)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Bregman-3B,McCann-C,Gonzalez-1B,Aoki-LF
11,"12. Sat,4/15 at OAK W (10-6)#",Springer-RF,Bregman-3B,Altuve-2B,Correa-SS,Beltran-DH,Gattis-C,Gurriel-1B,Aoki-LF,Marisnick-CF
12,"13. Mon,4/17 vs LAA W (3-0)",Springer-CF,Reddick-RF,Altuve-2B,Beltran-DH,Gattis-C,Bregman-SS,Gonzalez-3B,Gurriel-1B,Aoki-LF
13,"14. Tue,4/18 vs LAA L (2-5)",Springer-CF,Reddick-RF,Altuve-2B,Beltran-DH,McCann-C,Bregman-SS,Gonzalez-3B,Gurriel-1B,Aoki-LF
14,"15. Wed,4/19 vs LAA W (5-1)",Springer-CF,Reddick-RF,Altuve-2B,McCann-C,Gattis-DH,Bregman-SS,Aoki-LF,Gurriel-1B,Gonzalez-3B
15,"16. Thu,4/20 vs LAA W (2-1)",Springer-RF,Beltran-LF,Altuve-2B,Correa-SS,McCann-C,Bregman-3B,Gattis-DH,Gonzalez-1B,Marisnick-CF
16,"17. Fri,4/21 at TBR W (6-3)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Bregman-3B,McCann-C,Gurriel-1B,Aoki-LF
17,"18. Sat,4/22 at TBR L (3-6)#",Springer-RF,Beltran-DH,Altuve-2B,Correa-SS,Gattis-C,Bregman-3B,Gurriel-1B,Gonzalez-LF,Marisnick-CF
18,"19. Sun,4/23 at TBR W (6-4)",Reddick-RF,Beltran-DH,Altuve-2B,Correa-SS,McCann-C,Bregman-3B,Gurriel-1B,Aoki-LF,Marisnick-CF
19,"20. Tue,4/25 at CLE W (4-2)",Reddick-CF,Beltran-LF,Altuve-2B,Correa-SS,McCann-C,Bregman-3B,Gurriel-1B,Gattis-DH,Aoki-RF
20,"21. Wed,4/26 at CLE L (6-7)",Reddick-CF,Beltran-LF,Correa-SS,McCann-C,Gattis-DH,Bregman-3B,Gurriel-1B,Aoki-RF,Gonzalez-2B
21,"22. Thu,4/27 at CLE L (3-4)",Reddick-CF,Aoki-RF,Correa-SS,McCann-DH,Gattis-C,Gurriel-1B,Bregman-3B,Gonzalez-2B,Kemp-LF
22,"23. Fri,4/28 vs OAK W (9-4)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Gurriel-1B,Gattis-C,Bregman-3B,Aoki-LF
23,"24. Sat,4/29 vs OAK L (1-2)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-LF,Gurriel-1B,McCann-C,Gattis-DH,Bregman-3B
24,"25. Sun,4/30 vs OAK W (7-2)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,McCann-C,Gurriel-1B,Gattis-DH,Gonzalez-3B,Aoki-LF
25,"26. Mon,5/1 vs TEX W (6-2)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Gurriel-1B,McCann-C,Bregman-3B,Aoki-LF
26,"27. Tue,5/2 vs TEX W (8-7)#",Springer-RF,Beltran-DH,Altuve-2B,Correa-SS,Gattis-C,Gurriel-1B,Gonzalez-LF,Bregman-3B,Marisnick-CF
27,"28. Wed,5/3 vs TEX W (10-1)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,McCann-C,Gonzalez-1B,Bregman-3B,Aoki-LF
28,"29. Thu,5/4 vs TEX L (4-10)",Reddick-RF,Altuve-2B,Correa-SS,McCann-C,Gattis-DH,Gurriel-1B,Gonzalez-LF,Bregman-3B,Marisnick-CF
29,"30. Fri,5/5 at LAA W (7-6)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Gurriel-1B,McCann-C,Gonzalez-3B,Aoki-LF
30,"31. Sat,5/6 at LAA L (1-2)",Springer-CF,Reddick-RF,Correa-SS,Beltran-DH,McCann-C,Gurriel-1B,Gonzalez-2B,Bregman-3B,Aoki-LF
31,"32. Sun,5/7 at LAA W (5-3)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Gurriel-1B,Gattis-C,Bregman-3B,Marisnick-LF
32,"33. Tue,5/9 vs ATL W (8-3)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Gurriel-1B,McCann-C,Bregman-3B,Aoki-LF
33,"34. Wed,5/10 vs ATL W (4-2)#",Springer-RF,Beltran-DH,Altuve-2B,Correa-SS,Gattis-C,Gurriel-1B,Gonzalez-LF,Bregman-3B,Marisnick-CF
34,"35. Thu,5/11 at NYY W (3-2)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,McCann-C,Gurriel-1B,Bregman-3B,Aoki-LF
35,"36. Fri,5/12 at NYY W (5-1)#",Springer-CF,Beltran-RF,Altuve-2B,Correa-SS,Gattis-DH,Gonzalez-1B,McCann-C,Bregman-3B,Marisnick-LF
36,"37. Sun,5/14 at NYY L (6-11)",Springer-CF,Reddick-RF,Altuve-DH,Correa-SS,Gattis-C,Gonzalez-2B,Gurriel-1B,Bregman-3B,Aoki-LF
37,"38. Sun,5/14 at NYY W (10-7)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,McCann-C,Gurriel-1B,Bregman-3B,Marisnick-LF
38,"39. Mon,5/15 at MIA W (7-2)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Gattis-C,Gurriel-1B,Bregman-3B,Aoki-LF,Musgrove-P
39,"40. Tue,5/16 at MIA W (12-2)",Reddick-RF,Beltran-LF,Altuve-2B,Correa-SS,McCann-C,Gurriel-1B,Gonzalez-3B,Marisnick-CF,Keuchel-P
40,"41. Wed,5/17 at MIA W (3-0)",Springer-RF,Reddick-LF,Altuve-2B,Gattis-C,Gurriel-1B,Gonzalez-SS,Bregman-3B,Marisnick-CF,McCullers-P
41,"42. Fri,5/19 vs CLE L (3-5)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,McCann-C,Gurriel-1B,Bregman-3B,Aoki-LF
42,"43. Sat,5/20 vs CLE L (0-3)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Gattis-C,Gurriel-1B,Bregman-3B,Aoki-LF
43,"44. Sun,5/21 vs CLE L (6-8)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Gattis-C,Gonzalez-1B,Bregman-3B,Aoki-LF
44,"45. Mon,5/22 vs DET W (1-0)",Springer-CF,Reddick-RF,Altuve-2B,Correa-SS,Beltran-DH,Gattis-C,Gonzalez-LF,Gurriel-1B,Bregman-3B
45,"46. Tue,5/23 vs DET W (6-2)",Springer-RF,Reddick-LF,Altuve-2B,Beltran-DH,Gonzalez-SS,Gurriel-1B,Bregman-3B,Centeno-C,Marisnick-CF
46,"47. Wed,5/24 vs DET L (3-6)#",Springer-RF,Gonzalez-SS,Altuve-2B,Gattis-C,Beltran-DH,Gurriel-1B,Bregman-3B,Aoki-LF,Marisnick-CF
