,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 at MIN L (0-2)",Martin-CF,Ramirez-3B,Naquin-RF,Santana-1B,Ramirez-DH,Bauers-LF,Perez-C,Miller-2B,Stamets-SS
1,"2. Sat,3/30 at MIN W (2-1)",Martin-CF,Ramirez-3B,Naquin-RF,Santana-1B,Ramirez-DH,Bauers-LF,Perez-C,Miller-2B,Moroff-SS
2,"3. Sun,3/31 at MIN L (3-9)",Martin-CF,Ramirez-3B,Bauers-LF,Santana-1B,Ramirez-DH,Allen-RF,Plawecki-C,Miller-2B,Stamets-SS
3,"4. Mon,4/1 vs CHW W (5-3)",Martin-CF,Ramirez-3B,Bauers-LF,Santana-1B,Ramirez-DH,Miller-2B,Perez-C,Naquin-RF,Stamets-SS
4,"5. Wed,4/3 vs CHW L (3-8)#",Martin-CF,Ramirez-3B,Luplow-RF,Santana-1B,Ramirez-DH,Allen-LF,Perez-C,Moroff-2B,Stamets-SS
5,"6. Thu,4/4 vs TOR W (4-1)",Martin-CF,Ramirez-3B,Bauers-DH,Santana-1B,Miller-2B,Allen-LF,Perez-C,Naquin-RF,Stamets-SS
6,"7. Fri,4/5 vs TOR W (3-2)",Martin-CF,Naquin-RF,Bauers-LF,Santana-1B,Ramirez-DH,Miller-2B,Plawecki-C,Moroff-3B,Stamets-SS
7,"8. Sat,4/6 vs TOR W (7-2)#",Allen-CF,Ramirez-3B,Luplow-RF,Santana-1B,Ramirez-DH,Bauers-LF,Perez-C,Moroff-2B,Stamets-SS
8,"9. Sun,4/7 vs TOR W (3-1)",Martin-CF,Ramirez-3B,Bauers-DH,Santana-1B,Naquin-RF,Plawecki-C,Allen-LF,Miller-2B,Stamets-SS
9,"10. Tue,4/9 at DET W (8-2)",Martin-CF,Ramirez-3B,Bauers-LF,Santana-1B,Ramirez-DH,Naquin-RF,Perez-C,Miller-2B,Stamets-SS
10,"11. Wed,4/10 at DET L (1-4)#",Martin-CF,Ramirez-3B,Luplow-RF,Santana-1B,Ramirez-DH,Bauers-LF,Perez-C,Moroff-2B,Stamets-SS
11,"12. Thu,4/11 at DET W (4-0)",Martin-CF,Ramirez-3B,Bauers-LF,Santana-1B,Ramirez-DH,Naquin-RF,Plawecki-C,Miller-2B,Stamets-SS
12,"13. Fri,4/12 at KCR L (1-8)",Martin-CF,Ramirez-3B,Bauers-LF,Santana-1B,Ramirez-DH,Naquin-RF,Perez-C,Miller-2B,Stamets-SS
13,"14. Sat,4/13 at KCR L (0-3)",Martin-CF,Ramirez-3B,Naquin-RF,Santana-1B,Ramirez-DH,Bauers-LF,Plawecki-C,Miller-2B,Moroff-SS
14,"15. Sun,4/14 at KCR L (8-9)",Martin-CF,Ramirez-3B,Gonzalez-LF,Santana-1B,Naquin-RF,Bauers-DH,Perez-C,Miller-2B,Stamets-SS
15,"16. Mon,4/15 at SEA W (6-4)#",Martin-CF,Ramirez-3B,Gonzalez-LF,Santana-1B,Ramirez-DH,Kipnis-2B,Perez-C,Allen-RF,Stamets-SS
16,"17. Tue,4/16 at SEA W (4-2)",Martin-CF,Ramirez-3B,Kipnis-2B,Santana-1B,Ramirez-DH,Naquin-RF,Bauers-LF,Plawecki-C,Freeman-SS
17,"18. Wed,4/17 at SEA W (1-0)",Martin-CF,Ramirez-3B,Kipnis-2B,Gonzalez-LF,Naquin-DH,Bauers-1B,Allen-RF,Perez-C,Freeman-SS
18,"19. Sat,4/20 vs ATL W (8-4)",Martin-CF,Ramirez-3B,Kipnis-2B,Santana-1B,Bauers-DH,Allen-LF,Naquin-RF,Plawecki-C,Moroff-SS
19,"20. Sat,4/20 vs ATL L (7-8)",Lindor-SS,Martin-CF,Ramirez-3B,Santana-DH,Gonzalez-LF,Bauers-1B,Naquin-RF,Perez-C,Freeman-2B
20,"21. Sun,4/21 vs ATL L (5-11)#",Lindor-SS,Martin-CF,Ramirez-3B,Santana-1B,Gonzalez-LF,Kipnis-2B,Perez-C,Bauers-DH,Naquin-RF
21,"22. Tue,4/23 vs MIA L (1-3)",Lindor-SS,Martin-CF,Ramirez-3B,Santana-1B,Gonzalez-DH,Kipnis-2B,Perez-C,Bauers-LF,Naquin-RF
22,"23. Wed,4/24 vs MIA W (6-2)",Lindor-DH,Martin-CF,Ramirez-3B,Santana-1B,Gonzalez-RF,Kipnis-2B,Plawecki-C,Bauers-LF,Freeman-SS
23,"24. Thu,4/25 at HOU W (2-1)",Lindor-SS,Martin-CF,Ramirez-3B,Santana-1B,Gonzalez-RF,Kipnis-2B,Bauers-DH,Perez-C,Allen-LF
24,"25. Fri,4/26 at HOU W (6-3)",Lindor-SS,Martin-CF,Ramirez-3B,Santana-1B,Gonzalez-DH,Kipnis-2B,Bauers-LF,Perez-C,Naquin-RF
25,"26. Sat,4/27 at HOU L (3-4)",Martin-CF,Ramirez-3B,Gonzalez-LF,Santana-1B,Kipnis-2B,Bauers-DH,Naquin-RF,Plawecki-C,Freeman-SS
26,"27. Sun,4/28 at HOU L (1-4)#",Lindor-SS,Martin-CF,Ramirez-3B,Santana-1B,Luplow-RF,Gonzalez-DH,Kipnis-2B,Perez-C,Bauers-LF
27,"28. Tue,4/30 at MIA W (7-4)",Lindor-SS,Martin-CF,Ramirez-3B,Santana-1B,Gonzalez-RF,Kipnis-2B,Bauers-LF,Perez-C,Bauer-P
