,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 vs DET L (0-2)",Drury-3B,Grichuk-RF,Hernandez-LF,Smoak-1B,Gurriel-2B,Pillar-CF,Tellez-DH,Jansen-C,Galvis-SS
1,"2. Fri,3/29 vs DET W (6-0)#",Drury-3B,Grichuk-DH,Smoak-1B,Hernandez-LF,Gurriel-2B,Pillar-CF,McKinney-RF,Galvis-SS,Maile-C
2,"3. Sat,3/30 vs DET W (3-0)",Drury-3B,McKinney-RF,Hernandez-LF,Smoak-1B,Jansen-C,Tellez-DH,Pillar-CF,Galvis-SS,Urena-2B
3,"4. Sun,3/31 vs DET L (3-4)#",Jansen-DH,Drury-3B,Smoak-1B,Grichuk-RF,Hernandez-LF,Gurriel-2B,Pillar-CF,Urena-SS,Maile-C
4,"5. Mon,4/1 vs BAL L (5-6)",McKinney-RF,Drury-3B,Smoak-1B,Grichuk-CF,Tellez-DH,Hernandez-LF,Gurriel-2B,Jansen-C,Galvis-SS
5,"6. Tue,4/2 vs BAL L (1-2)",Drury-3B,McKinney-RF,Hernandez-LF,Smoak-1B,Jansen-C,Tellez-DH,Alford-CF,Galvis-SS,Urena-2B
6,"7. Wed,4/3 vs BAL W (5-3)",McKinney-RF,Grichuk-CF,Smoak-DH,Hernandez-LF,Tellez-1B,Gurriel-2B,Galvis-SS,Urena-3B,Maile-C
7,"8. Thu,4/4 at CLE L (1-4)",Drury-3B,Brito-RF,Grichuk-CF,Tellez-DH,Jansen-C,McKinney-LF,Gurriel-1B,Galvis-SS,Hanson-2B
8,"9. Fri,4/5 at CLE L (2-3)",Brito-RF,Hernandez-LF,McKinney-DH,Grichuk-CF,Tellez-1B,Drury-3B,Galvis-SS,Urena-2B,Maile-C
9,"10. Sat,4/6 at CLE L (2-7)",Galvis-SS,Hernandez-LF,Smoak-DH,Grichuk-CF,Tellez-1B,Drury-3B,Jansen-C,McKinney-RF,Gurriel-2B
10,"11. Sun,4/7 at CLE L (1-3)",Brito-RF,Galvis-SS,Grichuk-CF,Tellez-1B,Hernandez-DH,McKinney-LF,Hanson-2B,Urena-3B,Jansen-C
11,"12. Tue,4/9 at BOS W (7-5)#",Galvis-SS,Hernandez-LF,Drury-3B,Grichuk-CF,Jansen-C,Gurriel-DH,Urena-2B,Hanson-1B,McKinney-RF
12,"13. Thu,4/11 at BOS L (6-7)",McKinney-LF,Galvis-SS,Smoak-DH,Grichuk-CF,Tellez-1B,Jansen-C,Drury-3B,Gurriel-2B,Brito-RF
13,"14. Fri,4/12 vs TBR L (7-11)",McKinney-RF,Galvis-SS,Smoak-1B,Grichuk-CF,Hernandez-LF,Gurriel-DH,Urena-3B,Hanson-2B,Maile-C
14,"15. Sat,4/13 vs TBR W (3-1)#",Galvis-SS,Smoak-DH,Hernandez-LF,Grichuk-CF,Gurriel-2B,Drury-3B,Tellez-1B,Hanson-RF,Maile-C
15,"16. Sun,4/14 vs TBR L (4-8)",McKinney-LF,Galvis-SS,Smoak-1B,Grichuk-CF,Tellez-DH,Gurriel-2B,Brito-RF,Drury-3B,Jansen-C
16,"17. Mon,4/15 at MIN W (5-3)#",McKinney-RF,Galvis-SS,Grichuk-CF,Smoak-1B,Hernandez-LF,Drury-3B,Hanson-2B,Jansen-DH,Maile-C
17,"18. Tue,4/16 at MIN W (6-5)",Sogard-3B,Galvis-SS,Grichuk-RF,Smoak-1B,Hernandez-LF,Tellez-DH,Hanson-2B,Brito-CF,Jansen-C
18,"19. Wed,4/17 at MIN L (1-4)",Sogard-2B,Galvis-SS,Grichuk-CF,Smoak-1B,Hernandez-LF,Tellez-DH,Drury-3B,McKinney-RF,Maile-C
19,"20. Thu,4/18 at MIN W (7-4)",Sogard-2B,Galvis-SS,Grichuk-CF,Smoak-DH,Hernandez-LF,Tellez-1B,Drury-3B,McKinney-RF,Jansen-C
