,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 at WSN L (2-4)",Gordon-2B,Realmuto-C,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Hechavarria-SS,Volquez-P
1,"2. Wed,4/5 at WSN L (4-6)",Gordon-2B,Realmuto-C,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Hechavarria-SS,Straily-P
2,"3. Thu,4/6 at WSN W (4-3)#",Gordon-2B,Rojas-3B,Yelich-CF,Stanton-RF,Ozuna-LF,Realmuto-C,Bour-1B,Hechavarria-SS,Koehler-P
3,"4. Fri,4/7 at NYM W (7-2)",Gordon-2B,Ellis-C,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Hechavarria-SS,Chen-P
4,"5. Sat,4/8 at NYM W (8-1)",Realmuto-C,Rojas-2B,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Hechavarria-SS,Conley-P
5,"6. Sun,4/9 at NYM L (2-5)",Gordon-2B,Realmuto-C,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Rojas-SS,Volquez-P
6,"7. Tue,4/11 vs ATL W (8-4)",Gordon-2B,Realmuto-C,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Riddle-SS,Straily-P
7,"8. Wed,4/12 vs ATL L (4-5)#",Gordon-2B,Realmuto-C,Yelich-CF,Stanton-RF,Ozuna-LF,Moore-1B,Rojas-3B,Riddle-SS,Koehler-P
8,"9. Thu,4/13 vs NYM L (8-9)",Gordon-2B,Ellis-C,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Rojas-SS,Chen-P
9,"10. Fri,4/14 vs NYM W (3-2)",Gordon-2B,Realmuto-C,Yelich-CF,Ozuna-LF,Bour-1B,Dietrich-3B,Suzuki-RF,Rojas-SS,Volquez-P
10,"11. Sat,4/15 vs NYM W (5-4)",Gordon-2B,Rojas-SS,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Ellis-C,Conley-P
11,"12. Sun,4/16 vs NYM W (4-2)",Gordon-2B,Realmuto-C,Yelich-CF,Stanton-RF,Bour-1B,Ozuna-LF,Dietrich-3B,Rojas-SS,Straily-P
