,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 vs STL W (5-4)",Cain-CF,Yelich-RF,Braun-LF,Shaw-3B,Aguilar-1B,Moustakas-2B,Grandal-C,Arcia-SS,Chacin-P
1,"2. Fri,3/29 vs STL L (5-9)",Cain-CF,Yelich-RF,Braun-LF,Shaw-3B,Aguilar-1B,Moustakas-2B,Grandal-C,Arcia-SS,Peralta-P
2,"3. Sat,3/30 vs STL W (4-2)",Cain-CF,Yelich-RF,Shaw-3B,Grandal-C,Moustakas-2B,Thames-1B,Gamel-LF,Arcia-SS,Woodruff-P
3,"4. Sun,3/31 vs STL W (5-4)",Cain-CF,Yelich-RF,Braun-LF,Shaw-3B,Aguilar-1B,Moustakas-2B,Perez-SS,Pina-C,Burnes-P
4,"5. Mon,4/1 at CIN W (4-3)",Cain-CF,Yelich-RF,Braun-LF,Shaw-3B,Aguilar-1B,Moustakas-2B,Grandal-C,Arcia-SS,Davies-P
5,"6. Tue,4/2 at CIN W (4-3)",Cain-CF,Yelich-RF,Shaw-3B,Aguilar-1B,Moustakas-2B,Grandal-C,Gamel-LF,Arcia-SS,Chacin-P
6,"7. Wed,4/3 at CIN W (1-0)",Gamel-CF,Yelich-RF,Braun-LF,Shaw-3B,Aguilar-1B,Moustakas-2B,Pina-C,Arcia-SS,Peralta-P
7,"8. Fri,4/5 vs CHC W (13-10)#",Cain-CF,Yelich-RF,Braun-LF,Aguilar-1B,Moustakas-3B,Perez-2B,Grandal-C,Arcia-SS,Woodruff-P
8,"9. Sat,4/6 vs CHC L (8-14)#",Cain-CF,Yelich-RF,Braun-LF,Aguilar-1B,Shaw-3B,Perez-2B,Grandal-C,Arcia-SS,Burnes-P
9,"10. Sun,4/7 vs CHC W (4-2)",Cain-CF,Yelich-RF,Shaw-3B,Moustakas-2B,Thames-1B,Pina-C,Gamel-LF,Arcia-SS,Davies-P
10,"11. Mon,4/8 at LAA L (2-5)",Cain-CF,Yelich-RF,Braun-LF,Shaw-3B,Aguilar-1B,Moustakas-2B,Grandal-C,Thames-DH,Arcia-SS
11,"12. Tue,4/9 at LAA L (8-11)",Cain-CF,Yelich-RF,Braun-DH,Shaw-3B,Aguilar-1B,Moustakas-2B,Grandal-C,Gamel-LF,Perez-SS
12,"13. Wed,4/10 at LAA L (2-4)",Cain-CF,Yelich-DH,Braun-LF,Shaw-3B,Moustakas-2B,Grandal-C,Thames-1B,Gamel-RF,Arcia-SS
13,"14. Fri,4/12 at LAD W (8-5)#",Cain-CF,Yelich-RF,Braun-LF,Aguilar-1B,Grandal-C,Moustakas-3B,Perez-2B,Arcia-SS,Burnes-P
14,"15. Sat,4/13 at LAD W (4-1)#",Cain-CF,Yelich-RF,Braun-LF,Grandal-C,Moustakas-2B,Aguilar-1B,Shaw-3B,Arcia-SS,Davies-P
15,"16. Sun,4/14 at LAD L (1-7)",Cain-CF,Yelich-RF,Shaw-3B,Grandal-C,Moustakas-2B,Aguilar-1B,Gamel-LF,Arcia-SS,Chacin-P
16,"17. Mon,4/15 vs STL W (10-7)",Cain-CF,Yelich-RF,Shaw-3B,Moustakas-2B,Thames-1B,Pina-C,Gamel-LF,Arcia-SS,Peralta-P
17,"18. Tue,4/16 vs STL W (8-4)",Cain-CF,Yelich-RF,Braun-LF,Moustakas-2B,Grandal-C,Shaw-3B,Aguilar-1B,Arcia-SS,Woodruff-P
18,"19. Wed,4/17 vs STL L (3-6)",Gamel-CF,Yelich-RF,Grandal-C,Moustakas-2B,Braun-LF,Shaw-3B,Aguilar-1B,Arcia-SS,Burnes-P
19,"20. Thu,4/18 vs LAD L (1-3)#",Cain-CF,Yelich-RF,Braun-LF,Grandal-C,Aguilar-1B,Shaw-3B,Perez-2B,Arcia-SS,Davies-P
20,"21. Fri,4/19 vs LAD L (3-5)",Cain-CF,Yelich-RF,Moustakas-2B,Grandal-C,Shaw-3B,Thames-1B,Gamel-LF,Arcia-SS,Chacin-P
21,"22. Sat,4/20 vs LAD W (5-0)#",Cain-CF,Yelich-RF,Braun-LF,Aguilar-1B,Moustakas-3B,Perez-2B,Pina-C,Arcia-SS,Anderson-P
22,"23. Sun,4/21 vs LAD L (5-6)#",Cain-CF,Yelich-RF,Braun-LF,Grandal-C,Aguilar-1B,Perez-2B,Shaw-3B,Arcia-SS,Woodruff-P
23,"24. Mon,4/22 at STL L (5-13)",Cain-CF,Yelich-RF,Grandal-C,Shaw-3B,Braun-LF,Thames-1B,Perez-2B,Arcia-SS,Houser-P
24,"25. Tue,4/23 at STL L (3-4)",Cain-CF,Yelich-RF,Grandal-1B,Braun-LF,Shaw-3B,Perez-2B,Pina-C,Arcia-SS,Davies-P
25,"26. Wed,4/24 at STL L (2-5)",Cain-CF,Thames-1B,Grandal-C,Shaw-3B,Braun-LF,Gamel-RF,Perez-2B,Arcia-SS,Chacin-P
26,"27. Fri,4/26 at NYM W (10-2)",Cain-CF,Yelich-RF,Grandal-C,Moustakas-2B,Braun-LF,Shaw-3B,Thames-1B,Arcia-SS,Anderson-P
27,"28. Sat,4/27 at NYM W (8-6)",Cain-CF,Yelich-RF,Moustakas-2B,Grandal-C,Shaw-3B,Thames-1B,Arcia-SS,Woodruff-P,Gamel-LF
28,"29. Sun,4/28 at NYM L (2-5)#",Cain-CF,Yelich-RF,Braun-LF,Aguilar-1B,Moustakas-3B,Perez-2B,Pina-C,Arcia-SS,Gonzalez-P
29,"30. Mon,4/29 vs COL W (5-1)#",Cain-CF,Grandal-C,Braun-LF,Aguilar-1B,Moustakas-3B,Perez-2B,Gamel-RF,Arcia-SS,Davies-P
30,"31. Tue,4/30 vs COL W (4-3)",Cain-CF,Thames-RF,Moustakas-2B,Grandal-C,Shaw-3B,Aguilar-1B,Gamel-LF,Arcia-SS,Chacin-P
31,"32. Wed,5/1 vs COL L (4-11)",Cain-CF,Thames-RF,Moustakas-2B,Grandal-C,Shaw-3B,Aguilar-1B,Gamel-LF,Arcia-SS,Barnes-P
32,"33. Thu,5/2 vs COL L (6-11)",Gamel-RF,Thames-1B,Cain-CF,Moustakas-2B,Shaw-3B,Braun-LF,Pina-C,Arcia-SS,Peralta-P
33,"34. Fri,5/3 vs NYM W (3-1)#",Cain-CF,Grandal-C,Braun-LF,Aguilar-1B,Moustakas-3B,Perez-2B,Gamel-RF,Arcia-SS,Woodruff-P
34,"35. Sat,5/4 vs NYM W (4-3)",Cain-CF,Thames-1B,Moustakas-2B,Grandal-C,Shaw-3B,Braun-LF,Gamel-RF,Arcia-SS,Gonzalez-P
35,"36. Sun,5/5 vs NYM W (3-2)#",Cain-CF,Yelich-RF,Braun-LF,Aguilar-1B,Perez-2B,Shaw-3B,Pina-C,Arcia-SS,Davies-P
36,"37. Mon,5/6 vs WSN W (5-3)",Gamel-CF,Yelich-LF,Grandal-C,Moustakas-2B,Shaw-3B,Aguilar-1B,Thames-RF,Arcia-SS,Chacin-P
37,"38. Tue,5/7 vs WSN W (6-0)",Cain-CF,Yelich-RF,Moustakas-2B,Grandal-C,Gamel-LF,Aguilar-1B,Shaw-3B,Arcia-SS,Houser-P
38,"39. Wed,5/8 vs WSN W (7-3)",Cain-CF,Yelich-RF,Moustakas-2B,Braun-LF,Thames-1B,Shaw-3B,Pina-C,Arcia-SS,Woodruff-P
39,"40. Fri,5/10 at CHC W (7-0)#",Cain-CF,Yelich-RF,Braun-LF,Grandal-C,Aguilar-1B,Moustakas-3B,Perez-2B,Arcia-SS,Gonzalez-P
40,"41. Sat,5/11 at CHC L (1-2)#",Cain-CF,Yelich-RF,Aguilar-1B,Grandal-C,Moustakas-3B,Perez-2B,Gamel-LF,Arcia-SS,Davies-P
41,"42. Sun,5/12 at CHC L (1-4)#",Cain-CF,Yelich-RF,Aguilar-1B,Grandal-C,Moustakas-3B,Perez-2B,Gamel-LF,Arcia-SS,Chacin-P
42,"43. Mon,5/13 at PHI L (4-7)",Cain-CF,Yelich-RF,Moustakas-2B,Grandal-C,Thames-1B,Shaw-3B,Arcia-SS,Peralta-P,Gamel-LF
43,"44. Tue,5/14 at PHI W (6-1)",Cain-CF,Yelich-RF,Braun-LF,Moustakas-3B,Aguilar-1B,Grandal-C,Hiura-2B,Arcia-SS,Woodruff-P
