,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 at BAL L (2-3)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Escobar-SS,Kepler-RF,Buxton-CF,Castro-C
1,"2. Sat,3/31 at BAL W (6-2)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Adrianza-SS,Kepler-RF,Buxton-CF,Castro-C
2,"3. Sun,4/1 at BAL W (7-0)",Dozier-2B,Mauer-DH,Sano-3B,Rosario-LF,Morrison-1B,Escobar-SS,Buxton-CF,Kepler-RF,Garver-C
3,"4. Mon,4/2 at PIT L (4-5)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Escobar-SS,Kepler-RF,Buxton-CF,Castro-C,Lynn-P
4,"5. Wed,4/4 at PIT W (7-3)",Dozier-2B,Rosario-LF,Sano-3B,Morrison-1B,Escobar-SS,Kepler-RF,Buxton-CF,Castro-C,Odorizzi-P
5,"6. Thu,4/5 vs SEA W (4-2)#",Dozier-2B,Mauer-1B,Sano-3B,Grossman-DH,Buxton-CF,Kepler-RF,LaMarre-LF,Adrianza-SS,Garver-C
6,"7. Sat,4/7 vs SEA L (4-11)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Escobar-SS,Kepler-RF,Buxton-CF,Castro-C
7,"8. Mon,4/9 vs HOU L (0-2)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Escobar-SS,Kepler-RF,Buxton-CF,Castro-C
8,"9. Tue,4/10 vs HOU W (4-1)#",Dozier-2B,Mauer-1B,Sano-3B,Escobar-SS,Grossman-RF,Morrison-DH,Garver-C,Buxton-CF,LaMarre-LF
9,"10. Wed,4/11 vs HOU W (9-8)",Dozier-2B,Mauer-DH,Rosario-LF,Morrison-1B,Escobar-3B,Kepler-RF,Buxton-CF,Castro-C,Adrianza-SS
10,"11. Thu,4/12 vs CHW W (4-0)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Escobar-SS,Kepler-RF,Buxton-CF,Castro-C
11,"12. Tue,4/17 vs CLE L (1-6)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Escobar-SS,Kepler-CF,Grossman-RF,Castro-C
12,"13. Wed,4/18 vs CLE W (2-1)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Escobar-SS,Kepler-CF,Grossman-RF,Castro-C
13,"14. Fri,4/20 at TBR L (7-8)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Escobar-SS,Kepler-CF,Grossman-RF,Castro-C
14,"15. Sat,4/21 at TBR L (1-10)#",Dozier-2B,Mauer-1B,Sano-3B,Grossman-DH,Rosario-LF,Garver-C,Adrianza-SS,Kepler-RF,LaMarre-CF
15,"16. Sun,4/22 at TBR L (6-8)",Dozier-2B,Mauer-DH,Grossman-RF,Rosario-LF,Morrison-1B,Escobar-3B,Kepler-CF,Adrianza-SS,Castro-C
16,"17. Mon,4/23 at NYY L (1-14)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Morrison-DH,Escobar-SS,Kepler-RF,LaMarre-CF,Castro-C
17,"18. Tue,4/24 at NYY L (3-8)#",Dozier-2B,Kepler-RF,Sano-DH,Escobar-3B,Rosario-LF,Garver-C,Morrison-1B,Adrianza-SS,LaMarre-CF
18,"19. Wed,4/25 at NYY L (4-7)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Kepler-CF,Escobar-SS,Morrison-DH,Grossman-RF,Castro-C
19,"20. Thu,4/26 at NYY L (3-4)#",Dozier-2B,Mauer-DH,Sano-1B,Escobar-3B,Garver-C,Kepler-RF,Grossman-LF,Adrianza-SS,LaMarre-CF
20,"21. Fri,4/27 vs CIN L (9-15)",Dozier-2B,Mauer-1B,Sano-3B,Rosario-LF,Kepler-CF,Escobar-SS,Morrison-DH,Grossman-RF,Castro-C
21,"22. Sat,4/28 vs CIN W (3-1)",Dozier-2B,Mauer-DH,Rosario-LF,Escobar-3B,Kepler-CF,Grossman-RF,Morrison-1B,Garver-C,Adrianza-SS
22,"23. Sun,4/29 vs CIN L (2-8)",Dozier-2B,Mauer-1B,Rosario-LF,Escobar-3B,Kepler-CF,Grossman-RF,Morrison-DH,Adrianza-SS,Castro-C
23,"24. Mon,4/30 vs TOR L (5-7)",Dozier-2B,Mauer-1B,Rosario-LF,Escobar-3B,Kepler-CF,Grossman-RF,Morrison-DH,Garver-C,Adrianza-SS
24,"25. Tue,5/1 vs TOR L (4-7)",Grossman-RF,Mauer-1B,Kepler-CF,Escobar-3B,Rosario-LF,Garver-C,Morrison-DH,Adrianza-SS,Petit-2B
25,"26. Wed,5/2 vs TOR W (4-0)",Dozier-2B,Mauer-DH,Kepler-CF,Escobar-3B,Rosario-LF,Grossman-RF,Morrison-1B,Petit-SS,Castro-C
26,"27. Thu,5/3 at CHW L (5-6)",Dozier-2B,Mauer-1B,Kepler-CF,Escobar-3B,Rosario-LF,Grossman-RF,Morrison-DH,Petit-SS,Castro-C
27,"28. Fri,5/4 at CHW W (6-4)",Mauer-1B,Dozier-2B,Kepler-RF,Rosario-LF,Escobar-3B,Morrison-DH,Adrianza-SS,Castro-C,LaMarre-CF
28,"29. Sat,5/5 at CHW W (8-4)#",Mauer-DH,Dozier-2B,Kepler-RF,Escobar-3B,Rosario-LF,Garver-C,Morrison-1B,Adrianza-SS,LaMarre-CF
29,"30. Sun,5/6 at CHW W (5-3)",Mauer-DH,Dozier-2B,Kepler-CF,Escobar-3B,Rosario-LF,Grossman-RF,Morrison-1B,Adrianza-SS,Wilson-C
30,"31. Mon,5/7 at STL W (6-0)",Mauer-1B,Dozier-2B,Kepler-CF,Escobar-3B,Rosario-LF,Grossman-RF,Wilson-C,Adrianza-SS,Romero-P
31,"32. Tue,5/8 at STL W (7-1)",Morrison-1B,Dozier-2B,Kepler-CF,Escobar-3B,Rosario-LF,Grossman-RF,Garver-C,Adrianza-SS,Odorizzi-P
32,"33. Thu,5/10 at LAA L (4-7)",Mauer-1B,Dozier-2B,Kepler-RF,Escobar-3B,Rosario-LF,Morrison-DH,Garver-C,Adrianza-SS,Buxton-CF
33,"34. Fri,5/11 at LAA W (5-4)#",Mauer-1B,Dozier-2B,Escobar-3B,Rosario-LF,Grossman-RF,Morrison-DH,Buxton-CF,Adrianza-SS,Wilson-C
34,"35. Sat,5/12 at LAA W (5-3)",Mauer-1B,Dozier-2B,Kepler-RF,Escobar-3B,Rosario-LF,Garver-C,Morrison-DH,Adrianza-SS,Buxton-CF
35,"36. Sun,5/13 at LAA L (1-2)",Dozier-2B,Kepler-CF,Escobar-3B,Rosario-LF,Garver-DH,Morrison-1B,Grossman-RF,Petit-SS,Wilson-C
36,"37. Mon,5/14 vs SEA L (0-1)#",Mauer-DH,Dozier-2B,Kepler-RF,Escobar-3B,Garver-C,Morrison-1B,Grossman-LF,Buxton-CF,Adrianza-SS
37,"38. Tue,5/15 vs STL W (4-1)",Mauer-1B,Dozier-2B,Rosario-LF,Escobar-3B,Kepler-RF,Morrison-DH,Buxton-CF,Adrianza-SS,Wilson-C
38,"39. Wed,5/16 vs STL L (5-7)",Mauer-DH,Dozier-2B,Rosario-LF,Kepler-RF,Garver-C,Morrison-1B,Buxton-CF,Adrianza-SS,Petit-3B
39,"40. Fri,5/18 vs MIL L (3-8)#",Mauer-1B,Dozier-2B,Rosario-LF,Escobar-3B,Kepler-RF,Grossman-DH,Buxton-CF,Adrianza-SS,Wilson-C
40,"41. Sat,5/19 vs MIL L (4-5)",Dozier-2B,Kepler-RF,Rosario-LF,Escobar-3B,Morrison-1B,Grossman-DH,Cave-CF,Adrianza-SS,Wilson-C
41,"42. Sun,5/20 vs MIL W (3-1)",Dozier-2B,Kepler-RF,Rosario-LF,Escobar-3B,Morrison-1B,Garver-C,Cave-DH,Petit-SS,Buxton-CF
42,"43. Mon,5/21 vs DET W (4-2)#",Dozier-2B,Kepler-RF,Escobar-3B,Rosario-LF,Garver-C,Morrison-1B,Grossman-DH,Adrianza-SS,Buxton-CF
43,"44. Tue,5/22 vs DET W (6-0)#",Dozier-2B,Grossman-DH,Rosario-LF,Escobar-3B,Garver-C,Morrison-1B,LaMarre-RF,Adrianza-SS,Buxton-CF
44,"45. Wed,5/23 vs DET L (1-4)",Dozier-2B,Kepler-RF,Rosario-DH,Escobar-3B,Morrison-1B,Cave-LF,Adrianza-SS,Wilson-C,Buxton-CF
45,"46. Fri,5/25 at SEA L (1-2)#",Dozier-2B,Rosario-LF,Sano-1B,Escobar-3B,Kepler-RF,Garver-C,Grossman-DH,Adrianza-SS,Buxton-CF
46,"47. Sat,5/26 at SEA L (3-4)#",Dozier-2B,Kepler-RF,Sano-1B,Rosario-LF,Escobar-3B,Garver-C,Morrison-DH,Petit-SS,Buxton-CF
47,"48. Sun,5/27 at SEA L (1-3)",Dozier-2B,Kepler-RF,Sano-DH,Rosario-LF,Escobar-3B,Morrison-1B,Adrianza-SS,Wilson-C,Buxton-CF
48,"49. Mon,5/28 at KCR W (8-5)",Dozier-2B,Rosario-LF,Sano-3B,Morrison-1B,Escobar-SS,Kepler-RF,Grossman-DH,Garver-C,Buxton-CF
49,"50. Tue,5/29 at KCR L (1-2)#",Dozier-2B,Rosario-LF,Sano-1B,Escobar-3B,Kepler-RF,Grossman-DH,Garver-C,Adrianza-SS,LaMarre-CF
50,"51. Wed,5/30 at KCR L (8-11)",Dozier-2B,Rosario-LF,Sano-DH,Morrison-1B,Escobar-3B,Kepler-RF,LaMarre-CF,Adrianza-SS,Wilson-C
