,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 at HOU L (0-3)#",Segura-SS,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Martin-CF,Zunino-C,Dyson-LF
1,"2. Tue,4/4 at HOU L (1-2)",Segura-SS,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Martin-CF,Zunino-C,Dyson-LF
2,"3. Wed,4/5 at HOU L (3-5)",Segura-SS,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Zunino-C,Dyson-LF,Martin-CF
3,"4. Thu,4/6 at HOU W (4-2)",Segura-SS,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Ruiz-C,Dyson-LF,Martin-CF
4,"5. Fri,4/7 at LAA L (1-5)",Segura-SS,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Dyson-CF,Zunino-C,Heredia-LF
5,"6. Sat,4/8 at LAA L (4-5)",Segura-SS,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Martin-CF,Zunino-C,Dyson-LF
6,"7. Sun,4/9 at LAA L (9-10)",Segura-SS,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Martin-CF,Ruiz-C,Motter-LF
7,"8. Mon,4/10 vs HOU W (6-0)",Segura-SS,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Martin-CF,Zunino-C,Dyson-LF
8,"9. Tue,4/11 vs HOU L (5-7)",Dyson-LF,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Valencia-1B,Martin-CF,Ruiz-C,Motter-SS
9,"10. Wed,4/12 vs HOU L (5-10)",Dyson-LF,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Motter-SS,Zunino-C,Freeman-1B,Martin-CF
10,"11. Fri,4/14 vs TEX W (2-1)#",Heredia-LF,Haniger-RF,Cano-2B,Cruz-DH,Seager-3B,Motter-SS,Valencia-1B,Zunino-C,Dyson-CF
