,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 vs ATL W (6-0)",Reyes-3B,Cabrera-SS,Cespedes-LF,Granderson-CF,Walker-2B,Bruce-RF,Duda-1B,Rivera-C,Syndergaard-P
1,"2. Wed,4/5 vs ATL L (1-3)",Reyes-3B,Cabrera-SS,Cespedes-LF,Granderson-CF,Walker-2B,Bruce-RF,Duda-1B,d'Arnaud-C,deGrom-P
2,"3. Thu,4/6 vs ATL W (6-2)#",Reyes-3B,Cabrera-SS,Cespedes-LF,Flores-1B,Granderson-CF,Walker-2B,Bruce-RF,d'Arnaud-C,Harvey-P
3,"4. Fri,4/7 vs MIA L (2-7)#",Reyes-3B,Cabrera-SS,Cespedes-LF,Flores-1B,Granderson-CF,Walker-2B,Bruce-RF,Rivera-C,Wheeler-P
4,"5. Sat,4/8 vs MIA L (1-8)#",Granderson-CF,Cabrera-SS,Cespedes-LF,Flores-3B,Walker-2B,Bruce-RF,Duda-1B,d'Arnaud-C,Gsellman-P
5,"6. Sun,4/9 vs MIA W (5-2)",Reyes-3B,Cabrera-SS,Cespedes-LF,Bruce-RF,Walker-2B,Duda-1B,Conforto-CF,Rivera-C,Syndergaard-P
6,"7. Mon,4/10 at PHI W (4-3)",Reyes-3B,Cabrera-SS,Cespedes-LF,Bruce-RF,Granderson-CF,Walker-2B,Duda-1B,d'Arnaud-C,deGrom-P
7,"8. Tue,4/11 at PHI W (14-4)",Granderson-CF,Cabrera-SS,Cespedes-LF,Bruce-RF,Walker-2B,Duda-1B,Reyes-3B,d'Arnaud-C,Harvey-P
8,"9. Wed,4/12 at PHI W (5-4)",Conforto-CF,Cabrera-SS,Cespedes-LF,Bruce-RF,Walker-2B,Duda-1B,Reyes-3B,d'Arnaud-C,Wheeler-P
9,"10. Thu,4/13 at MIA W (9-8)#",Granderson-CF,Cabrera-SS,Cespedes-LF,Flores-1B,Bruce-RF,Walker-2B,Rivera-3B,d'Arnaud-C,Gsellman-P
10,"11. Fri,4/14 at MIA L (2-3)",Granderson-CF,Cabrera-SS,Bruce-RF,Duda-1B,Conforto-LF,Flores-2B,Reyes-3B,Syndergaard-P,Rivera-C
11,"12. Sat,4/15 at MIA L (4-5)#",Reyes-3B,Cabrera-SS,Cespedes-LF,Flores-1B,Walker-2B,Granderson-RF,Lagares-CF,Rivera-C,deGrom-P
12,"13. Sun,4/16 at MIA L (2-4)",Granderson-CF,Walker-2B,Cespedes-LF,Bruce-RF,Duda-1B,d'Arnaud-C,Reyes-SS,Flores-3B,Harvey-P
