,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 vs STL W (9-4)",Nimmo-CF,Cespedes-LF,Bruce-RF,Cabrera-2B,Frazier-3B,Gonzalez-1B,Plawecki-C,Syndergaard-P,Rosario-SS
1,"2. Sat,3/31 vs STL W (6-2)",Cabrera-2B,Cespedes-LF,Bruce-RF,Frazier-3B,d'Arnaud-C,Gonzalez-1B,Lagares-CF,deGrom-P,Rosario-SS
2,"3. Sun,4/1 vs STL L (1-5)",Cabrera-2B,Cespedes-LF,Bruce-RF,Frazier-3B,Flores-1B,Plawecki-C,Lagares-CF,Matz-P,Rosario-SS
3,"4. Tue,4/3 vs PHI W (2-0)",Nimmo-CF,Cabrera-2B,Cespedes-LF,Bruce-RF,Frazier-3B,Gonzalez-1B,d'Arnaud-C,Reyes-SS,Harvey-P
4,"5. Wed,4/4 vs PHI W (4-2)",Nimmo-CF,Cespedes-LF,Bruce-RF,Frazier-3B,Cabrera-2B,Gonzalez-1B,Plawecki-C,Syndergaard-P,Rosario-SS
5,"6. Thu,4/5 at WSN W (8-2)",Conforto-CF,Cabrera-2B,Cespedes-LF,Bruce-RF,Frazier-3B,Gonzalez-1B,Plawecki-C,Reyes-SS,deGrom-P
6,"7. Sat,4/7 at WSN W (3-2)#",Cabrera-2B,Cespedes-LF,Flores-1B,Frazier-3B,d'Arnaud-C,Bruce-RF,Lagares-CF,Matz-P,Rosario-SS
7,"8. Sun,4/8 at WSN W (6-5)",Conforto-CF,Cespedes-LF,Bruce-RF,Frazier-3B,Cabrera-2B,Gonzalez-1B,d'Arnaud-C,Harvey-P,Rosario-SS
8,"9. Mon,4/9 at MIA W (4-2)",Conforto-CF,Cespedes-LF,Bruce-RF,Frazier-3B,Cabrera-2B,Gonzalez-1B,Plawecki-C,Syndergaard-P,Rosario-SS
9,"10. Tue,4/10 at MIA W (8-6)#",Conforto-RF,Cespedes-LF,Flores-1B,Frazier-3B,Cabrera-2B,Plawecki-C,Lagares-CF,deGrom-P,Rosario-SS
10,"11. Wed,4/11 at MIA W (4-1)#",Cabrera-2B,Flores-1B,Cespedes-LF,Frazier-3B,Bruce-RF,Plawecki-C,Rosario-SS,Lagares-CF,Wheeler-P
11,"12. Fri,4/13 vs MIL W (6-5)",Conforto-CF,Cabrera-2B,Cespedes-LF,Bruce-RF,Gonzalez-1B,Frazier-3B,Rosario-SS,Lobaton-C,Matz-P
12,"13. Sat,4/14 vs MIL L (1-5)",Conforto-CF,Cabrera-2B,Cespedes-LF,Bruce-RF,Gonzalez-1B,Frazier-3B,Rosario-SS,Lobaton-C,Harvey-P
13,"14. Sun,4/15 vs MIL W (3-2)",Nimmo-RF,Conforto-CF,Cespedes-LF,Frazier-3B,Flores-1B,Rosario-SS,Reyes-2B,Nido-C,Syndergaard-P
14,"15. Mon,4/16 vs WSN L (6-8)",Nimmo-RF,Cabrera-2B,Conforto-LF,Frazier-3B,Gonzalez-1B,Lagares-CF,Lobaton-C,deGrom-P,Rosario-SS
15,"16. Tue,4/17 vs WSN L (2-5)#",Cabrera-2B,Cespedes-LF,Flores-1B,Frazier-3B,Bruce-RF,Lagares-CF,Nido-C,Wheeler-P,Rosario-SS
16,"17. Wed,4/18 vs WSN W (11-5)",Conforto-CF,Cespedes-LF,Cabrera-2B,Bruce-RF,Frazier-3B,Gonzalez-1B,Lobaton-C,Matz-P,Rosario-SS
17,"18. Thu,4/19 at ATL L (4-12)",Conforto-CF,Cespedes-LF,Cabrera-2B,Bruce-RF,Frazier-3B,Gonzalez-1B,Lobaton-C,Harvey-P,Rosario-SS
18,"19. Fri,4/20 at ATL W (5-3)#",Conforto-CF,Cespedes-LF,Cabrera-2B,Frazier-3B,Flores-1B,Bruce-RF,Nido-C,Syndergaard-P,Rosario-SS
19,"20. Sat,4/21 at ATL L (3-4)",Conforto-CF,Cespedes-LF,Cabrera-2B,Bruce-RF,Frazier-3B,Gonzalez-1B,Lobaton-C,deGrom-P,Reyes-SS
20,"21. Tue,4/24 at STL W (6-5)",Conforto-CF,Cespedes-LF,Cabrera-2B,Frazier-3B,Bruce-RF,Gonzalez-1B,Rosario-SS,Nido-C,Wheeler-P
