,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 vs LAA W (6-5)",Joyce-LF,Semien-SS,Lowrie-2B,Davis-DH,Olson-1B,Piscotty-RF,Chapman-3B,Lucroy-C,Powell-CF
1,"2. Fri,3/30 vs LAA L (1-2)#",Semien-SS,Smolinski-CF,Lowrie-2B,Davis-DH,Olson-1B,Piscotty-RF,Chapman-3B,Lucroy-C,Pinder-LF
2,"3. Sat,3/31 vs LAA L (3-8)",Joyce-DH,Semien-SS,Lowrie-2B,Davis-LF,Olson-1B,Piscotty-RF,Chapman-3B,Powell-CF,Maxwell-C
3,"4. Sun,4/1 vs LAA L (4-7)",Semien-SS,Lowrie-2B,Olson-1B,Davis-LF,Joyce-DH,Piscotty-RF,Chapman-3B,Lucroy-C,Powell-CF
4,"5. Mon,4/2 vs TEX W (3-1)",Semien-SS,Lowrie-2B,Olson-1B,Davis-LF,Joyce-DH,Piscotty-RF,Chapman-3B,Lucroy-C,Powell-CF
5,"6. Tue,4/3 vs TEX L (1-4)#",Semien-SS,Pinder-LF,Lowrie-2B,Davis-DH,Olson-1B,Chapman-3B,Piscotty-RF,Lucroy-C,Smolinski-CF
6,"7. Wed,4/4 vs TEX W (6-2)",Semien-SS,Joyce-LF,Lowrie-2B,Davis-DH,Olson-1B,Chapman-3B,Pinder-RF,Maxwell-C,Powell-CF
7,"8. Thu,4/5 vs TEX L (3-6)#",Semien-SS,Pinder-LF,Lowrie-2B,Davis-DH,Olson-1B,Chapman-3B,Lucroy-C,Piscotty-RF,Smolinski-CF
8,"9. Fri,4/6 at LAA L (9-13)",Joyce-LF,Semien-SS,Lowrie-2B,Davis-DH,Olson-1B,Chapman-3B,Lucroy-C,Piscotty-RF,Powell-CF
9,"10. Sat,4/7 at LAA W (7-3)",Joyce-LF,Semien-SS,Lowrie-2B,Davis-DH,Olson-1B,Chapman-3B,Maxwell-C,Piscotty-RF,Smolinski-CF
10,"11. Sun,4/8 at LAA L (1-6)",Joyce-LF,Semien-SS,Lowrie-2B,Davis-DH,Olson-1B,Chapman-3B,Lucroy-C,Piscotty-RF,Smolinski-CF
11,"12. Tue,4/10 at LAD L (0-4)#",Semien-SS,Chapman-3B,Lowrie-2B,Davis-LF,Olson-1B,Lucroy-C,Piscotty-RF,Smolinski-CF,Manaea-P
