,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/4 vs MIN W (3-2)",Machado-3B,Jones-CF,Davis-1B,Trumbo-RF,Wieters-C,Alvarez-DH,Hardy-SS,Schoop-2B,Rickard-LF
1,"2. Wed,4/6 vs MIN W (4-2)",Machado-3B,Jones-CF,Davis-1B,Trumbo-RF,Wieters-C,Alvarez-DH,Hardy-SS,Schoop-2B,Rickard-LF
2,"3. Thu,4/7 vs MIN W (4-2)",Rickard-CF,Reimold-LF,Machado-3B,Davis-1B,Trumbo-RF,Hardy-SS,Alvarez-DH,Schoop-2B,Joseph-C
3,"4. Fri,4/8 vs TBR W (6-1)",Rickard-CF,Reimold-LF,Machado-SS,Davis-1B,Trumbo-RF,Wieters-C,Alvarez-DH,Schoop-2B,Flaherty-3B
4,"5. Sun,4/10 vs TBR W (5-3)",Rickard-CF,Machado-3B,Davis-1B,Trumbo-RF,Wieters-C,Alvarez-DH,Hardy-SS,Schoop-2B,Kim-LF
5,"6. Mon,4/11 at BOS W (9-7)#",Rickard-CF,Machado-3B,Davis-1B,Trumbo-LF,Wieters-DH,Hardy-SS,Schoop-2B,Reimold-RF,Joseph-C
6,"7. Tue,4/12 at BOS W (9-5)",Rickard-CF,Machado-3B,Davis-1B,Trumbo-RF,Wieters-C,Alvarez-DH,Hardy-SS,Schoop-2B,Flaherty-LF
7,"8. Wed,4/13 at BOS L (2-4)",Rickard-CF,Machado-3B,Davis-1B,Trumbo-RF,Hardy-SS,Alvarez-DH,Schoop-2B,Joseph-C,Kim-LF
8,"9. Thu,4/14 at TEX L (3-6)#",Rickard-LF,Machado-3B,Jones-CF,Davis-1B,Trumbo-DH,Wieters-C,Hardy-SS,Schoop-2B,Reimold-RF
9,"10. Fri,4/15 at TEX W (11-5)#",Rickard-LF,Machado-3B,Jones-CF,Davis-1B,Trumbo-DH,Hardy-SS,Schoop-2B,Reimold-RF,Joseph-C
10,"11. Sat,4/16 at TEX L (4-8)",Rickard-LF,Machado-3B,Jones-CF,Davis-1B,Trumbo-RF,Wieters-C,Hardy-SS,Alvarez-DH,Schoop-2B
11,"12. Tue,4/19 vs TOR L (3-4)",Rickard-LF,Machado-3B,Jones-CF,Davis-1B,Trumbo-RF,Wieters-C,Hardy-SS,Alvarez-DH,Schoop-2B
12,"13. Wed,4/20 vs TOR W (4-3)",Rickard-LF,Machado-3B,Jones-CF,Davis-1B,Trumbo-RF,Hardy-SS,Schoop-2B,Alvarez-DH,Joseph-C
13,"14. Thu,4/21 vs TOR W (3-2)",Rickard-LF,Machado-3B,Jones-CF,Davis-1B,Trumbo-DH,Wieters-C,Hardy-SS,Schoop-2B,Reimold-RF
