,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 at ATL L (5-8)",Hernandez-2B,Santana-1B,Williams-RF,Hoskins-LF,Altherr-CF,Crawford-SS,Franco-3B,Knapp-C,Nola-P
1,"2. Fri,3/30 at ATL W (5-4)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Altherr-RF,Kingery-3B,Knapp-C,Pivetta-P,Crawford-SS
2,"3. Sat,3/31 at ATL L (2-15)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Altherr-RF,Kingery-SS,Franco-3B,Alfaro-C,Velasquez-P
3,"4. Tue,4/3 at NYM L (0-2)",Hernandez-2B,Santana-1B,Altherr-RF,Hoskins-LF,Herrera-CF,Kingery-3B,Alfaro-C,Lively-P,Crawford-SS
4,"5. Wed,4/4 at NYM L (2-4)",Hernandez-2B,Santana-1B,Williams-RF,Hoskins-LF,Altherr-CF,Franco-3B,Knapp-C,Crawford-SS,Nola-P
5,"6. Thu,4/5 vs MIA W (5-0)#",Hernandez-2B,Santana-1B,Kingery-RF,Hoskins-LF,Herrera-CF,Franco-3B,Alfaro-C,Pivetta-P,Crawford-SS
6,"7. Sat,4/7 vs MIA W (20-1)#",Hernandez-2B,Santana-1B,Kingery-SS,Hoskins-LF,Herrera-CF,Franco-3B,Altherr-RF,Alfaro-C,Velasquez-P
7,"8. Sun,4/8 vs MIA L (3-6)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Williams-RF,Franco-3B,Knapp-C,Crawford-SS,Arrieta-P
8,"9. Mon,4/9 vs CIN W (6-5)#",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Franco-3B,Kingery-SS,Altherr-RF,Alfaro-C,Lively-P
9,"10. Tue,4/10 vs CIN W (6-1)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Williams-RF,Kingery-3B,Alfaro-C,Crawford-SS,Nola-P
10,"11. Wed,4/11 vs CIN W (4-3)",Hernandez-2B,Kingery-LF,Herrera-CF,Santana-1B,Franco-3B,Williams-RF,Alfaro-C,Pivetta-P,Crawford-SS
11,"12. Fri,4/13 at TBR W (2-1)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Williams-DH,Kingery-3B,Altherr-RF,Alfaro-C,Crawford-SS
12,"13. Sat,4/14 at TBR W (9-4)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-DH,Williams-RF,Kingery-LF,Franco-3B,Alfaro-C,Crawford-SS
13,"14. Sun,4/15 at TBR W (10-4)#",Hernandez-DH,Santana-1B,Herrera-CF,Hoskins-LF,Kingery-2B,Franco-3B,Altherr-RF,Knapp-C,Florimon-SS
14,"15. Mon,4/16 at ATL L (1-2)",Kingery-2B,Santana-1B,Herrera-CF,Hoskins-LF,Altherr-RF,Crawford-SS,Franco-3B,Alfaro-C,Nola-P
15,"16. Tue,4/17 at ATL W (5-1)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Williams-RF,Franco-3B,Knapp-C,Pivetta-P,Crawford-SS
16,"17. Wed,4/18 at ATL L (3-7)",Hernandez-2B,Kingery-LF,Herrera-CF,Hoskins-1B,Williams-RF,Franco-3B,Knapp-C,Velasquez-P,Crawford-SS
17,"18. Thu,4/19 vs PIT W (7-0)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Williams-RF,Kingery-3B,Crawford-SS,Alfaro-C,Arrieta-P
18,"19. Fri,4/20 vs PIT W (2-1)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Altherr-RF,Knapp-C,Franco-3B,Lively-P,Crawford-SS
19,"20. Sat,4/21 vs PIT W (6-2)#",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Franco-3B,Kingery-SS,Altherr-RF,Alfaro-C,Nola-P
20,"21. Sun,4/22 vs PIT W (3-2)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Williams-RF,Kingery-3B,Knapp-C,Pivetta-P,Crawford-SS
21,"22. Tue,4/24 vs ARI L (4-8)#",Hernandez-2B,Santana-1B,Kingery-RF,Hoskins-LF,Altherr-CF,Franco-3B,Florimon-SS,Alfaro-C,Velasquez-P
22,"23. Wed,4/25 vs ARI W (5-3)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Altherr-RF,Knapp-C,Franco-3B,Crawford-SS,Arrieta-P
23,"24. Thu,4/26 vs ARI L (2-8)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Altherr-RF,Knapp-C,Franco-3B,Lively-P,Crawford-SS
24,"25. Fri,4/27 vs ATL W (7-3)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Altherr-RF,Kingery-3B,Crawford-SS,Alfaro-C,Nola-P
25,"26. Sat,4/28 vs ATL L (1-4)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Williams-RF,Franco-3B,Crawford-SS,Alfaro-C,Pivetta-P
26,"27. Sun,4/29 vs ATL L (1-10)",Hernandez-2B,Santana-1B,Herrera-CF,Hoskins-LF,Altherr-RF,Knapp-C,Franco-3B,Kingery-SS,Velasquez-P
27,"28. Mon,4/30 at MIA L (4-8)",Hernandez-2B,Hoskins-LF,Herrera-CF,Altherr-RF,Santana-1B,Kingery-SS,Franco-3B,Alfaro-C,Arrieta-P
28,"29. Tue,5/1 at MIA L (1-2)#",Hernandez-2B,Hoskins-LF,Herrera-CF,Altherr-RF,Santana-1B,Franco-3B,Kingery-SS,Alfaro-C,Eflin-P
29,"30. Wed,5/2 at MIA W (6-0)",Hernandez-2B,Hoskins-LF,Herrera-CF,Altherr-RF,Santana-1B,Franco-3B,Florimon-SS,Alfaro-C,Nola-P
30,"31. Fri,5/4 at WSN L (3-7)#",Hernandez-2B,Hoskins-LF,Herrera-CF,Altherr-RF,Santana-1B,Franco-3B,Kingery-SS,Alfaro-C,Pivetta-P
31,"32. Sat,5/5 at WSN W (3-1)",Hernandez-2B,Hoskins-LF,Herrera-CF,Santana-1B,Franco-3B,Williams-RF,Kingery-SS,Velasquez-P,Knapp-C
32,"33. Sun,5/6 at WSN L (4-5)",Hernandez-2B,Hoskins-LF,Herrera-CF,Altherr-RF,Santana-1B,Franco-3B,Florimon-SS,Alfaro-C,Arrieta-P
33,"34. Mon,5/7 vs SFG W (11-0)",Hernandez-2B,Hoskins-LF,Herrera-CF,Franco-3B,Santana-1B,Williams-RF,Kingery-SS,Alfaro-C,Eflin-P
34,"35. Tue,5/8 vs SFG W (4-2)#",Hernandez-2B,Hoskins-LF,Herrera-CF,Altherr-RF,Santana-1B,Franco-3B,Kingery-SS,Alfaro-C,Nola-P
35,"36. Wed,5/9 vs SFG W (11-3)",Hernandez-2B,Altherr-RF,Herrera-CF,Santana-1B,Franco-3B,Williams-LF,Florimon-SS,Pivetta-P,Knapp-C
36,"37. Thu,5/10 vs SFG W (6-3)#",Hernandez-2B,Altherr-RF,Herrera-CF,Hoskins-LF,Santana-1B,Franco-3B,Kingery-SS,Alfaro-C,Velasquez-P
37,"38. Fri,5/11 vs NYM L (1-3)#",Hernandez-2B,Altherr-RF,Herrera-CF,Hoskins-LF,Santana-1B,Franco-3B,Kingery-SS,Alfaro-C,Arrieta-P
38,"39. Sun,5/13 vs NYM W (4-2)",Hernandez-2B,Altherr-RF,Herrera-CF,Hoskins-LF,Santana-1B,Franco-3B,Kingery-SS,Alfaro-C,Nola-P
39,"40. Wed,5/16 at BAL W (4-1)",Hernandez-2B,Hoskins-DH,Herrera-CF,Santana-1B,Williams-RF,Franco-3B,Florimon-SS,Valentin-LF,Knapp-C
40,"41. Thu,5/17 at STL W (6-2)",Hernandez-2B,Altherr-RF,Herrera-CF,Hoskins-LF,Santana-1B,Franco-3B,Kingery-SS,Alfaro-C,Velasquez-P
41,"42. Fri,5/18 at STL L (4-12)",Hernandez-2B,Hoskins-LF,Herrera-CF,Santana-1B,Alfaro-C,Williams-RF,Kingery-3B,Florimon-SS,Arrieta-P
