,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 at BOS L (3-5)",Frazier-LF,Marte-CF,McCutchen-RF,Polanco-DH,Freese-3B,Cervelli-C,Bell-1B,Harrison-2B,Mercer-SS
1,"2. Wed,4/5 at BOS L (0-3)#",Mercer-SS,Marte-CF,McCutchen-RF,Polanco-LF,Freese-3B,Cervelli-C,Harrison-2B,Bell-1B,Frazier-DH
2,"3. Fri,4/7 vs ATL W (5-4)",Marte-CF,Bell-1B,McCutchen-RF,Polanco-LF,Freese-3B,Cervelli-C,Harrison-2B,Mercer-SS,Nova-P
3,"4. Sat,4/8 vs ATL W (6-4)",Frazier-2B,Marte-CF,McCutchen-RF,Polanco-LF,Jaso-1B,Cervelli-C,Harrison-3B,Mercer-SS,Kuhl-P
4,"5. Sun,4/9 vs ATL W (6-5)",Frazier-3B,Marte-CF,McCutchen-RF,Polanco-LF,Bell-1B,Mercer-SS,Gosselin-2B,Stewart-C,Cole-P
5,"6. Mon,4/10 vs CIN L (1-7)#",Mercer-SS,Marte-CF,McCutchen-RF,Polanco-LF,Freese-3B,Cervelli-C,Bell-1B,Frazier-2B,Glasnow-P
6,"7. Tue,4/11 vs CIN L (2-6)",Marte-CF,Bell-1B,McCutchen-RF,Polanco-LF,Freese-3B,Cervelli-C,Harrison-2B,Mercer-SS,Taillon-P
7,"8. Wed,4/12 vs CIN L (2-9)#",Mercer-SS,Marte-CF,McCutchen-RF,Freese-3B,Cervelli-C,Bell-1B,Harrison-2B,Frazier-LF,Nova-P
8,"9. Thu,4/13 at BOS L (3-4)#",Mercer-SS,Marte-CF,McCutchen-RF,Polanco-LF,Freese-DH,Harrison-3B,Bell-1B,Gosselin-2B,Stewart-C
9,"10. Fri,4/14 at CHC W (4-2)",Harrison-2B,Marte-CF,McCutchen-RF,Polanco-LF,Freese-3B,Jaso-1B,Cervelli-C,Mercer-SS,Cole-P
10,"11. Sat,4/15 at CHC W (8-7)",Frazier-SS,Marte-CF,McCutchen-RF,Freese-3B,Bell-1B,Cervelli-C,Harrison-LF,Hanson-2B,Glasnow-P
11,"12. Sun,4/16 at CHC W (6-1)#",Mercer-SS,Marte-CF,McCutchen-RF,Freese-1B,Cervelli-C,Harrison-3B,Gosselin-2B,Frazier-LF,Taillon-P
12,"13. Mon,4/17 at STL L (1-2)",Frazier-LF,Marte-CF,McCutchen-RF,Freese-3B,Bell-1B,Cervelli-C,Harrison-2B,Mercer-SS,Nova-P
13,"14. Tue,4/18 at STL L (1-2)",Frazier-RF,Harrison-2B,McCutchen-CF,Polanco-LF,Freese-3B,Cervelli-C,Bell-1B,Mercer-SS,Kuhl-P
14,"15. Wed,4/19 at STL L (1-2)",Harrison-2B,Bell-1B,McCutchen-CF,Polanco-LF,Freese-3B,Jaso-RF,Mercer-SS,Stewart-C,Cole-P
15,"16. Fri,4/21 vs NYY W (6-3)#",Mercer-SS,Harrison-2B,McCutchen-CF,Polanco-LF,Freese-3B,Cervelli-C,Osuna-RF,Bell-1B,Glasnow-P
16,"17. Sat,4/22 vs NYY L (5-11)",Frazier-2B,Bell-1B,McCutchen-CF,Polanco-LF,Freese-3B,Jaso-RF,Cervelli-C,Mercer-SS,Taillon-P
17,"18. Sun,4/23 vs NYY W (2-1)#",Mercer-SS,Harrison-3B,McCutchen-CF,Polanco-LF,Freese-1B,Osuna-RF,Gosselin-2B,Stewart-C,Nova-P
18,"19. Mon,4/24 vs CHC L (3-14)#",Mercer-SS,Harrison-2B,McCutchen-CF,Polanco-LF,Freese-3B,Cervelli-C,Osuna-RF,Bell-1B,Kuhl-P
19,"20. Tue,4/25 vs CHC L (0-1)",Harrison-3B,Bell-1B,McCutchen-CF,Polanco-LF,Cervelli-C,Jaso-RF,Mercer-SS,Hanson-2B,Cole-P
20,"21. Wed,4/26 vs CHC W (6-5)#",Harrison-3B,Mercer-SS,McCutchen-CF,Polanco-LF,Cervelli-C,Osuna-RF,Bell-1B,Gosselin-2B,Glasnow-P
21,"22. Fri,4/28 at MIA W (12-2)#",Harrison-3B,Mercer-SS,McCutchen-CF,Polanco-LF,Cervelli-C,Osuna-RF,Bell-1B,Ngoepe-2B,Taillon-P
