,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 vs ATL W (10-4)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Nola-P
1,"2. Sat,3/30 vs ATL W (8-6)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Pivetta-P
2,"3. Sun,3/31 vs ATL W (5-1)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Arrieta-P
3,"4. Tue,4/2 at WSN W (8-2)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Eflin-P
4,"5. Wed,4/3 at WSN L (8-9)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Nola-P
5,"6. Fri,4/5 vs MIN W (10-4)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Pivetta-P
6,"7. Sat,4/6 vs MIN L (2-6)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Herrera-CF,Hernandez-2B,Knapp-C,Franco-3B,Arrieta-P
7,"8. Sun,4/7 vs MIN W (2-1)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Eflin-P
8,"9. Mon,4/8 vs WSN W (4-3)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Kingery-2B,Franco-3B,Velasquez-P
9,"10. Tue,4/9 vs WSN L (6-10)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Nola-P
10,"11. Wed,4/10 vs WSN L (1-15)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Pivetta-P
11,"12. Fri,4/12 at MIA W (9-1)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Arrieta-P
12,"13. Sat,4/13 at MIA L (3-10)#",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Eflin-P
13,"14. Sun,4/14 at MIA W (3-1)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Herrera-CF,Hernandez-2B,Kingery-3B,Knapp-C,Velasquez-P
14,"15. Mon,4/15 vs NYM L (6-7)",McCutchen-LF,Segura-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Nola-P
15,"16. Tue,4/16 vs NYM W (14-3)#",McCutchen-LF,Segura-SS,Harper-RF,Realmuto-C,Kingery-3B,Hernandez-2B,Altherr-CF,Franco-1B,Pivetta-P
16,"17. Wed,4/17 vs NYM W (3-2)",McCutchen-LF,Kingery-SS,Harper-RF,Hoskins-1B,Realmuto-C,Herrera-CF,Hernandez-2B,Franco-3B,Arrieta-P
17,"18. Thu,4/18 at COL L (2-6)#",McCutchen-LF,Kingery-SS,Harper-RF,Hoskins-1B,Realmuto-C,Quinn-CF,Hernandez-2B,Franco-3B,Eflin-P
18,"19. Fri,4/19 at COL L (3-4)",McCutchen-LF,Kingery-SS,Harper-RF,Hoskins-1B,Realmuto-C,Hernandez-2B,Quinn-CF,Franco-3B,Velasquez-P
