,0,1,2,3,4,5,6,7,8,9
0,"1. Fri,3/30 at DET W (13-10)",Frazier-DH,Harrison-2B,Polanco-RF,Bell-1B,Dickerson-LF,Marte-CF,Cervelli-C,Moran-3B,Mercer-SS
1,"2. Sun,4/1 at DET W (1-0)",Frazier-DH,Harrison-2B,Polanco-RF,Bell-1B,Dickerson-LF,Marte-CF,Cervelli-C,Moran-3B,Mercer-SS
2,"3. Sun,4/1 at DET W (8-6)#",Harrison-2B,Mercer-SS,Marte-CF,Bell-1B,Cervelli-DH,Freese-3B,Polanco-RF,Rodriguez-LF,Diaz-C
3,"4. Mon,4/2 vs MIN W (5-4)",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Mercer-SS,Taillon-P
4,"5. Wed,4/4 vs MIN L (3-7)",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Rodriguez-SS,Nova-P
5,"6. Thu,4/5 vs CIN W (5-2)",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Freese-3B,Cervelli-C,Mercer-SS,Brault-P
6,"7. Fri,4/6 vs CIN W (14-3)",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Mercer-SS,Williams-P
7,"8. Sat,4/7 vs CIN L (4-7)",Harrison-2B,Frazier-RF,Marte-CF,Bell-1B,Dickerson-LF,Diaz-C,Moran-3B,Mercer-SS,Kuhl-P
8,"9. Sun,4/8 vs CIN W (5-0)",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Mercer-SS,Taillon-P
9,"10. Tue,4/10 at CHC W (8-5)",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Mercer-SS,Nova-P
10,"11. Wed,4/11 at CHC L (5-13)#",Harrison-2B,Mercer-SS,Marte-CF,Bell-1B,Cervelli-C,Freese-3B,Polanco-RF,Rodriguez-LF,Brault-P
11,"12. Thu,4/12 at CHC W (6-1)",Frazier-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Mercer-SS,Williams-P
12,"13. Fri,4/13 at MIA L (2-7)#",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Freese-3B,Dickerson-LF,Mercer-SS,Diaz-C,Kuhl-P
13,"14. Sat,4/14 at MIA W (1-0)",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Mercer-SS,Taillon-P
14,"15. Sun,4/15 at MIA W (7-3)",Harrison-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Rodriguez-SS,Nova-P
15,"16. Mon,4/16 vs COL L (2-6)",Frazier-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Mercer-SS,Brault-P
16,"17. Tue,4/17 vs COL L (0-2)",Rodriguez-2B,Polanco-RF,Marte-CF,Bell-1B,Dickerson-LF,Cervelli-C,Moran-3B,Mercer-SS,Williams-P
