,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 vs CLE L (5-8)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Lucroy-C,Gallo-3B,Andrus-SS,Profar-LF
1,"2. Tue,4/4 vs CLE L (3-4)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Rua-LF,Gallo-3B,Andrus-SS,Chirinos-C
2,"3. Wed,4/5 vs CLE L (6-9)",DeShields-DH,Choo-RF,Mazara-LF,Napoli-1B,Odor-2B,Gomez-CF,Lucroy-C,Gallo-3B,Andrus-SS
3,"4. Fri,4/7 vs OAK W (10-5)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Lucroy-C,Gallo-3B,Andrus-SS,Profar-LF
4,"5. Sat,4/8 vs OAK L (1-6)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Lucroy-C,Gallo-3B,Rua-LF,Andrus-SS
5,"6. Sun,4/9 vs OAK W (8-1)#",Gomez-CF,Andrus-SS,Mazara-RF,Napoli-DH,Odor-2B,Rua-1B,Chirinos-C,Gallo-3B,DeShields-LF
6,"7. Tue,4/11 at LAA L (5-6)#",Gomez-CF,Andrus-SS,Mazara-RF,Napoli-1B,Odor-2B,Lucroy-C,Choo-DH,Rua-LF,Gallo-3B
7,"8. Wed,4/12 at LAA W (8-3)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Lucroy-C,Andrus-SS,Gallo-3B,Profar-LF
8,"9. Thu,4/13 at LAA W (8-3)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Andrus-SS,Gallo-3B,Chirinos-C,Profar-LF
9,"10. Fri,4/14 at SEA L (1-2)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Andrus-SS,Lucroy-C,Gallo-3B,Profar-LF
10,"11. Sat,4/15 at SEA L (0-5)#",Gomez-CF,Andrus-SS,Mazara-RF,Napoli-DH,Odor-2B,Lucroy-C,Rua-1B,Gallo-3B,DeShields-LF
11,"12. Sun,4/16 at SEA L (7-8)",Gomez-CF,Andrus-SS,Mazara-RF,Napoli-1B,Odor-2B,Lucroy-C,Choo-DH,Gallo-3B,Profar-LF
12,"13. Mon,4/17 at OAK W (7-0)",Gomez-CF,Andrus-SS,Mazara-RF,Napoli-1B,Odor-2B,Lucroy-C,Choo-DH,Gallo-3B,Profar-LF
13,"14. Tue,4/18 at OAK L (2-4)",Gomez-CF,Andrus-SS,Mazara-DH,Napoli-1B,Odor-2B,Lucroy-C,Choo-RF,Gallo-3B,Profar-LF
14,"15. Wed,4/19 at OAK L (1-9)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Andrus-SS,Gallo-3B,Chirinos-C,Profar-LF
15,"16. Thu,4/20 vs KCR W (1-0)#",Gomez-CF,Andrus-SS,Mazara-RF,Napoli-DH,Odor-2B,Rua-1B,Lucroy-C,Gallo-3B,DeShields-LF
16,"17. Fri,4/21 vs KCR W (6-2)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Chirinos-C,Profar-SS,Gallo-3B,DeShields-LF
17,"18. Sat,4/22 vs KCR W (2-1)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Andrus-SS,Lucroy-C,Gallo-3B,Profar-LF
18,"19. Sun,4/23 vs KCR W (5-2)",Gomez-CF,Choo-DH,Mazara-RF,Andrus-SS,Odor-2B,Rua-1B,Gallo-3B,Chirinos-C,Profar-LF
19,"20. Mon,4/24 vs MIN L (2-3)",Gomez-CF,Choo-DH,Mazara-RF,Napoli-1B,Odor-2B,Andrus-SS,Gallo-3B,Lucroy-C,Profar-LF
20,"21. Tue,4/25 vs MIN L (1-8)",Choo-DH,Gomez-CF,Mazara-RF,Napoli-1B,Odor-2B,Andrus-SS,Gallo-3B,Lucroy-C,Rua-LF
21,"22. Wed,4/26 vs MIN W (14-3)#",DeShields-LF,Andrus-SS,Gomez-CF,Napoli-DH,Odor-2B,Rua-1B,Gallo-3B,Chirinos-C,Choo-RF
22,"23. Fri,4/28 vs LAA L (3-6)#",DeShields-LF,Andrus-SS,Gomez-CF,Odor-2B,Napoli-DH,Mazara-RF,Rua-1B,Gallo-3B,Lucroy-C
23,"24. Sat,4/29 vs LAA W (6-3)",DeShields-LF,Mazara-RF,Gomez-CF,Odor-2B,Napoli-1B,Gallo-3B,Andrus-SS,Choo-DH,Lucroy-C
24,"25. Sun,4/30 vs LAA L (2-5)",DeShields-LF,Mazara-RF,Gomez-CF,Odor-2B,Andrus-SS,Gallo-3B,Choo-DH,Rua-1B,Chirinos-C
25,"26. Mon,5/1 at HOU L (2-6)",DeShields-LF,Choo-DH,Gomez-CF,Odor-2B,Napoli-1B,Gallo-3B,Andrus-SS,Mazara-RF,Lucroy-C
26,"27. Tue,5/2 at HOU L (7-8)",DeShields-LF,Choo-RF,Gomez-CF,Odor-2B,Napoli-1B,Gallo-3B,Andrus-SS,Mazara-DH,Lucroy-C
27,"28. Wed,5/3 at HOU L (1-10)",DeShields-CF,Odor-2B,Andrus-SS,Gallo-3B,Lucroy-C,Mazara-RF,Napoli-1B,Choo-DH,Rua-LF
28,"29. Thu,5/4 at HOU W (10-4)",DeShields-LF,Odor-2B,Mazara-RF,Andrus-SS,Gomez-CF,Gallo-3B,Napoli-1B,Choo-DH,Chirinos-C
29,"30. Fri,5/5 at SEA W (3-1)",DeShields-LF,Odor-2B,Mazara-RF,Andrus-SS,Gomez-CF,Gallo-3B,Napoli-1B,Choo-DH,Lucroy-C
