,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 vs HOU L (1-5)",Meadows-RF,Pham-LF,Choi-1B,Lowe-DH,Diaz-3B,Wendle-2B,Adames-SS,Kiermaier-CF,Zunino-C
1,"2. Fri,3/29 vs HOU W (4-2)",Meadows-DH,Pham-LF,Choi-1B,Diaz-3B,Garcia-RF,Robertson-2B,Kiermaier-CF,Adames-SS,Zunino-C
2,"3. Sat,3/30 vs HOU W (3-1)",Meadows-LF,Pham-DH,Choi-1B,Lowe-2B,Diaz-3B,Wendle-SS,Garcia-RF,Kiermaier-CF,Perez-C
3,"4. Sun,3/31 vs HOU W (3-1)#",Diaz-1B,Pham-LF,Robertson-3B,Garcia-RF,Meadows-DH,Zunino-C,Heredia-CF,Wendle-2B,Adames-SS
4,"5. Mon,4/1 vs COL W (7-1)",Meadows-RF,Pham-LF,Choi-1B,Lowe-2B,Diaz-DH,Kiermaier-CF,Robertson-3B,Perez-C,Adames-SS
5,"6. Tue,4/2 vs COL W (4-0)#",Diaz-1B,Pham-LF,Robertson-2B,Garcia-DH,Zunino-C,Heredia-RF,Adames-SS,Kiermaier-CF,Arroyo-3B
6,"7. Wed,4/3 vs COL L (0-1)",Meadows-DH,Pham-LF,Choi-1B,Lowe-2B,Garcia-RF,Robertson-3B,Kiermaier-CF,Zunino-C,Adames-SS
7,"8. Fri,4/5 at SFG W (5-2)",Meadows-RF,Pham-LF,Choi-1B,Lowe-2B,Diaz-3B,Kiermaier-CF,Adames-SS,Perez-C,Glasnow-P
8,"9. Sat,4/6 at SFG L (4-6)",Meadows-RF,Pham-LF,Choi-1B,Lowe-2B,Diaz-3B,Kiermaier-CF,Robertson-SS,Zunino-C,Stanek-P
9,"10. Sun,4/7 at SFG W (3-0)#",Diaz-1B,Pham-LF,Robertson-2B,Garcia-RF,Zunino-C,Kiermaier-CF,Adames-SS,Arroyo-3B,Chirinos-P
10,"11. Mon,4/8 at CHW W (5-1)#",Diaz-DH,Pham-LF,Robertson-3B,Garcia-RF,Heredia-CF,Choi-1B,Zunino-C,Lowe-2B,Adames-SS
