,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 at SEA L (4-12)#",Benintendi-LF,Betts-RF,Devers-3B,Martinez-DH,Bogaerts-SS,Moreland-1B,Nunez-2B,Bradley-CF,Vazquez-C
1,"2. Fri,3/29 at SEA W (7-6)#",Benintendi-LF,Betts-RF,Martinez-DH,Bogaerts-SS,Nunez-2B,Devers-3B,Travis-1B,Bradley-CF,Vazquez-C
2,"3. Sat,3/30 at SEA L (5-6)",Benintendi-LF,Betts-RF,Devers-3B,Martinez-DH,Bogaerts-SS,Moreland-1B,Swihart-C,Bradley-CF,Holt-2B
3,"4. Sun,3/31 at SEA L (8-10)#",Betts-RF,Devers-3B,Martinez-LF,Bogaerts-SS,Travis-DH,Moreland-1B,Nunez-2B,Vazquez-C,Bradley-CF
4,"5. Mon,4/1 at OAK L (0-7)",Betts-RF,Benintendi-LF,Devers-3B,Martinez-DH,Bogaerts-SS,Moreland-1B,Nunez-2B,Bradley-CF,Vazquez-C
5,"6. Tue,4/2 at OAK L (0-1)",Betts-RF,Benintendi-LF,Devers-3B,Martinez-DH,Bogaerts-SS,Moreland-1B,Holt-2B,Vazquez-C,Bradley-CF
6,"7. Wed,4/3 at OAK W (6-3)",Betts-RF,Benintendi-LF,Devers-3B,Martinez-DH,Moreland-1B,Nunez-2B,Holt-SS,Swihart-C,Bradley-CF
7,"8. Thu,4/4 at OAK L (3-7)#",Betts-RF,Benintendi-LF,Pearce-1B,Martinez-DH,Bogaerts-SS,Nunez-3B,Holt-2B,Vazquez-C,Bradley-CF
8,"9. Fri,4/5 at ARI L (8-15)",Benintendi-LF,Betts-CF,Moreland-1B,Martinez-RF,Bogaerts-SS,Devers-3B,Swihart-C,Holt-2B,Porcello-P
9,"10. Sat,4/6 at ARI L (4-5)",Benintendi-LF,Betts-RF,Pearce-1B,Bogaerts-SS,Devers-3B,Nunez-2B,Bradley-CF,Vazquez-C,Price-P
10,"11. Sun,4/7 at ARI W (1-0)",Benintendi-LF,Bogaerts-SS,Moreland-1B,Martinez-RF,Devers-3B,Swihart-C,Nunez-2B,Bradley-CF,Velazquez-P
11,"12. Tue,4/9 vs TOR L (5-7)",Benintendi-LF,Betts-RF,Moreland-1B,Martinez-DH,Bogaerts-SS,Devers-3B,Pedroia-2B,Bradley-CF,Vazquez-C
12,"13. Thu,4/11 vs TOR W (7-6)",Benintendi-LF,Betts-RF,Moreland-1B,Martinez-DH,Bogaerts-SS,Devers-3B,Pedroia-2B,Bradley-CF,Swihart-C
13,"14. Fri,4/12 vs BAL W (6-4)",Benintendi-LF,Betts-RF,Moreland-1B,Martinez-DH,Bogaerts-SS,Devers-3B,Nunez-2B,Bradley-CF,Vazquez-C
14,"15. Sat,4/13 vs BAL L (5-9)",Benintendi-LF,Betts-CF,Moreland-DH,Martinez-RF,Bogaerts-SS,Pearce-1B,Devers-3B,Pedroia-2B,Vazquez-C
15,"16. Sun,4/14 vs BAL W (4-0)#",Benintendi-LF,Betts-CF,Pearce-1B,Martinez-RF,Bogaerts-SS,Pedroia-DH,Nunez-2B,Devers-3B,Vazquez-C
16,"17. Mon,4/15 vs BAL L (1-8)",Pedroia-DH,Betts-CF,Moreland-1B,Martinez-RF,Bogaerts-SS,Devers-3B,Pearce-LF,Swihart-C,Vazquez-2B
17,"18. Tue,4/16 at NYY L (0-8)#",Betts-RF,Bogaerts-SS,Martinez-LF,Pearce-DH,Moreland-1B,Nunez-2B,Devers-3B,Leon-C,Bradley-CF
18,"19. Wed,4/17 at NYY L (3-5)#",Betts-RF,Bogaerts-SS,Martinez-LF,Pearce-1B,Moreland-DH,Pedroia-2B,Devers-3B,Vazquez-C,Bradley-CF
19,"20. Fri,4/19 at TBR W (6-4)",Benintendi-LF,Betts-RF,Moreland-1B,Martinez-DH,Bogaerts-SS,Devers-3B,Vazquez-C,Bradley-CF,Lin-2B
20,"21. Sat,4/20 at TBR W (6-5)",Benintendi-LF,Betts-RF,Moreland-1B,Martinez-DH,Bogaerts-SS,Devers-3B,Bradley-CF,Lin-2B,Leon-C
21,"22. Sun,4/21 at TBR W (4-3)",Benintendi-LF,Betts-RF,Moreland-1B,Martinez-DH,Bogaerts-SS,Devers-3B,Chavis-2B,Bradley-CF,Vazquez-C
22,"23. Tue,4/23 vs DET L (4-7)#",Benintendi-LF,Betts-CF,Martinez-RF,Bogaerts-SS,Pearce-1B,Chavis-3B,Vazquez-DH,Lin-2B,Leon-C
