,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 vs PIT W (5-3)",Winker-LF,Votto-1B,Puig-RF,Suarez-3B,Schebler-CF,Peraza-2B,Barnhart-C,Iglesias-SS,Castillo-P
1,"2. Sun,3/31 vs PIT L (0-5)",Schebler-CF,Votto-1B,Puig-RF,Suarez-3B,Kemp-LF,Peraza-2B,Barnhart-C,Iglesias-SS,Gray-P
2,"3. Mon,4/1 vs MIL L (3-4)",Schebler-CF,Votto-1B,Puig-RF,Suarez-3B,Kemp-LF,Peraza-2B,Barnhart-C,Iglesias-SS,Roark-P
3,"4. Tue,4/2 vs MIL L (3-4)",Winker-LF,Votto-1B,Puig-RF,Suarez-3B,Schebler-CF,Dietrich-2B,Barnhart-C,Peraza-SS,DeSclafani-P
4,"5. Wed,4/3 vs MIL L (0-1)",Winker-RF,Votto-1B,Kemp-LF,Suarez-3B,Schebler-CF,Dietrich-2B,Casali-C,Iglesias-SS,Castillo-P
5,"6. Thu,4/4 at PIT L (0-2)",Winker-LF,Votto-1B,Puig-RF,Suarez-3B,Schebler-CF,Peraza-2B,Barnhart-C,Iglesias-SS,Mahle-P
6,"7. Fri,4/5 at PIT L (0-2)",Winker-CF,Votto-1B,Puig-RF,Suarez-3B,Kemp-LF,Peraza-2B,Barnhart-C,Iglesias-SS,Gray-P
7,"8. Sat,4/6 at PIT L (5-6)",Schebler-CF,Votto-1B,Puig-RF,Kemp-LF,Dietrich-2B,Peraza-SS,Casali-C,Farmer-3B,Roark-P
8,"9. Sun,4/7 at PIT L (5-7)",Winker-LF,Puig-RF,Schebler-CF,Suarez-3B,Dietrich-1B,Peraza-2B,Barnhart-C,Iglesias-SS,DeSclafani-P
9,"10. Tue,4/9 vs MIA W (14-0)",Winker-RF,Votto-1B,Kemp-LF,Suarez-3B,Schebler-CF,Dietrich-2B,Peraza-SS,Barnhart-C,Castillo-P
10,"11. Wed,4/10 vs MIA W (2-1)",Winker-RF,Votto-1B,Kemp-LF,Suarez-3B,Schebler-CF,Dietrich-2B,Barnhart-C,Iglesias-SS,Mahle-P
11,"12. Thu,4/11 vs MIA W (5-0)",Winker-CF,Votto-1B,Puig-RF,Suarez-3B,Kemp-LF,Peraza-2B,Casali-C,Iglesias-SS,Gray-P
12,"13. Sat,4/13 vs STL W (5-2)",Winker-LF,Votto-1B,Puig-RF,Suarez-3B,Schebler-CF,Dietrich-2B,Barnhart-C,Iglesias-SS,Roark-P
13,"14. Sun,4/14 vs STL L (5-9)",Winker-LF,Votto-1B,Puig-RF,Suarez-3B,Schebler-CF,Peraza-2B,Barnhart-C,Iglesias-SS,DeSclafani-P
14,"15. Mon,4/15 at LAD L (3-4)#",Casali-C,Suarez-3B,Puig-RF,Kemp-LF,Peraza-2B,Iglesias-SS,Schebler-CF,Farmer-1B,Castillo-P
15,"16. Tue,4/16 at LAD L (1-6)",Votto-1B,Suarez-3B,Winker-CF,Puig-RF,Kemp-LF,Dietrich-2B,Peraza-SS,Barnhart-C,Mahle-P
16,"17. Wed,4/17 at LAD L (2-3)",Votto-1B,Puig-RF,Winker-CF,Kemp-LF,Dietrich-2B,Casali-C,Iglesias-SS,Farmer-3B,Gray-P
17,"18. Thu,4/18 at SDP W (4-1)",Votto-1B,Suarez-3B,Winker-RF,Kemp-LF,Dietrich-2B,Schebler-CF,Iglesias-SS,Roark-P,Barnhart-C
18,"19. Fri,4/19 at SDP W (3-2)#",Votto-1B,Suarez-3B,Puig-RF,Kemp-LF,Casali-C,Winker-CF,Iglesias-SS,DeSclafani-P,Peraza-2B
19,"20. Sat,4/20 at SDP W (4-2)#",Peraza-2B,Suarez-3B,Puig-RF,Kemp-LF,Iglesias-SS,Schebler-CF,Farmer-1B,Barnhart-C,Castillo-P
20,"21. Sun,4/21 at SDP L (3-4)#",Peraza-2B,Suarez-3B,Puig-RF,Kemp-LF,Casali-C,Iglesias-SS,Winker-CF,Farmer-1B,Mahle-P
21,"22. Tue,4/23 vs ATL W (7-6)",Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Schebler-CF,Barnhart-C,Iglesias-SS,Gray-P,Peraza-2B
22,"23. Wed,4/24 vs ATL L (1-3)",Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Barnhart-C,Ervin-CF,Roark-P,Iglesias-SS
23,"24. Thu,4/25 vs ATL W (4-2)",Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Barnhart-C,Schebler-CF,Castillo-P,Iglesias-SS
24,"25. Fri,4/26 at STL W (12-1)",Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Schebler-CF,Iglesias-SS,Casali-C,DeSclafani-P,Peraza-2B
25,"26. Sat,4/27 at STL L (3-6)",Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Barnhart-C,Schebler-CF,Mahle-P,Peraza-SS
26,"27. Sun,4/28 at STL L (2-5)",Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Barnhart-C,Iglesias-SS,Schebler-CF,Gray-P,Peraza-2B
27,"28. Mon,4/29 at NYM W (5-4)",Peraza-2B,Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Schebler-CF,Iglesias-SS,Barnhart-C,Roark-P
28,"29. Tue,4/30 at NYM L (3-4)#",Peraza-2B,Votto-1B,Suarez-3B,Puig-RF,Casali-C,Ervin-CF,Winker-LF,Iglesias-SS,Castillo-P
29,"30. Wed,5/1 at NYM W (1-0)",Votto-1B,Suarez-3B,Winker-CF,Puig-RF,Dietrich-LF,Barnhart-C,Iglesias-SS,DeSclafani-P,Peraza-2B
30,"31. Thu,5/2 at NYM L (0-1)",Winker-LF,Suarez-3B,Dietrich-1B,Puig-RF,Peraza-2B,Iglesias-SS,Schebler-CF,Casali-C,Mahle-P
31,"32. Fri,5/3 vs SFG L (11-12)",Votto-1B,Senzel-CF,Winker-LF,Puig-RF,Dietrich-2B,Iglesias-SS,Farmer-3B,Gray-P,Barnhart-C
32,"33. Sat,5/4 vs SFG W (9-2)",Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Senzel-CF,Peraza-SS,Roark-P,Barnhart-C
33,"34. Sun,5/5 vs SFG L (5-6)",Votto-1B,Suarez-3B,Winker-RF,Dietrich-LF,Senzel-CF,Iglesias-SS,Peraza-2B,Castillo-P,Barnhart-C
34,"35. Mon,5/6 vs SFG W (12-4)#",Senzel-CF,Votto-1B,Suarez-3B,Puig-RF,Farmer-2B,Iglesias-SS,Casali-C,Peraza-LF,DeSclafani-P
35,"36. Tue,5/7 at OAK L (0-2)",Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-DH,Senzel-CF,Iglesias-SS,Barnhart-C,Farmer-2B
36,"37. Wed,5/8 at OAK L (4-5)#",Senzel-CF,Votto-1B,Suarez-3B,Puig-RF,Iglesias-SS,Farmer-2B,Casali-C,Peraza-LF,VanMeter-DH
37,"38. Thu,5/9 at OAK W (3-0)",Senzel-CF,Suarez-3B,Dietrich-DH,Puig-RF,VanMeter-LF,Iglesias-SS,Barnhart-C,Farmer-1B,Peraza-2B
38,"39. Fri,5/10 at SFG W (7-0)",Senzel-CF,Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Iglesias-SS,Castillo-P,Barnhart-C
39,"40. Sat,5/11 at SFG W (5-4)",Senzel-CF,Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Iglesias-SS,DeSclafani-P,Barnhart-C
40,"41. Sun,5/12 at SFG L (5-6)#",Senzel-CF,Votto-1B,Suarez-3B,Puig-RF,Iglesias-SS,Farmer-2B,Casali-C,Mahle-P,Peraza-LF
41,"42. Tue,5/14 vs CHC L (1-3)",Senzel-CF,Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Iglesias-SS,Roark-P,Barnhart-C
42,"43. Wed,5/15 vs CHC W (6-5)",Senzel-CF,Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Iglesias-SS,Gray-P,Barnhart-C
43,"44. Thu,5/16 vs CHC W (4-2)#",Senzel-CF,Votto-1B,Suarez-3B,Puig-RF,Iglesias-SS,Winker-LF,Casali-C,Peraza-2B,Castillo-P
44,"45. Fri,5/17 vs LAD L (0-6)#",Senzel-CF,Votto-1B,Suarez-3B,Puig-RF,Iglesias-SS,Farmer-2B,Casali-C,Peraza-LF,DeSclafani-P
45,"46. Sat,5/18 vs LAD W (4-0)",Senzel-CF,Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Iglesias-SS,Mahle-P,Barnhart-C
46,"47. Sun,5/19 vs LAD L (3-8)#",Senzel-CF,Votto-1B,Suarez-3B,Puig-RF,Iglesias-SS,Winker-LF,Peraza-2B,Casali-C,Roark-P
47,"48. Tue,5/21 at MIL W (3-0)#",Senzel-CF,Votto-1B,Suarez-3B,Ervin-RF,Iglesias-SS,Farmer-2B,Casali-C,Peraza-LF,Gray-P
48,"49. Wed,5/22 at MIL L (9-11)",Senzel-CF,Votto-1B,Suarez-3B,Winker-RF,Dietrich-2B,Iglesias-SS,VanMeter-LF,Castillo-P,Barnhart-C
49,"50. Fri,5/24 at CHC W (6-5)",Senzel-CF,Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Iglesias-SS,Barnhart-C,DeSclafani-P
50,"51. Sat,5/25 at CHC L (6-8)",Senzel-CF,Votto-1B,Suarez-3B,Winker-LF,Puig-RF,Dietrich-2B,Iglesias-SS,Barnhart-C,Mahle-P
51,"52. Sun,5/26 at CHC W (10-2)#",Senzel-CF,Votto-1B,Suarez-3B,Puig-RF,Iglesias-SS,Winker-LF,Peraza-2B,Casali-C,Roark-P
