,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 at MIN L (1-7)",Gordon-LF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-DH,Orlando-RF,Escobar-SS,Mondesi-2B
1,"2. Wed,4/5 at MIN L (1-9)#",Gordon-LF,Moustakas-DH,Cain-CF,Hosmer-1B,Perez-C,Orlando-RF,Cuthbert-3B,Escobar-SS,Mondesi-2B
2,"3. Thu,4/6 at MIN L (3-5)",Gordon-LF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-DH,Orlando-RF,Escobar-SS,Mondesi-2B
3,"4. Fri,4/7 at HOU W (5-1)",Gordon-LF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-DH,Orlando-RF,Escobar-SS,Mondesi-2B
4,"5. Sat,4/8 at HOU W (7-3)#",Gordon-LF,Cain-CF,Hosmer-1B,Perez-DH,Cuthbert-3B,Orlando-RF,Escobar-SS,Colon-2B,Butera-C
5,"6. Sun,4/9 at HOU L (4-5)",Gordon-LF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-DH,Orlando-RF,Escobar-SS,Mondesi-2B
6,"7. Mon,4/10 vs OAK L (0-2)",Gordon-LF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-DH,Orlando-RF,Escobar-SS,Mondesi-2B
7,"8. Wed,4/12 vs OAK L (3-8)",Gordon-RF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-LF,Cuthbert-DH,Escobar-SS,Mondesi-2B
8,"9. Thu,4/13 vs OAK W (3-1)",Gordon-LF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-DH,Orlando-RF,Escobar-SS,Mondesi-2B
9,"10. Fri,4/14 vs LAA W (7-1)",Gordon-LF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-DH,Orlando-RF,Escobar-SS,Mondesi-2B
10,"11. Sat,4/15 vs LAA W (3-2)",Gordon-LF,Moustakas-3B,Cain-CF,Hosmer-1B,Perez-C,Moss-DH,Orlando-RF,Escobar-SS,Mondesi-2B
11,"12. Sun,4/16 vs LAA W (1-0)#",Gordon-LF,Cain-CF,Hosmer-1B,Perez-DH,Cuthbert-3B,Orlando-RF,Escobar-SS,Colon-2B,Butera-C
