,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 vs SFG W (2-0)#",Kinsler-2B,Myers-LF,Machado-3B,Reyes-RF,Hosmer-1B,Tatis-SS,Margot-CF,Hedges-C,Lauer-P
1,"2. Fri,3/29 vs SFG W (4-1)#",Kinsler-2B,Myers-LF,Machado-3B,Reyes-RF,Hosmer-1B,Tatis-SS,Margot-CF,Hedges-C,Lucchesi-P
2,"3. Sat,3/30 vs SFG L (2-3)",Kinsler-2B,Hosmer-1B,Machado-3B,Myers-LF,Renfroe-RF,Tatis-SS,Cordero-CF,Mejia-C,Margevicius-P
3,"4. Sun,3/31 vs SFG W (3-1)",Garcia-2B,Hosmer-1B,Machado-3B,Reyes-RF,Myers-LF,Tatis-SS,Margot-CF,Hedges-C,Paddack-P
4,"5. Mon,4/1 vs ARI L (3-10)",Kinsler-2B,Hosmer-1B,Machado-3B,Reyes-RF,Myers-LF,Tatis-SS,Margot-CF,Hedges-C,Strahm-P
5,"6. Tue,4/2 vs ARI L (5-8)",Kinsler-2B,Hosmer-1B,Machado-3B,Renfroe-LF,Cordero-RF,Tatis-SS,Mejia-C,Margot-CF,Lauer-P
6,"7. Wed,4/3 vs ARI W (4-1)#",Kinsler-2B,Myers-CF,Machado-3B,Reyes-RF,Renfroe-LF,Hosmer-1B,Tatis-SS,Hedges-C,Lucchesi-P
7,"8. Fri,4/5 at STL W (5-3)",Kinsler-2B,Hosmer-1B,Machado-3B,Reyes-RF,Myers-LF,Cordero-CF,Tatis-SS,Mejia-C,Margevicius-P
8,"9. Sat,4/6 at STL W (6-4)",Kinsler-2B,Hosmer-1B,Machado-3B,Renfroe-RF,Cordero-CF,Myers-LF,Tatis-SS,Hedges-C,Paddack-P
9,"10. Sun,4/7 at STL L (1-4)",Kinsler-2B,Hosmer-1B,Machado-3B,Renfroe-LF,Reyes-RF,Tatis-SS,Hedges-C,Margot-CF,Strahm-P
10,"11. Mon,4/8 at SFG W (6-5)#",Urias-2B,Myers-LF,Machado-3B,Renfroe-RF,Hosmer-1B,Tatis-SS,Mejia-C,Margot-CF,Lauer-P
11,"12. Tue,4/9 at SFG L (2-7)#",Kinsler-2B,Myers-1B,Machado-3B,Reyes-RF,Renfroe-LF,Tatis-SS,Hedges-C,Margot-CF,Lucchesi-P
12,"13. Wed,4/10 at SFG W (3-1)",Margot-CF,Hosmer-1B,Machado-3B,Renfroe-RF,Myers-LF,Mejia-C,Kinsler-2B,Urias-SS,Margevicius-P
13,"14. Thu,4/11 at ARI W (7-6)",Myers-CF,Hosmer-1B,Machado-3B,Renfroe-LF,Reyes-RF,Tatis-SS,Hedges-C,Urias-2B,Avila-P
14,"15. Fri,4/12 at ARI W (2-1)",Margot-CF,Hosmer-1B,Machado-3B,Reyes-RF,Myers-LF,Tatis-SS,Hedges-C,Urias-2B,Paddack-P
15,"16. Sat,4/13 at ARI W (5-4)",Margot-CF,Reyes-RF,Machado-3B,Renfroe-LF,Hosmer-1B,Tatis-SS,Kinsler-2B,Hedges-C,Strahm-P
16,"17. Sun,4/14 at ARI L (4-8)",Margot-CF,Reyes-RF,Hosmer-1B,Renfroe-LF,Tatis-SS,Mejia-C,Kinsler-2B,Urias-3B,Lauer-P
17,"18. Mon,4/15 vs COL L (2-5)",Margot-CF,Reyes-RF,Machado-3B,Myers-LF,Hosmer-1B,Tatis-SS,Hedges-C,Urias-2B,Lucchesi-P
