,0,1,2,3,4,5,6,7,8,9
0,"1. Wed,3/20 at OAK W (9-7)",Gordon-2B,Haniger-CF,Bruce-1B,Encarnacion-DH,Santana-LF,Narvaez-C,Healy-3B,Beckham-SS,Suzuki-RF
1,"2. Thu,3/21 at OAK W (5-4)",Gordon-2B,Haniger-CF,Bruce-1B,Encarnacion-DH,Santana-LF,Narvaez-C,Beckham-SS,Healy-3B,Suzuki-RF
2,"3. Thu,3/28 vs BOS W (12-4)#",Haniger-RF,Santana-LF,Encarnacion-DH,Bruce-1B,Healy-3B,Beckham-SS,Smith-CF,Freitas-C,Gordon-2B
3,"4. Fri,3/29 vs BOS L (6-7)",Smith-CF,Haniger-RF,Santana-LF,Bruce-1B,Encarnacion-DH,Beckham-SS,Narvaez-C,Healy-3B,Gordon-2B
4,"5. Sat,3/30 vs BOS W (6-5)#",Haniger-CF,Santana-LF,Encarnacion-DH,Bruce-RF,Beckham-SS,Healy-1B,Murphy-C,Moore-3B,Gordon-2B
5,"6. Sun,3/31 vs BOS W (10-8)",Smith-CF,Haniger-RF,Santana-LF,Bruce-1B,Narvaez-C,Beckham-SS,Healy-3B,Vogelbach-DH,Gordon-2B
6,"7. Mon,4/1 vs LAA W (6-3)",Smith-CF,Haniger-RF,Santana-LF,Bruce-1B,Encarnacion-DH,Narvaez-C,Beckham-SS,Healy-3B,Gordon-2B
7,"8. Tue,4/2 vs LAA W (2-1)",Smith-CF,Haniger-RF,Santana-LF,Bruce-1B,Narvaez-C,Beckham-SS,Healy-3B,Vogelbach-DH,Gordon-2B
8,"9. Fri,4/5 at CHW L (8-10)",Smith-CF,Haniger-RF,Santana-LF,Bruce-1B,Beckham-SS,Narvaez-C,Healy-3B,Vogelbach-DH,Gordon-2B
9,"10. Sat,4/6 at CHW W (9-2)",Smith-CF,Haniger-RF,Santana-LF,Bruce-1B,Encarnacion-DH,Beckham-SS,Healy-3B,Murphy-C,Moore-2B
10,"11. Sun,4/7 at CHW W (12-5)",Smith-CF,Haniger-RF,Santana-LF,Encarnacion-1B,Narvaez-C,Beckham-SS,Vogelbach-DH,Healy-3B,Gordon-2B
11,"12. Mon,4/8 at KCR W (13-5)",Haniger-CF,Santana-LF,Bruce-RF,Encarnacion-1B,Vogelbach-DH,Healy-3B,Narvaez-C,Moore-SS,Gordon-2B
12,"13. Tue,4/9 at KCR W (6-3)",Smith-CF,Santana-LF,Bruce-RF,Encarnacion-1B,Vogelbach-DH,Healy-3B,Narvaez-C,Moore-SS,Gordon-2B
13,"14. Wed,4/10 at KCR W (6-5)",Smith-CF,Haniger-RF,Bruce-LF,Encarnacion-1B,Vogelbach-DH,Beckham-SS,Narvaez-C,Healy-3B,Gordon-2B
14,"15. Thu,4/11 at KCR W (7-6)",Smith-CF,Haniger-RF,Santana-LF,Encarnacion-1B,Vogelbach-DH,Beckham-SS,Healy-3B,Murphy-C,Gordon-2B
15,"16. Fri,4/12 vs HOU L (6-10)#",Smith-CF,Haniger-RF,Santana-LF,Encarnacion-1B,Bruce-DH,Beckham-SS,Healy-3B,Murphy-C,Gordon-2B
16,"17. Sat,4/13 vs HOU L (1-3)",Smith-CF,Haniger-RF,Santana-LF,Bruce-1B,Vogelbach-DH,Beckham-SS,Narvaez-C,Healy-3B,Gordon-2B
17,"18. Sun,4/14 vs HOU L (2-3)",Haniger-CF,Santana-LF,Vogelbach-DH,Encarnacion-1B,Bruce-RF,Beckham-SS,Narvaez-C,Gordon-2B,Moore-3B
18,"19. Mon,4/15 vs CLE L (4-6)",Smith-CF,Haniger-RF,Santana-LF,Vogelbach-DH,Encarnacion-1B,Narvaez-C,Beckham-SS,Healy-3B,Gordon-2B
19,"20. Tue,4/16 vs CLE L (2-4)",Smith-CF,Haniger-RF,Santana-LF,Encarnacion-DH,Bruce-1B,Beckham-SS,Healy-3B,Murphy-C,Gordon-2B
20,"21. Wed,4/17 vs CLE L (0-1)",Smith-CF,Santana-LF,Bruce-RF,Encarnacion-1B,Vogelbach-DH,Beckham-SS,Narvaez-C,Healy-3B,Moore-2B
21,"22. Thu,4/18 at LAA W (11-10)",Smith-CF,Haniger-RF,Santana-LF,Encarnacion-1B,Vogelbach-DH,Beckham-SS,Narvaez-C,Healy-3B,Gordon-2B
22,"23. Fri,4/19 at LAA W (5-3)",Smith-CF,Haniger-RF,Encarnacion-1B,Vogelbach-DH,Bruce-LF,Beckham-SS,Narvaez-C,Healy-3B,Gordon-2B
23,"24. Sat,4/20 at LAA W (6-5)",Haniger-CF,Santana-LF,Encarnacion-1B,Vogelbach-DH,Bruce-RF,Beckham-SS,Narvaez-C,Healy-3B,Gordon-2B
24,"25. Sun,4/21 at LAA L (6-8)",Haniger-RF,Santana-LF,Encarnacion-1B,Vogelbach-DH,Healy-3B,Murphy-C,Gordon-2B,Moore-SS,Smith-CF
25,"26. Tue,4/23 at SDP L (3-6)#",Haniger-RF,Santana-LF,Encarnacion-1B,Beckham-SS,Healy-3B,Gordon-2B,Murphy-C,Smith-CF,Swanson-P
26,"27. Wed,4/24 at SDP L (0-1)",Haniger-RF,Vogelbach-1B,Santana-LF,Narvaez-C,Beckham-SS,Gordon-2B,Healy-3B,Smith-CF,Hernandez-P
27,"28. Thu,4/25 vs TEX W (14-2)#",Haniger-CF,Santana-RF,Encarnacion-1B,Beckham-SS,Vogelbach-DH,Healy-3B,Narvaez-C,Moore-LF,Gordon-2B
28,"29. Fri,4/26 vs TEX W (5-4)",Haniger-CF,Santana-LF,Vogelbach-DH,Encarnacion-1B,Bruce-RF,Beckham-SS,Narvaez-C,Healy-3B,Gordon-2B
29,"30. Sat,4/27 vs TEX L (1-15)#",Haniger-RF,Santana-LF,Encarnacion-1B,Beckham-SS,Bruce-DH,Healy-3B,Murphy-C,Moore-2B,Smith-CF
30,"31. Sun,4/28 vs TEX L (1-14)",Gordon-2B,Santana-LF,Vogelbach-DH,Encarnacion-1B,Bruce-RF,Beckham-SS,Narvaez-C,Healy-3B,Smith-CF
31,"32. Tue,4/30 vs CHC L (5-6)#",Haniger-RF,Santana-LF,Encarnacion-1B,Beckham-SS,Bruce-DH,Healy-3B,Narvaez-C,Bishop-CF,Gordon-2B
32,"33. Wed,5/1 vs CHC L (0-11)#",Haniger-RF,Santana-LF,Encarnacion-1B,Beckham-SS,Vogelbach-DH,Healy-3B,Murphy-C,Bishop-CF,Gordon-2B
33,"34. Fri,5/3 at CLE L (1-2)",Gordon-2B,Haniger-CF,Vogelbach-DH,Encarnacion-1B,Santana-LF,Bruce-RF,Narvaez-C,Beckham-SS,Healy-3B
34,"35. Sat,5/4 at CLE L (4-5)",Gordon-2B,Haniger-CF,Vogelbach-DH,Encarnacion-1B,Bruce-RF,Santana-LF,Narvaez-C,Beckham-SS,Moore-3B
35,"36. Sun,5/5 at CLE W (10-0)",Gordon-2B,Haniger-RF,Vogelbach-1B,Encarnacion-DH,Bruce-LF,Beckham-SS,Narvaez-C,Moore-3B,Bishop-CF
36,"37. Mon,5/6 at NYY L (3-7)#",Haniger-RF,Beckham-SS,Encarnacion-DH,Santana-LF,Bruce-1B,Healy-3B,Narvaez-C,Bishop-CF,Gordon-2B
37,"38. Tue,5/7 at NYY L (4-5)",Gordon-2B,Haniger-CF,Vogelbach-DH,Encarnacion-1B,Santana-LF,Bruce-RF,Beckham-SS,Healy-3B,Murphy-C
38,"39. Wed,5/8 at NYY W (10-1)",Gordon-2B,Haniger-CF,Vogelbach-DH,Encarnacion-1B,Santana-LF,Bruce-RF,Narvaez-C,Healy-3B,Moore-SS
39,"40. Thu,5/9 at NYY L (1-3)#",Gordon-2B,Haniger-RF,Encarnacion-1B,Santana-LF,Healy-3B,Beckham-SS,Vogelbach-DH,Murphy-C,Bishop-CF
40,"41. Fri,5/10 at BOS L (1-14)#",Haniger-RF,Santana-LF,Encarnacion-DH,Healy-3B,Bruce-1B,Beckham-2B,Crawford-SS,Murphy-C,Bishop-CF
41,"42. Sat,5/11 at BOS L (5-9)",Haniger-CF,Crawford-SS,Encarnacion-1B,Vogelbach-DH,Santana-LF,Bruce-RF,Narvaez-C,Healy-3B,Long-2B
42,"43. Sun,5/12 at BOS L (2-11)",Haniger-CF,Crawford-SS,Encarnacion-DH,Vogelbach-1B,Santana-LF,Narvaez-C,Bruce-RF,Beckham-3B,Long-2B
43,"44. Mon,5/13 vs OAK W (6-5)",Haniger-CF,Crawford-SS,Encarnacion-1B,Vogelbach-DH,Santana-LF,Narvaez-C,Bruce-RF,Healy-3B,Long-2B
44,"45. Tue,5/14 vs OAK W (4-3)#",Haniger-CF,Santana-LF,Encarnacion-1B,Vogelbach-DH,Healy-3B,Bruce-RF,Beckham-2B,Murphy-C,Crawford-SS
45,"46. Thu,5/16 vs MIN L (6-11)",Gordon-2B,Haniger-RF,Encarnacion-1B,Vogelbach-DH,Santana-LF,Narvaez-C,Healy-3B,Crawford-SS,Smith-CF
46,"47. Fri,5/17 vs MIN L (1-7)#",Gordon-2B,Haniger-RF,Encarnacion-DH,Santana-LF,Healy-1B,Beckham-3B,Crawford-SS,Murphy-C,Smith-CF
47,"48. Sat,5/18 vs MIN L (4-18)",Gordon-2B,Haniger-RF,Vogelbach-DH,Encarnacion-1B,Narvaez-C,Healy-3B,Bruce-LF,Crawford-SS,Smith-CF
48,"49. Sun,5/19 vs MIN W (7-4)",Gordon-2B,Haniger-RF,Vogelbach-DH,Encarnacion-1B,Santana-LF,Narvaez-C,Healy-3B,Crawford-SS,Smith-CF
49,"50. Mon,5/20 at TEX L (9-10)#",Gordon-2B,Haniger-RF,Encarnacion-DH,Santana-LF,Healy-1B,Beckham-3B,Crawford-SS,Murphy-C,Smith-CF
50,"51. Tue,5/21 at TEX L (3-5)",Haniger-CF,Santana-LF,Vogelbach-DH,Encarnacion-1B,Narvaez-C,Bruce-RF,Beckham-3B,Crawford-SS,Long-2B
51,"52. Wed,5/22 at TEX L (1-2)",Haniger-RF,Vogelbach-DH,Encarnacion-1B,Narvaez-C,Bruce-LF,Crawford-SS,Moore-3B,Long-2B,Smith-CF
52,"53. Fri,5/24 at OAK L (2-6)",Haniger-RF,Vogelbach-DH,Encarnacion-1B,Narvaez-C,Santana-LF,Crawford-SS,Beckham-3B,Long-2B,Smith-CF
53,"54. Sat,5/25 at OAK L (5-6)",Haniger-CF,Vogelbach-DH,Encarnacion-1B,Narvaez-C,Santana-LF,Seager-3B,Bruce-RF,Crawford-SS,Long-2B
54,"55. Sun,5/26 at OAK L (1-7)#",Haniger-CF,Seager-3B,Encarnacion-1B,Santana-LF,Vogelbach-DH,Beckham-2B,Bruce-RF,Murphy-C,Crawford-SS
55,"56. Mon,5/27 vs TEX W (6-2)",Haniger-RF,Seager-3B,Narvaez-C,Santana-LF,Vogelbach-DH,Bruce-1B,Crawford-SS,Long-2B,Smith-CF
56,"57. Tue,5/28 vs TEX L (4-11)",Smith-CF,Seager-3B,Encarnacion-1B,Vogelbach-DH,Santana-LF,Narvaez-C,Bruce-RF,Crawford-SS,Long-2B
57,"58. Wed,5/29 vs TEX L (7-8)",Smith-CF,Haniger-RF,Vogelbach-DH,Encarnacion-1B,Santana-LF,Seager-3B,Beckham-SS,Murphy-C,Long-2B
58,"59. Thu,5/30 vs LAA L (3-9)",Smith-CF,Seager-3B,Encarnacion-DH,Vogelbach-1B,Haniger-RF,Narvaez-C,Bruce-LF,Beckham-SS,Long-2B
59,"60. Fri,5/31 vs LAA W (4-3)#",Smith-CF,Haniger-RF,Santana-LF,Seager-3B,Beckham-2B,Vogelbach-DH,Bruce-1B,Murphy-C,Moore-SS
