,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/28 at MIL L (4-5)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Wong-2B,Bader-CF,Mikolas-P
1,"2. Fri,3/29 at MIL W (9-5)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Wong-2B,Bader-CF,Flaherty-P
2,"3. Sat,3/30 at MIL L (2-4)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,O'Neill-CF,Fowler-RF,Wong-2B,Hudson-P
3,"4. Sun,3/31 at MIL L (4-5)",Carpenter-3B,Goldschmidt-1B,Martinez-RF,Ozuna-LF,DeJong-SS,Molina-C,Wong-2B,Bader-CF,Wacha-P
4,"5. Mon,4/1 at PIT W (6-5)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Wong-2B,Bader-CF,Wainwright-P
5,"6. Wed,4/3 at PIT W (5-4)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Martinez-LF,Molina-C,Fowler-RF,Wong-2B,Bader-CF,Mikolas-P
6,"7. Fri,4/5 vs SDP L (3-5)#",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Bader-CF,Wong-2B,Flaherty-P
7,"8. Sat,4/6 vs SDP L (4-6)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Wong-2B,Bader-CF,Wacha-P
8,"9. Sun,4/7 vs SDP W (4-1)#",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Bader-CF,Wong-2B,Wainwright-P
9,"10. Mon,4/8 vs LAD W (4-3)#",Carpenter-3B,Goldschmidt-1B,Martinez-RF,Ozuna-LF,DeJong-SS,Molina-C,Bader-CF,Wong-2B,Mikolas-P
10,"11. Tue,4/9 vs LAD W (4-0)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Wong-2B,Bader-CF,Hudson-P
11,"12. Wed,4/10 vs LAD W (7-2)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Wong-2B,Bader-CF,Flaherty-P
12,"13. Thu,4/11 vs LAD W (11-7)",Wong-2B,Goldschmidt-1B,DeJong-SS,Martinez-RF,O'Neill-LF,Gyorko-3B,Bader-CF,Wieters-C,Wacha-P
13,"14. Sat,4/13 at CIN L (2-5)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,Fowler-RF,Wong-2B,Bader-CF,Wainwright-P
14,"15. Sun,4/14 at CIN W (9-5)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,O'Neill-CF,Fowler-RF,Wong-2B,Mikolas-P
15,"16. Mon,4/15 at MIL L (7-10)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Molina-C,O'Neill-CF,Fowler-RF,Wong-2B,Hudson-P
16,"17. Tue,4/16 at MIL L (4-8)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Wong-2B,Flaherty-P
17,"18. Wed,4/17 at MIL W (6-3)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Fowler-CF,Wong-2B,Wieters-C,Wacha-P
18,"19. Fri,4/19 vs NYM L (4-5)#",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Wong-2B,Wainwright-P
19,"20. Sat,4/20 vs NYM W (10-2)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Wong-2B,Mikolas-P
20,"21. Sun,4/21 vs NYM W (6-4)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Wong-2B,Hudson-P
21,"22. Mon,4/22 vs MIL W (13-5)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Wong-2B,Flaherty-P
22,"23. Tue,4/23 vs MIL W (4-3)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Wong-2B,Ponce de Leon-P
23,"24. Wed,4/24 vs MIL W (5-2)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Wong-2B,Thomas-CF,Wainwright-P
24,"25. Fri,4/26 vs CIN L (1-12)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Wong-2B,Mikolas-P
25,"26. Sat,4/27 vs CIN W (6-3)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Wong-2B,Hudson-P
26,"27. Sun,4/28 vs CIN W (5-2)",Wong-2B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Fowler-CF,Gyorko-3B,Flaherty-P
27,"28. Mon,4/29 at WSN W (6-3)#",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Gyorko-2B,Bader-CF,Wacha-P
28,"29. Tue,4/30 at WSN W (3-2)",Carpenter-3B,Goldschmidt-1B,DeJong-SS,Ozuna-LF,Martinez-RF,Molina-C,Wong-2B,Bader-CF,Wainwright-P
