,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 vs BOS W (6-4)#",Duffy-3B,Kiermaier-CF,Gomez-RF,Cron-1B,Ramos-C,Span-LF,Hechavarria-SS,Robertson-2B,Refsnyder-DH
1,"2. Fri,3/30 vs BOS L (0-1)#",Duffy-3B,Kiermaier-CF,Gomez-RF,Cron-DH,Ramos-C,Miller-1B,Hechavarria-SS,Robertson-2B,Refsnyder-LF
2,"3. Sat,3/31 vs BOS L (2-3)",Span-DH,Kiermaier-CF,Gomez-RF,Miller-1B,Duffy-3B,Wendle-2B,Hechavarria-SS,Smith-LF,Sucre-C
3,"4. Sun,4/1 vs BOS L (1-2)",Span-DH,Kiermaier-CF,Gomez-RF,Miller-1B,Duffy-3B,Wendle-2B,Ramos-C,Smith-LF,Hechavarria-SS
4,"5. Tue,4/3 at NYY L (4-11)#",Duffy-3B,Kiermaier-CF,Gomez-RF,Cron-1B,Ramos-DH,Hechavarria-SS,Sucre-C,Robertson-2B,Refsnyder-LF
5,"6. Wed,4/4 at NYY L (2-7)",Span-LF,Kiermaier-CF,Cron-DH,Miller-1B,Ramos-C,Wendle-2B,Hechavarria-SS,Smith-RF,Robertson-3B
6,"7. Thu,4/5 at BOS L (2-3)#",Duffy-3B,Kiermaier-CF,Gomez-RF,Cron-DH,Ramos-C,Miller-1B,Hechavarria-SS,Robertson-2B,Refsnyder-LF
7,"8. Sat,4/7 at BOS L (3-10)",Span-LF,Smith-RF,Gomez-CF,Miller-1B,Duffy-3B,Cron-DH,Ramos-C,Wendle-2B,Hechavarria-SS
8,"9. Sun,4/8 at BOS L (7-8)#",Duffy-3B,Kiermaier-CF,Gomez-RF,Cron-DH,Robertson-2B,Miller-1B,Sucre-C,Hechavarria-SS,Refsnyder-LF
9,"10. Mon,4/9 at CHW W (5-4)",Span-LF,Wendle-2B,Gomez-CF,Cron-1B,Duffy-3B,Ramos-C,Robertson-SS,Smith-RF,Refsnyder-DH
10,"11. Tue,4/10 at CHW W (6-5)",Span-LF,Wendle-2B,Gomez-CF,Cron-1B,Duffy-3B,Smith-RF,Ramos-C,Hechavarria-SS,Robertson-DH
11,"12. Wed,4/11 at CHW L (1-2)",Span-DH,Kiermaier-CF,Gomez-RF,Cron-1B,Wendle-2B,Duffy-3B,Smith-LF,Hechavarria-SS,Sucre-C
12,"13. Fri,4/13 vs PHI L (1-2)",Span-DH,Kiermaier-CF,Gomez-RF,Cron-1B,Wendle-2B,Duffy-3B,Smith-LF,Ramos-C,Hechavarria-SS
13,"14. Sat,4/14 vs PHI L (4-9)",Smith-LF,Gomez-DH,Kiermaier-CF,Cron-1B,Wendle-2B,Duffy-3B,Ramos-C,Hechavarria-SS,Field-RF
14,"15. Sun,4/15 vs PHI L (4-10)",Span-DH,Gomez-RF,Kiermaier-CF,Cron-1B,Smith-LF,Duffy-3B,Wendle-2B,Sucre-C,Robertson-SS
15,"16. Mon,4/16 vs TEX W (8-4)#",Duffy-3B,Hechavarria-SS,Gomez-RF,Cron-1B,Ramos-C,Robertson-2B,Refsnyder-DH,Field-LF,Smith-CF
16,"17. Tue,4/17 vs TEX L (2-7)#",Robertson-2B,Hechavarria-SS,Gomez-RF,Cron-1B,Ramos-C,Snyder-3B,Refsnyder-DH,Field-LF,Smith-CF
17,"18. Wed,4/18 vs TEX W (4-2)#",Span-LF,Robertson-2B,Gomez-DH,Cron-1B,Hechavarria-SS,Sucre-C,Smith-CF,Snyder-3B,Field-RF
18,"19. Fri,4/20 vs MIN W (8-7)",Span-LF,Cron-DH,Gomez-RF,Miller-1B,Robertson-3B,Wendle-2B,Ramos-C,Smith-CF,Hechavarria-SS
19,"20. Sat,4/21 vs MIN W (10-1)",Span-LF,Cron-DH,Gomez-RF,Miller-1B,Robertson-3B,Wendle-2B,Ramos-C,Smith-CF,Hechavarria-SS
20,"21. Sun,4/22 vs MIN W (8-6)",Span-LF,Cron-DH,Gomez-RF,Miller-1B,Robertson-3B,Wendle-2B,Sucre-C,Smith-CF,Hechavarria-SS
21,"22. Wed,4/25 at BAL W (8-4)",Span-LF,Cron-DH,Gomez-RF,Miller-1B,Robertson-3B,Wendle-2B,Ramos-C,Smith-CF,Hechavarria-SS
22,"23. Thu,4/26 at BAL W (9-5)",Span-LF,Cron-1B,Gomez-RF,Miller-DH,Robertson-3B,Wendle-2B,Ramos-C,Smith-CF,Hechavarria-SS
23,"24. Fri,4/27 at BOS W (4-3)#",Duffy-3B,Cron-DH,Gomez-RF,Ramos-C,Robertson-2B,Miller-1B,Hechavarria-SS,Smith-CF,Refsnyder-LF
24,"25. Sat,4/28 at BOS W (12-6)#",Duffy-3B,Cron-1B,Gomez-RF,Ramos-C,Robertson-2B,Span-LF,Hechavarria-SS,Refsnyder-DH,Field-CF
25,"26. Sun,4/29 at BOS L (3-4)",Span-LF,Cron-DH,Wendle-2B,Miller-1B,Robertson-3B,Smith-CF,Hechavarria-SS,Sucre-C,Field-RF
26,"27. Mon,4/30 at DET W (3-2)",Span-LF,Cron-DH,Duffy-3B,Miller-1B,Robertson-SS,Wendle-2B,Gomez-RF,Smith-CF,Sucre-C
27,"28. Tue,5/1 at DET L (1-2)#",Hechavarria-SS,Cron-1B,Duffy-3B,Ramos-C,Robertson-2B,Gomez-RF,Refsnyder-DH,Smith-CF,Field-LF
28,"29. Wed,5/2 at DET L (2-3)",Span-LF,Cron-DH,Duffy-3B,Miller-1B,Ramos-C,Wendle-2B,Gomez-RF,Smith-CF,Hechavarria-SS
29,"30. Fri,5/4 vs TOR W (6-2)#",Hechavarria-SS,Cron-1B,Duffy-3B,Ramos-C,Robertson-2B,Span-LF,Gomez-RF,Refsnyder-DH,Field-CF
30,"31. Sat,5/5 vs TOR W (5-3)",Span-LF,Cron-DH,Duffy-3B,Miller-1B,Ramos-C,Wendle-2B,Hechavarria-SS,Smith-CF,Field-RF
31,"32. Sun,5/6 vs TOR L (1-2)",Span-LF,Cron-DH,Duffy-3B,Miller-1B,Ramos-C,Wendle-2B,Robertson-SS,Smith-CF,Gomez-RF
32,"33. Tue,5/8 vs ATL L (0-1)#",Gomez-RF,Cron-1B,Duffy-3B,Ramos-DH,Robertson-2B,Hechavarria-SS,Sucre-C,Refsnyder-LF,Field-CF
33,"34. Wed,5/9 vs ATL L (2-5)",Span-LF,Cron-DH,Duffy-3B,Miller-1B,Ramos-C,Wendle-2B,Gomez-RF,Smith-CF,Robertson-SS
34,"35. Fri,5/11 at BAL L (4-9)",Span-LF,Cron-DH,Wendle-2B,Ramos-C,Duffy-3B,Miller-1B,Gomez-RF,Smith-CF,Hechavarria-SS
35,"36. Sat,5/12 at BAL L (3-6)",Span-LF,Cron-DH,Wendle-2B,Duffy-3B,Miller-1B,Hechavarria-SS,Smith-CF,Gomez-RF,Sucre-C
36,"37. Sat,5/12 at BAL W (10-3)",Span-DH,Cron-1B,Wendle-3B,Ramos-C,Miller-2B,Robertson-SS,Smith-CF,Gomez-RF,Field-LF
37,"38. Sun,5/13 at BAL L (1-17)",Span-LF,Cron-DH,Wendle-2B,Ramos-C,Duffy-3B,Miller-1B,Hechavarria-SS,Smith-CF,Refsnyder-RF
38,"39. Mon,5/14 at KCR W (2-1)#",Hechavarria-SS,Cron-1B,Duffy-3B,Ramos-C,Robertson-2B,Miller-DH,Field-CF,Gomez-RF,Refsnyder-LF
39,"40. Tue,5/15 at KCR W (6-5)",Span-LF,Cron-DH,Wendle-2B,Duffy-3B,Miller-1B,Hechavarria-SS,Smith-CF,Gomez-RF,Sucre-C
