,0,1,2,3,4,5,6,7,8,9
0,"1. Thu,3/29 vs NYY L (1-6)",Travis-2B,Donaldson-3B,Smoak-1B,Granderson-LF,Morales-DH,Grichuk-RF,Martin-C,Pillar-CF,Diaz-SS
1,"2. Fri,3/30 vs NYY L (2-4)",Travis-2B,Donaldson-DH,Smoak-1B,Granderson-LF,Solarte-3B,Grichuk-RF,Martin-C,Pillar-CF,Diaz-SS
2,"3. Sat,3/31 vs NYY W (5-3)#",Pearce-LF,Donaldson-DH,Smoak-1B,Solarte-3B,Grichuk-RF,Pillar-CF,Diaz-SS,Maile-C,Ngoepe-2B
3,"4. Sun,4/1 vs NYY W (7-4)",Travis-2B,Donaldson-DH,Smoak-1B,Solarte-3B,Granderson-LF,Grichuk-RF,Martin-C,Pillar-CF,Ngoepe-SS
4,"5. Mon,4/2 vs CHW W (4-2)",Travis-2B,Donaldson-DH,Smoak-1B,Solarte-3B,Granderson-LF,Grichuk-RF,Martin-C,Pillar-CF,Diaz-SS
5,"6. Tue,4/3 vs CHW W (14-5)",Granderson-LF,Donaldson-3B,Smoak-1B,Solarte-2B,Grichuk-RF,Morales-DH,Pillar-CF,Maile-C,Diaz-SS
6,"7. Wed,4/4 vs CHW L (3-4)",Travis-2B,Donaldson-3B,Smoak-1B,Granderson-LF,Grichuk-RF,Martin-C,Morales-DH,Pillar-CF,Ngoepe-SS
7,"8. Fri,4/6 at TEX W (8-5)#",Pearce-LF,Donaldson-3B,Smoak-1B,Solarte-SS,Martin-C,Morales-DH,Pillar-CF,Grichuk-RF,Travis-2B
8,"9. Sat,4/7 at TEX L (1-5)#",Pearce-LF,Donaldson-DH,Smoak-1B,Solarte-3B,Martin-C,Pillar-CF,Diaz-SS,Grichuk-RF,Travis-2B
9,"10. Sun,4/8 at TEX W (7-4)#",Pearce-LF,Donaldson-3B,Smoak-1B,Solarte-2B,Morales-DH,Pillar-CF,Grichuk-RF,Maile-C,Diaz-SS
10,"11. Mon,4/9 at BAL W (7-1)",Granderson-LF,Donaldson-3B,Smoak-DH,Pearce-RF,Morales-1B,Martin-C,Pillar-CF,Travis-2B,Diaz-SS
11,"12. Tue,4/10 at BAL W (2-1)",Granderson-LF,Donaldson-3B,Smoak-1B,Solarte-DH,Pearce-RF,Martin-C,Pillar-CF,Travis-2B,Diaz-SS
12,"13. Wed,4/11 at BAL L (3-5)",Granderson-LF,Smoak-1B,Solarte-3B,Pearce-DH,Pillar-CF,Grichuk-RF,Diaz-SS,Maile-C,Ngoepe-2B
13,"14. Fri,4/13 at CLE W (8-4)",Granderson-DH,Hernandez-LF,Smoak-1B,Solarte-3B,Martin-C,Pillar-CF,Diaz-SS,Grichuk-RF,Travis-2B
14,"15. Tue,4/17 vs KCR W (11-3)#",Pearce-DH,Hernandez-LF,Smoak-1B,Solarte-3B,Martin-C,Pillar-CF,Diaz-SS,Grichuk-RF,Travis-2B
15,"16. Tue,4/17 vs KCR W (5-4)#",Pearce-1B,Hernandez-LF,Smoak-DH,Solarte-3B,Pillar-CF,Diaz-SS,Grichuk-RF,Maile-C,Ngoepe-2B
16,"17. Wed,4/18 vs KCR W (15-5)",Granderson-DH,Hernandez-LF,Smoak-1B,Solarte-3B,Martin-C,Pillar-CF,Grichuk-RF,Diaz-SS,Ngoepe-2B
17,"18. Thu,4/19 at NYY L (3-4)#",Pearce-DH,Hernandez-LF,Smoak-1B,Solarte-3B,Pillar-CF,Diaz-SS,Grichuk-RF,Maile-C,Travis-2B
18,"19. Fri,4/20 at NYY W (8-5)",Granderson-RF,Hernandez-LF,Smoak-1B,Solarte-3B,Martin-C,Morales-DH,Pillar-CF,Diaz-SS,Gurriel-2B
19,"20. Sat,4/21 at NYY L (1-9)#",Pearce-1B,Hernandez-LF,Solarte-3B,Morales-DH,Pillar-CF,Maile-C,Diaz-SS,Grichuk-RF,Gurriel-2B
20,"21. Sun,4/22 at NYY L (1-5)",Granderson-RF,Hernandez-LF,Smoak-1B,Solarte-3B,Martin-C,Morales-DH,Pillar-CF,Travis-2B,Gurriel-SS
21,"22. Tue,4/24 vs BOS W (4-3)",Granderson-RF,Hernandez-LF,Smoak-1B,Solarte-3B,Pearce-DH,Martin-C,Pillar-CF,Diaz-SS,Travis-2B
22,"23. Wed,4/25 vs BOS L (3-4)#",Pearce-LF,Hernandez-RF,Smoak-1B,Solarte-3B,Morales-DH,Martin-C,Pillar-CF,Gurriel-2B,Diaz-SS
23,"24. Thu,4/26 vs BOS L (4-5)#",Pearce-DH,Hernandez-LF,Smoak-1B,Solarte-3B,Pillar-CF,Gurriel-SS,Grichuk-RF,Maile-C,Travis-2B
24,"25. Fri,4/27 vs TEX L (4-6)#",Pearce-LF,Hernandez-RF,Smoak-1B,Solarte-3B,Pillar-CF,Martin-C,Morales-DH,Travis-2B,Diaz-SS
25,"26. Sat,4/28 vs TEX L (4-7)",Granderson-LF,Hernandez-RF,Smoak-1B,Solarte-3B,Pillar-CF,Gurriel-2B,Morales-DH,Maile-C,Diaz-SS
26,"27. Sun,4/29 vs TEX W (7-2)#",Pearce-DH,Hernandez-LF,Smoak-1B,Solarte-3B,Pillar-CF,Martin-C,Gurriel-2B,Grichuk-RF,Diaz-SS
27,"28. Mon,4/30 at MIN W (7-5)",Granderson-LF,Hernandez-RF,Smoak-1B,Solarte-3B,Pillar-CF,Martin-C,Morales-DH,Gurriel-2B,Diaz-SS
28,"29. Tue,5/1 at MIN W (7-4)",Granderson-LF,Hernandez-RF,Smoak-1B,Solarte-3B,Pillar-CF,Gurriel-2B,Morales-DH,Maile-C,Diaz-SS
29,"30. Wed,5/2 at MIN L (0-4)",Granderson-LF,Hernandez-RF,Smoak-1B,Solarte-3B,Pillar-CF,Martin-C,Morales-DH,Gurriel-2B,Diaz-SS
30,"31. Thu,5/3 at CLE W (13-11)",Granderson-LF,Donaldson-3B,Hernandez-RF,Solarte-2B,Pillar-CF,Martin-C,Morales-DH,Pearce-1B,Gurriel-SS
31,"32. Thu,5/3 at CLE L (4-13)",Gurriel-2B,Donaldson-DH,Hernandez-RF,Solarte-3B,Pillar-CF,Morales-1B,Smith-LF,Maile-C,Diaz-SS
32,"33. Fri,5/4 at TBR L (2-6)",Granderson-LF,Donaldson-3B,Solarte-DH,Hernandez-RF,Pillar-CF,Morales-1B,Gurriel-2B,Maile-C,Diaz-SS
33,"34. Sat,5/5 at TBR L (3-5)",Hernandez-RF,Donaldson-3B,Solarte-DH,Pillar-CF,Martin-C,Morales-1B,Gurriel-2B,Pompey-LF,Diaz-SS
34,"35. Sun,5/6 at TBR W (2-1)",Hernandez-RF,Donaldson-3B,Solarte-2B,Smoak-1B,Pillar-CF,Morales-DH,Alford-LF,Maile-C,Diaz-SS
35,"36. Tue,5/8 vs SEA L (0-5)#",Hernandez-RF,Donaldson-3B,Solarte-2B,Smoak-1B,Pillar-CF,Martin-C,Morales-DH,Gurriel-SS,Alford-LF
36,"37. Wed,5/9 vs SEA W (5-2)#",Hernandez-RF,Donaldson-DH,Solarte-2B,Smoak-1B,Pillar-CF,Martin-3B,Gurriel-SS,Maile-C,Pompey-LF
37,"38. Thu,5/10 vs SEA L (3-9)",Granderson-LF,Donaldson-3B,Solarte-2B,Hernandez-RF,Smoak-1B,Pillar-CF,Martin-C,Morales-DH,Gurriel-SS
38,"39. Fri,5/11 vs BOS W (5-3)#",Hernandez-RF,Donaldson-3B,Solarte-2B,Smoak-1B,Pillar-CF,Morales-DH,Alford-LF,Maile-C,Gurriel-SS
39,"40. Sat,5/12 vs BOS L (2-5)#",Hernandez-RF,Donaldson-DH,Solarte-2B,Smoak-1B,Pillar-CF,Martin-3B,Alford-LF,Maile-C,Urshela-SS
40,"41. Sun,5/13 vs BOS L (3-5)#",Hernandez-RF,Donaldson-3B,Smoak-1B,Solarte-2B,Pillar-CF,Martin-C,Morales-DH,Alford-LF,Urena-SS
41,"42. Tue,5/15 at NYM L (2-12)",Granderson-LF,Donaldson-3B,Smoak-1B,Hernandez-RF,Solarte-2B,Pillar-CF,Martin-C,Urena-SS,Garcia-P
42,"43. Wed,5/16 at NYM W (12-1)",Granderson-LF,Donaldson-3B,Smoak-1B,Hernandez-RF,Solarte-2B,Pillar-CF,Maile-C,Urshela-SS,Happ-P
43,"44. Thu,5/17 vs OAK L (5-10)",Granderson-RF,Donaldson-3B,Smoak-1B,Solarte-2B,Pillar-CF,Martin-C,Morales-DH,Smith-LF,Urena-SS
44,"45. Fri,5/18 vs OAK L (1-3)#",Granderson-RF,Donaldson-DH,Smoak-1B,Solarte-2B,Pillar-CF,Martin-3B,Maile-C,Smith-LF,Urshela-SS
45,"46. Sat,5/19 vs OAK L (4-5)#",Hernandez-RF,Donaldson-3B,Smoak-1B,Solarte-2B,Pillar-CF,Martin-C,Morales-DH,Smith-LF,Urshela-SS
46,"47. Sun,5/20 vs OAK L (2-9)",Granderson-LF,Donaldson-3B,Smoak-1B,Hernandez-RF,Solarte-2B,Pillar-CF,Morales-DH,Maile-C,Urena-SS
47,"48. Tue,5/22 vs LAA W (5-3)",Granderson-LF,Donaldson-3B,Smoak-1B,Hernandez-RF,Pillar-CF,Martin-C,Morales-DH,Urshela-SS,Travis-2B
48,"49. Wed,5/23 vs LAA L (4-5)#",Hernandez-RF,Donaldson-3B,Smoak-1B,Solarte-DH,Pillar-CF,Martin-C,Urshela-SS,Granderson-LF,Travis-2B
49,"50. Thu,5/24 vs LAA L (1-8)",Smith-LF,Donaldson-DH,Solarte-3B,Hernandez-RF,Pillar-CF,Morales-1B,Maile-C,Urshela-SS,Travis-2B
50,"51. Fri,5/25 at PHI W (6-5)",Granderson-LF,Donaldson-3B,Smoak-1B,Hernandez-RF,Solarte-2B,Pillar-CF,Martin-C,Urshela-SS,Gaviglio-P
51,"52. Sat,5/26 at PHI L (1-2)",Granderson-CF,Donaldson-3B,Smoak-1B,Hernandez-RF,Solarte-2B,Martin-SS,Smith-LF,Maile-C,Garcia-P
52,"53. Sun,5/27 at PHI W (5-3)",Granderson-RF,Donaldson-3B,Smoak-1B,Solarte-SS,Pillar-CF,Martin-C,Smith-LF,Travis-2B,Happ-P
53,"54. Mon,5/28 at BOS L (3-8)#",Hernandez-RF,Donaldson-3B,Smoak-1B,Solarte-SS,Pillar-CF,Martin-LF,Morales-DH,Maile-C,Travis-2B
54,"55. Tue,5/29 at BOS L (3-8)",Granderson-LF,Pillar-CF,Solarte-SS,Smoak-1B,Hernandez-RF,Martin-3B,Morales-DH,Travis-2B,Maile-C
55,"56. Wed,5/30 at BOS L (4-6)#",Hernandez-RF,Pillar-CF,Solarte-SS,Smoak-1B,Morales-DH,Travis-2B,Granderson-LF,Maile-C,Urshela-3B
56,"57. Fri,6/1 at DET L (2-5)#",Hernandez-LF,Solarte-3B,Smoak-1B,Morales-DH,Pillar-CF,Martin-C,Travis-2B,Grichuk-RF,Diaz-SS
57,"58. Sat,6/2 at DET L (4-7)#",Hernandez-LF,Solarte-3B,Smoak-1B,Morales-DH,Pillar-CF,Travis-2B,Diaz-SS,Grichuk-RF,Maile-C
58,"59. Sun,6/3 at DET W (8-4)",Granderson-LF,Solarte-3B,Smoak-1B,Morales-DH,Pillar-CF,Martin-C,Travis-2B,Grichuk-RF,Diaz-SS
59,"60. Tue,6/5 vs NYY L (2-7)#",Hernandez-LF,Solarte-3B,Smoak-1B,Morales-DH,Pillar-CF,Martin-C,Grichuk-RF,Diaz-SS,Travis-2B
60,"61. Wed,6/6 vs NYY L (0-3)",Granderson-RF,Solarte-3B,Hernandez-LF,Smoak-1B,Morales-DH,Pillar-CF,Martin-C,Travis-2B,Diaz-SS
61,"62. Thu,6/7 vs BAL W (5-4)",Granderson-RF,Solarte-2B,Hernandez-LF,Smoak-1B,Morales-DH,Maile-C,Diaz-SS,Grichuk-CF,Urshela-3B
62,"63. Fri,6/8 vs BAL W (5-1)",Granderson-DH,Solarte-3B,Hernandez-LF,Smoak-1B,Pillar-CF,Martin-C,Grichuk-RF,Diaz-SS,Travis-2B
63,"64. Sat,6/9 vs BAL W (4-3)",Solarte-2B,Hernandez-LF,Smoak-1B,Morales-DH,Pillar-CF,Grichuk-RF,Maile-C,Diaz-SS,Urshela-3B
