,0,1,2,3,4,5,6,7,8,9
0,"1. Tue,4/4 at CHW W (6-3)#",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Mahtook-RF,McCann-C,Jones-CF,Iglesias-SS
1,"2. Thu,4/6 at CHW L (2-11)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,McCann-C,Jones-CF,Iglesias-SS
2,"3. Fri,4/7 vs BOS W (6-5)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,McCann-C,Jones-CF,Iglesias-SS
3,"4. Sat,4/8 vs BOS W (4-1)#",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Mahtook-RF,McCann-C,Jones-CF,Iglesias-SS
4,"5. Sun,4/9 vs BOS L (5-7)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,Avila-C,Romine-CF,Iglesias-SS
5,"6. Mon,4/10 vs BOS W (2-1)#",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Mahtook-RF,McCann-C,Iglesias-SS,Jones-CF,Romine-LF
6,"7. Tue,4/11 vs MIN W (2-1)#",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Mahtook-RF,McCann-C,Jones-CF,Machado-SS
7,"8. Wed,4/12 vs MIN W (5-3)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,McCann-C,Romine-CF,Iglesias-SS
8,"9. Thu,4/13 vs MIN L (5-11)",Romine-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,McCann-C,Jones-CF,Iglesias-SS
9,"10. Fri,4/14 at CLE W (7-6)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,Avila-C,Jones-CF,Iglesias-SS
10,"11. Sat,4/15 at CLE L (6-13)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,McCann-C,Romine-CF,Iglesias-SS
11,"12. Sun,4/16 at CLE W (4-1)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,Avila-C,Romine-CF,Iglesias-SS
12,"13. Tue,4/18 at TBR L (1-5)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Collins-RF,Avila-C,Jones-CF,Iglesias-SS
13,"14. Wed,4/19 at TBR L (7-8)",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Collins-RF,McCann-C,Romine-LF,Jones-CF,Iglesias-SS
14,"15. Thu,4/20 at TBR L (1-8)",Kinsler-2B,Collins-RF,Cabrera-DH,Castellanos-3B,Avila-1B,McCann-C,Romine-LF,Jones-CF,Machado-SS
15,"16. Fri,4/21 at MIN L (3-6)#",Kinsler-2B,Castellanos-3B,Cabrera-1B,Martinez-DH,Upton-LF,Mahtook-RF,McCann-C,Jones-CF,Romine-SS
16,"17. Sat,4/22 at MIN W (5-4)#",Kinsler-2B,Mahtook-RF,Castellanos-3B,Martinez-DH,Upton-LF,McCann-C,Hicks-1B,Jones-CF,Machado-SS
