,0,1,2,3,4,5,6,7,8,9
0,"1. Mon,4/3 vs MIA W (4-2)",Turner-SS,Eaton-CF,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Drew-3B,Wieters-C,Strasburg-P
1,"2. Wed,4/5 vs MIA W (6-4)",Turner-SS,Eaton-CF,Harper-RF,Murphy-2B,Zimmerman-1B,Rendon-3B,Werth-LF,Wieters-C,Roark-P
2,"3. Thu,4/6 vs MIA L (3-4)",Turner-SS,Eaton-CF,Harper-RF,Murphy-2B,Zimmerman-1B,Rendon-3B,Werth-LF,Wieters-C,Gonzalez-P
3,"4. Fri,4/7 at PHI W (7-6)",Turner-SS,Eaton-CF,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Rendon-3B,Wieters-C,Scherzer-P
4,"5. Sat,4/8 at PHI L (3-17)",Turner-SS,Eaton-CF,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Rendon-3B,Wieters-C,Guthrie-P
5,"6. Sun,4/9 at PHI L (3-4)",Eaton-CF,Rendon-3B,Harper-RF,Murphy-2B,Lind-1B,Werth-LF,Drew-SS,Lobaton-C,Strasburg-P
6,"7. Mon,4/10 vs STL W (14-6)",Eaton-CF,Rendon-3B,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Drew-SS,Wieters-C,Roark-P
7,"8. Tue,4/11 vs STL W (8-3)",Eaton-CF,Difo-SS,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Drew-3B,Wieters-C,Gonzalez-P
8,"9. Wed,4/12 vs STL L (1-6)",Eaton-CF,Rendon-3B,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Wieters-C,Difo-SS,Scherzer-P
9,"10. Fri,4/14 vs PHI W (3-2)",Eaton-CF,Rendon-3B,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Wieters-C,Difo-SS,Strasburg-P
10,"11. Sat,4/15 vs PHI L (2-4)",Difo-SS,Rendon-3B,Harper-RF,Murphy-2B,Zimmerman-1B,Heisey-LF,Taylor-CF,Lobaton-C,Roark-P
11,"12. Sun,4/16 vs PHI W (6-4)",Eaton-CF,Rendon-3B,Harper-RF,Murphy-2B,Lind-1B,Werth-LF,Wieters-C,Difo-SS,Gonzalez-P
12,"13. Tue,4/18 at ATL W (3-1)",Eaton-CF,Rendon-3B,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Wieters-C,Difo-SS,Scherzer-P
13,"14. Wed,4/19 at ATL W (14-4)",Eaton-CF,Rendon-3B,Harper-RF,Murphy-2B,Zimmerman-1B,Werth-LF,Wieters-C,Difo-SS,Ross-P
14,"15. Thu,4/20 at ATL W (3-2)",Eaton-LF,Difo-SS,Harper-RF,Zimmerman-1B,Rendon-3B,Wieters-C,Taylor-CF,Green-2B,Strasburg-P
15,"16. Fri,4/21 at NYM W (4-3)",Eaton-CF,Difo-SS,Harper-RF,Murphy-2B,Rendon-3B,Lind-1B,Heisey-LF,Lobaton-C,Roark-P
16,"17. Sat,4/22 at NYM W (3-1)",Eaton-LF,Turner-SS,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Gonzalez-P
17,"18. Sun,4/23 at NYM W (6-3)",Eaton-CF,Turner-SS,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Werth-LF,Wieters-C,Scherzer-P
18,"19. Mon,4/24 at COL L (4-8)#",Turner-SS,Eaton-RF,Rendon-3B,Murphy-2B,Zimmerman-1B,Werth-LF,Taylor-CF,Lobaton-C,Turner-P
19,"20. Tue,4/25 at COL W (15-12)",Eaton-CF,Turner-SS,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Werth-LF,Wieters-C,Ross-P
20,"21. Wed,4/26 at COL W (11-4)",Eaton-CF,Turner-SS,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Werth-LF,Lobaton-C,Roark-P
21,"22. Thu,4/27 at COL W (16-5)",Eaton-CF,Turner-SS,Harper-RF,Murphy-2B,Lind-1B,Werth-LF,Wieters-C,Difo-3B,Gonzalez-P
22,"23. Fri,4/28 vs NYM L (5-7)",Eaton-CF,Turner-SS,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Werth-LF,Wieters-C,Scherzer-P
23,"24. Sat,4/29 vs NYM L (3-5)",Turner-SS,Taylor-CF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Werth-LF,Lobaton-C,Strasburg-P
24,"25. Sun,4/30 vs NYM W (23-5)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Taylor-CF,Wieters-C,Ross-P
25,"26. Tue,5/2 vs ARI L (3-6)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Taylor-CF,Lobaton-C,Roark-P
26,"27. Wed,5/3 vs ARI W (2-1)#",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Taylor-CF,Wieters-C,Gonzalez-P
27,"28. Thu,5/4 vs ARI W (4-2)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Taylor-CF,Lobaton-C,Scherzer-P
28,"29. Fri,5/5 at PHI W (4-2)",Turner-SS,Werth-LF,Murphy-2B,Zimmerman-1B,Rendon-3B,Taylor-CF,Heisey-RF,Wieters-C,Strasburg-P
29,"30. Sat,5/6 at PHI W (6-2)",Turner-SS,Werth-LF,Murphy-2B,Zimmerman-1B,Rendon-3B,Wieters-C,Taylor-CF,Bautista-RF,Cole-P
30,"31. Sun,5/7 at PHI L (5-6)",Turner-SS,Werth-LF,Murphy-2B,Rendon-3B,Lind-1B,Heisey-RF,Taylor-CF,Lobaton-C,Roark-P
31,"32. Mon,5/8 at BAL L (4-6)",Difo-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Lind-DH,Wieters-C,Taylor-CF
32,"33. Tue,5/9 at BAL L (4-5)",Turner-SS,Werth-DH,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Heisey-LF,Taylor-CF
33,"34. Wed,5/10 vs BAL W (7-6)#",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Strasburg-P
34,"35. Sat,5/13 vs PHI W (6-4)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Roark-P
35,"36. Sun,5/14 vs PHI L (3-4)",Turner-SS,Goodwin-LF,Harper-RF,Rendon-3B,Murphy-2B,Lind-1B,Wieters-C,Taylor-CF,Gonzalez-P
36,"37. Sun,5/14 vs PHI W (6-5)",Turner-SS,Heisey-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Taylor-CF,Lobaton-C,Scherzer-P
37,"38. Tue,5/16 at PIT W (8-4)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Rendon-3B,Wieters-C,Taylor-CF,Difo-2B,Strasburg-P
38,"39. Wed,5/17 at PIT L (1-6)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Goodwin-CF,Lobaton-C,Turner-P
39,"40. Thu,5/18 at PIT L (4-10)",Turner-SS,Goodwin-LF,Harper-RF,Rendon-3B,Murphy-2B,Wieters-C,Lind-1B,Taylor-CF,Roark-P
40,"41. Fri,5/19 at ATL L (4-7)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Gonzalez-P
41,"42. Sat,5/20 at ATL L (2-5)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Scherzer-P
42,"43. Sun,5/21 at ATL W (3-2)#",Turner-SS,Difo-3B,Harper-RF,Zimmerman-1B,Murphy-2B,Werth-LF,Taylor-CF,Lobaton-C,Strasburg-P
43,"44. Tue,5/23 vs SEA W (10-1)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Ross-P
44,"45. Wed,5/24 vs SEA W (5-1)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Roark-P
45,"46. Thu,5/25 vs SEA L (2-4)#",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Taylor-CF,Lobaton-C,Gonzalez-P
46,"47. Fri,5/26 vs SDP W (5-1)",Turner-SS,Werth-LF,Harper-RF,Rendon-3B,Lind-1B,Wieters-C,Taylor-CF,Difo-2B,Scherzer-P
47,"48. Sat,5/27 vs SDP W (3-0)#",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Rendon-3B,Wieters-C,Taylor-CF,Difo-2B,Strasburg-P
48,"49. Sun,5/28 vs SDP L (3-5)",Turner-SS,Goodwin-RF,Rendon-3B,Zimmerman-1B,Lind-LF,Taylor-CF,Lobaton-C,Difo-2B,Ross-P
49,"50. Mon,5/29 at SFG W (3-0)#",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Roark-P
50,"51. Tue,5/30 at SFG W (6-3)",Turner-SS,Werth-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Gonzalez-P
51,"52. Wed,5/31 at SFG W (3-1)",Turner-SS,Werth-LF,Murphy-2B,Zimmerman-1B,Rendon-3B,Wieters-C,Goodwin-RF,Taylor-CF,Scherzer-P
52,"53. Fri,6/2 at OAK W (13-3)",Turner-SS,Werth-LF,Murphy-2B,Zimmerman-1B,Lind-DH,Rendon-3B,Wieters-C,Taylor-CF,Goodwin-RF
53,"54. Sat,6/3 at OAK L (4-10)",Turner-SS,Werth-DH,Murphy-2B,Zimmerman-1B,Lind-LF,Taylor-CF,Drew-3B,Lobaton-C,Goodwin-RF
54,"55. Sun,6/4 at OAK W (11-10)",Turner-SS,Goodwin-LF,Harper-RF,Zimmerman-DH,Murphy-2B,Rendon-3B,Lind-1B,Wieters-C,Taylor-CF
55,"56. Mon,6/5 at LAD W (4-2)#",Turner-SS,Raburn-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Gonzalez-P
56,"57. Tue,6/6 at LAD W (2-1)",Turner-SS,Goodwin-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Scherzer-P
57,"58. Wed,6/7 at LAD L (1-2)#",Turner-SS,Raburn-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Taylor-CF,Lobaton-C,Strasburg-P
58,"59. Thu,6/8 vs BAL W (6-1)",Turner-SS,Difo-2B,Harper-RF,Lind-1B,Wieters-C,Drew-3B,Taylor-CF,Goodwin-LF,Ross-P
59,"60. Fri,6/9 vs TEX L (2-5)",Turner-SS,Goodwin-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Roark-P
60,"61. Sat,6/10 vs TEX L (3-6)#",Turner-SS,Harper-RF,Murphy-2B,Rendon-3B,Lind-1B,Taylor-CF,Raburn-LF,Lobaton-C,Gonzalez-P
61,"62. Sun,6/11 vs TEX L (1-5)",Goodwin-LF,Harper-RF,Murphy-2B,Rendon-3B,Lind-1B,Wieters-C,Drew-SS,Taylor-CF,Scherzer-P
62,"63. Mon,6/12 vs ATL L (10-11)",Turner-SS,Harper-RF,Murphy-2B,Rendon-3B,Lind-1B,Wieters-C,Taylor-CF,Goodwin-LF,Strasburg-P
63,"64. Tue,6/13 vs ATL W (10-5)",Turner-SS,Raburn-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Ross-P
64,"65. Wed,6/14 vs ATL L (2-13)",Turner-SS,Harper-RF,Murphy-2B,Zimmerman-1B,Lind-LF,Drew-3B,Goodwin-CF,Lobaton-C,Roark-P
65,"66. Thu,6/15 at NYM W (8-3)",Turner-SS,Goodwin-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Gonzalez-P
66,"67. Fri,6/16 at NYM W (7-2)#",Turner-SS,Raburn-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Scherzer-P
67,"68. Sat,6/17 at NYM W (7-4)",Turner-SS,Rendon-3B,Harper-RF,Murphy-2B,Zimmerman-1B,Lind-LF,Taylor-CF,Lobaton-C,Strasburg-P
68,"69. Sun,6/18 at NYM L (1-5)",Turner-SS,Goodwin-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Ross-P
69,"70. Mon,6/19 at MIA L (7-8)#",Turner-SS,Raburn-LF,Harper-RF,Zimmerman-1B,Murphy-2B,Rendon-3B,Wieters-C,Taylor-CF,Roark-P
