,0,1,2,3,4,5,6,7,8,9
0,"1. Sun,4/2 at TBR L (3-7)",Gardner-LF,Sanchez-C,Bird-1B,Holliday-DH,Ellsbury-CF,Castro-2B,Headley-3B,Judge-RF,Torreyes-SS
1,"2. Tue,4/4 at TBR W (5-0)",Gardner-LF,Sanchez-C,Bird-1B,Holliday-DH,Ellsbury-CF,Castro-2B,Headley-3B,Judge-RF,Torreyes-SS
2,"3. Wed,4/5 at TBR L (1-4)",Gardner-LF,Sanchez-C,Bird-1B,Holliday-DH,Ellsbury-CF,Castro-2B,Headley-3B,Judge-RF,Torreyes-SS
3,"4. Fri,4/7 at BAL L (5-6)",Gardner-LF,Sanchez-C,Bird-1B,Holliday-DH,Ellsbury-CF,Castro-2B,Headley-3B,Judge-RF,Torreyes-SS
4,"5. Sat,4/8 at BAL L (4-5)",Gardner-LF,Sanchez-C,Holliday-DH,Carter-1B,Ellsbury-CF,Castro-2B,Headley-3B,Hicks-RF,Torreyes-SS
5,"6. Sun,4/9 at BAL W (7-3)#",Gardner-LF,Hicks-CF,Holliday-DH,Carter-1B,Castro-2B,Headley-3B,Judge-RF,Romine-C,Torreyes-SS
6,"7. Mon,4/10 vs TBR W (8-1)",Gardner-LF,Ellsbury-CF,Holliday-DH,Carter-1B,Castro-2B,Headley-3B,Judge-RF,Romine-C,Torreyes-SS
7,"8. Wed,4/12 vs TBR W (8-4)#",Ellsbury-CF,Hicks-LF,Holliday-DH,Carter-1B,Castro-2B,Headley-3B,Judge-RF,Higashioka-C,Kozma-SS
8,"9. Thu,4/13 vs TBR W (3-2)",Ellsbury-CF,Hicks-LF,Holliday-DH,Castro-2B,Headley-3B,Bird-1B,Judge-RF,Romine-C,Torreyes-SS
9,"10. Fri,4/14 vs STL W (4-3)",Gardner-LF,Castro-2B,Holliday-DH,Ellsbury-CF,Headley-3B,Judge-RF,Bird-1B,Romine-C,Torreyes-SS
10,"11. Sat,4/15 vs STL W (3-2)",Gardner-LF,Hicks-RF,Carter-DH,Ellsbury-CF,Castro-2B,Headley-3B,Bird-1B,Higashioka-C,Torreyes-SS
11,"12. Sun,4/16 vs STL W (9-3)",Gardner-LF,Hicks-CF,Castro-2B,Ellsbury-DH,Headley-3B,Judge-RF,Bird-1B,Romine-C,Torreyes-SS
12,"13. Mon,4/17 vs CHW W (7-4)#",Ellsbury-CF,Hicks-LF,Holliday-DH,Castro-2B,Headley-3B,Judge-RF,Carter-1B,Romine-C,Kozma-SS
13,"14. Tue,4/18 vs CHW L (1-4)",Gardner-LF,Ellsbury-CF,Holliday-DH,Castro-2B,Judge-RF,Bird-1B,Romine-C,Torreyes-3B,Kozma-SS
14,"15. Wed,4/19 vs CHW W (9-1)",Gardner-LF,Headley-3B,Holliday-DH,Ellsbury-CF,Castro-2B,Judge-RF,Bird-1B,Romine-C,Torreyes-SS
