Date,Team,PITCHER
2019-03-20,SEA,Gonzales
2019-03-20,OAK,Fiers
2019-03-21,SEA,Kikuchi
2019-03-21,OAK,Estrada
2019-03-28,NYM,Degrom
2019-03-28,WAS,Scherzer
2019-03-28,STL,Mikolas
2019-03-28,MIL,Chacin
2019-03-28,ATL,Teheran
2019-03-28,PHI,Nola
2019-03-28,PIT,Taillon
2019-03-28,CIN,Castillo
2019-03-28,ARI,Greinke
2019-03-28,LAD,Ryu
2019-03-28,SFO,Bumgarner
2019-03-28,SDG,Lauer
2019-03-28,COL,Freeland
2019-03-28,MIA,Urena
2019-03-28,BAL,Cashner
2019-03-28,NYY,Tanaka
2019-03-28,DET,Zimmermann
2019-03-28,TOR,Stroman
2019-03-28,HOU,Verlander
2019-03-28,TAM,Snell
2019-03-28,LAA,Cahill
2019-03-28,OAK,Fiers
2019-03-28,CLE,Kluber
2019-03-28,MIN,Berrios
2019-03-28,CWS,Rodon
2019-03-28,KAN,Keller
2019-03-28,BOS,Sale
2019-03-28,SEA,Gonzales
2019-03-28,CUB,Lester
2019-03-28,TEX,Minor
2019-03-29,COL,Marquez
2019-03-29,MIA,Richards
2019-03-29,STL,Flaherty
2019-03-29,MIL,Peralta
2019-03-29,SFO,Holland
2019-03-29,SDG,Lucchesi
2019-03-29,ARI,Ray
2019-03-29,LAD,Stripling
2019-03-29,DET,Boyd
2019-03-29,TOR,Shoemaker
2019-03-29,HOU,Cole
2019-03-29,TAM,Morton
2019-03-29,LAA,Harvey
2019-03-29,OAK,Estrada
2019-03-29,BOS,Eovaldi
2019-03-29,SEA,Kikuchi
2019-03-30,NYM,Syndergaard
2019-03-30,WAS,Strasburg
2019-03-30,ATL,Wilson
2019-03-30,PHI,Pivetta
2019-03-30,COL,Anderson
2019-03-30,MIA,Lopez
2019-03-30,STL,Hudson
2019-03-30,MIL,Woodruff
2019-03-30,SFO,Rodriguez
2019-03-30,SDG,Margevicius
2019-03-30,ARI,Godley
2019-03-30,LAD,Maeda
2019-03-30,BAL,Karns
2019-03-30,NYY,Paxton
2019-03-30,CLE,Bauer
2019-03-30,MIN,Odorizzi
2019-03-30,CWS,Lopez
2019-03-30,KAN,Junis
2019-03-30,DET,Turnbull
2019-03-30,TOR,Sanchez
2019-03-30,HOU,Mchugh
2019-03-30,TAM,Glasnow
2019-03-30,LAA,Pena
2019-03-30,OAK,Anderson
2019-03-30,BOS,Rodriguez
2019-03-30,SEA,Leake
2019-03-30,CUB,Darvish
2019-03-30,TEX,Volquez
2019-03-31,PIT,Musgrove
2019-03-31,CIN,Gray
2019-03-31,COL,Gray
2019-03-31,MIA,Alcantara
2019-03-31,NYM,Wheeler
2019-03-31,WAS,Corbin
2019-03-31,STL,Wacha
2019-03-31,MIL,Burnes
2019-03-31,ARI,Weaver
2019-03-31,LAD,Buehler
2019-03-31,SFO,Samardzija
2019-03-31,SDG,Paddack
2019-03-31,ATL,Wright
2019-03-31,PHI,Arrieta
2019-03-31,BAL,Bundy
2019-03-31,NYY,Happ
2019-03-31,DET,Moore
2019-03-31,TOR,Thornton
2019-03-31,HOU,Miley
2019-03-31,TAM,Chirinos
2019-03-31,CLE,Carrasco
2019-03-31,MIN,Pineda
2019-03-31,CWS,Giolito
2019-03-31,KAN,Lopez
2019-03-31,LAA,Skaggs
2019-03-31,OAK,Montas
2019-03-31,BOS,Porcello
2019-03-31,SEA,Leblanc
2019-03-31,CUB,Hamels
2019-03-31,TEX,Lynn
2019-04-01,STL,Wainwright
2019-04-01,PIT,Archer
2019-04-01,MIL,Davies
2019-04-01,CIN,Roark
2019-04-01,CUB,Hendricks
2019-04-01,ATL,Newcomb
2019-04-01,NYM,Matz
2019-04-01,MIA,Smith
2019-04-01,SFO,Pomeranz
2019-04-01,LAD,Urias
2019-04-01,ARI,Kelly
2019-04-01,SDG,Strahm
2019-04-01,CWS,Nova
2019-04-01,CLE,Clevinger
2019-04-01,DET,Ross
2019-04-01,NYY,German
2019-04-01,BAL,Hess
2019-04-01,TOR,Reid
2019-04-01,HOU,Peacock
2019-04-01,TEX,Smyly
2019-04-01,BOS,Price
2019-04-01,OAK,Brooks
2019-04-01,LAA,Stratton
2019-04-01,SEA,Hernandez
2019-04-01,COL,Bettis
2019-04-01,TAM,Stanek
2019-04-02,MIL,Chacin
2019-04-02,CIN,Desclafani
2019-04-02,PHI,Eflin
2019-04-02,WAS,Scherzer
2019-04-02,NYM,Vargas
2019-04-02,MIA,Urena
2019-04-02,ARI,Greinke
2019-04-02,SDG,Lauer
2019-04-02,SFO,Bumgarner
2019-04-02,LAD,Ryu
2019-04-02,DET,Zimmermann
2019-04-02,NYY,Tanaka
2019-04-02,BAL,Cashner
2019-04-02,TOR,Stroman
2019-04-02,HOU,Verlander
2019-04-02,TEX,Miller
2019-04-02,MIN,Berrios
2019-04-02,KAN,Keller
2019-04-02,BOS,Sale
2019-04-02,OAK,Fiers
