Date,Team,PITCHER
2017-04-02,SFO,Bumgarner
2017-04-02,ARI,Greinke
2017-04-02,CUB,Lester
2017-04-02,STL,Martinez
2017-04-02,NYY,Tanaka
2017-04-02,TAM,Archer
2017-04-03,MIA,Volquez
2017-04-03,WAS,Strasburg
2017-04-03,ATL,Teheran
2017-04-03,NYM,Syndergaard
2017-04-03,COL,Gray
2017-04-03,MIL,Guerra
2017-04-03,SDG,Chacin
2017-04-03,LOS,Kershaw
2017-04-03,PHI,Hellickson
2017-04-03,CIN,Feldman
2017-04-03,SEA,Hernandez
2017-04-03,HOU,Keuchel
2017-04-03,TOR,Estrada
2017-04-03,BAL,Gausman
2017-04-03,KAN,Duffy
2017-04-03,MIN,Santana
2017-04-03,CLE,Kluber
2017-04-03,TEX,Darvish
2017-04-03,LAA,Nolasco
2017-04-03,OAK,Graveman
2017-04-03,PIT,Cole
2017-04-03,BOS,Porcello
2017-04-04,COL,Anderson
2017-04-04,MIL,Davies
2017-04-04,CUB,Arrieta
2017-04-04,STL,Wainwright
2017-04-04,SFO,Cueto
2017-04-04,ARI,Corbin
2017-04-04,SDG,Richard
2017-04-04,LOS,Maeda
2017-04-04,NYY,Sabathia
2017-04-04,TAM,Odorizzi
2017-04-04,CLE,Carrasco
2017-04-04,TEX,Perez
2017-04-04,SEA,Iwakuma
2017-04-04,HOU,Mccullers
2017-04-04,LAA,Shoemaker
2017-04-04,OAK,Manaea
2017-04-04,DET,Verlander
2017-04-04,CWS,Quintana
2017-04-05,MIA,Straily
2017-04-05,WAS,Roark
2017-04-05,PHI,Eickhoff
2017-04-05,CIN,Finnegan
2017-04-05,ATL,Colon
2017-04-05,NYM,Degrom
2017-04-05,COL,Chatwood
2017-04-05,MIL,Peralta
2017-04-05,SFO,Moore
2017-04-05,ARI,Walker
2017-04-05,SDG,Cahill
2017-04-05,LOS,Hill
2017-04-05,KAN,Kennedy
2017-04-05,MIN,Santiago
2017-04-05,NYY,Pineda
2017-04-05,TAM,Cobb
2017-04-05,TOR,Happ
2017-04-05,BAL,Bundy
2017-04-05,CLE,Salazar
2017-04-05,TEX,Hamels
2017-04-05,SEA,Paxton
2017-04-05,HOU,Morton
2017-04-05,LAA,Richards
2017-04-05,OAK,Cotton
2017-04-05,PIT,Taillon
2017-04-05,BOS,Sale
2017-04-06,PHI,Buchholz
2017-04-06,CIN,Davis
2017-04-06,COL,Senzatela
2017-04-06,MIL,Anderson
2017-04-06,SDG,Weaver
2017-04-06,LOS,Mccarthy
2017-04-06,MIA,Koehler
2017-04-06,WAS,Gonzalez
2017-04-06,ATL,Garcia
2017-04-06,NYM,Harvey
2017-04-06,SFO,Samardzija
2017-04-06,ARI,Ray
2017-04-06,KAN,Hammel
2017-04-06,MIN,Gibson
2017-04-06,DET,Boyd
2017-04-06,CWS,Shields
2017-04-06,LAA,Skaggs
2017-04-06,OAK,Triggs
2017-04-06,TOR,Stroman
2017-04-06,TAM,Snell
2017-04-06,SEA,Miranda
2017-04-06,HOU,Musgrove
2017-04-06,CUB,Lackey
2017-04-06,STL,Lynn
2017-04-07,ATL,Foltynewicz
2017-04-07,PIT,Nova
2017-04-07,WAS,Scherzer
2017-04-07,PHI,Velasquez
2017-04-07,LOS,Ryu
2017-04-07,COL,Freeland
2017-04-07,SFO,Cain
2017-04-07,SDG,Perdomo
2017-04-07,MIA,Chen
2017-04-07,NYM,Wheeler
2017-04-07,CUB,Anderson
2017-04-07,MIL,Nelson
2017-04-07,CIN,Garrett
2017-04-07,STL,Leake
2017-04-07,BOS,Wright
2017-04-07,DET,Fulmer
2017-04-07,NYY,Severino
2017-04-07,BAL,Jimenez
2017-04-07,TOR,Liriano
2017-04-07,TAM,Andriese
2017-04-07,OAK,Alcantara
2017-04-07,TEX,Griffin
2017-04-07,MIN,Hughes
2017-04-07,CWS,Holland
2017-04-07,KAN,Vargas
2017-04-07,HOU,Fiers
2017-04-07,SEA,Gallardo
2017-04-07,LAA,Chavez
2017-04-07,CLE,Tomlin
2017-04-07,ARI,Miller
2017-04-08,CIN,Arroyo
2017-04-08,STL,Wacha
2017-04-08,WAS,Guthrie
2017-04-08,PHI,Nola
2017-04-08,ATL,Dickey
2017-04-08,PIT,Kuhl
2017-04-08,MIA,Conley
2017-04-08,NYM,Gsellman
2017-04-08,CUB,Hendricks
2017-04-08,MIL,Milone
2017-04-08,LOS,Kershaw
2017-04-08,COL,Gray
2017-04-08,SFO,Bumgarner
2017-04-08,SDG,Chacin
2017-04-08,MIN,Mejia
2017-04-08,CWS,Gonzalez
2017-04-08,BOS,Rodriguez
2017-04-08,DET,Zimmermann
2017-04-08,KAN,Duffy
2017-04-08,HOU,Keuchel
2017-04-08,NYY,Tanaka
2017-04-08,BAL,Gausman
2017-04-08,OAK,Graveman
2017-04-08,TEX,Darvish
2017-04-08,TOR,Sanchez
2017-04-08,TAM,Archer
2017-04-08,SEA,Hernandez
2017-04-08,LAA,Nolasco
2017-04-08,CLE,Bauer
2017-04-08,ARI,Greinke
2017-04-09,ATL,Teheran
2017-04-09,PIT,Cole
2017-04-09,WAS,Strasburg
2017-04-09,PHI,Hellickson
2017-04-09,CUB,Arrieta
2017-04-09,MIL,Davies
2017-04-09,CIN,Feldman
2017-04-09,STL,Martinez
2017-04-09,LOS,Maeda
2017-04-09,COL,Anderson
2017-04-09,SFO,Cueto
2017-04-09,SDG,Richard
2017-04-09,MIA,Volquez
